region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012,foodinsec_15_17
4,West,9,Pacific,AK,2,Alaska,2018,735139,-4561,10284,4664,5620,537,-10757,-10220,39,13.945929,6.3247581,7.621171,.7282151,-14.587355,-13.859139,52983,455008,356145,98863,875,97988,1597,453411,350652,10406,15278,2321,23285,15384,7440,44731,25001,6684,11734,17525,23402,3565,17136,5893,52932,11026,35806,21103,102759,14891,25817,62051,23518,38533,
4,West,9,Pacific,AK,2,Alaska,2019,731545,-3594,10031,4819,5212,659,-9482,-8823,17,13.678474,6.5712862,7.1071887,.89862573,-12.929847,-12.031221,54629,459788,358567,101221,919,100302,1451,458337,355966,10598,15393,2298,23996,15800,7585,44552,25748,6440,11763,18145,23944,3547,17475,5895,53422,11268,36833,21264,102371,14866,25806,61699,23214,38485,
3,South,6,East South Central,AL,1,Alabama,2018,4887681,13195,58271,53665,4606,3379,5279,8658,-69,11.938128,10.994485,.94364291,.69226432,1.0815221,1.7737865,46161,2691497,2098185,593312,35400,557912,42642,2648855,2243146,15929,9641,14259,148034,277594,82293,283144,85403,27681,115892,110757,155355,19144,185114,41699,253445,41818,200730,175214,405709,53072,28909,323728,107899,215829,
3,South,6,East South Central,AL,1,Alabama,2019,4903185,15504,57313,53879,3434,2772,9387,12159,-89,11.707442,11.005972,.70147014,.56624204,1.9175014,2.4837434,47026,2735740,2127180,608560,34596,573964,41785,2693955,2284834,16515,9299,13673,153527,279742,82980,283529,90046,28129,118803,114475,159330,19603,189764,41819,258399,43059,203808,178334,409121,54134,29000,325987,109365,216622,
3,South,7,West South Central,AR,5,Arkansas,2018,3009733,8388,37239,31743,5496,588,2294,2882,10,12.390123,10.5615,1.8286238,.19563879,.76325744,.95889622,47451,1657511,1296707,360804,38457,322347,52272,1605239,1378692,14761,10586,8064,90641,166358,51701,170779,72528,14334,63531,61906,69663,36910,95517,23284,196453,22762,115998,92916,226547,20147,15140,191260,81462,109798,
3,South,7,West South Central,AR,5,Arkansas,2019,3017804,8071,36640,31322,5318,268,2515,2783,-30,12.157537,10.392968,1.7645682,.088925213,.83450335,.9234286,48196,1673743,1304362,369381,38277,331104,52433,1621310,1395780,15076,9834,8018,93089,167950,51987,168641,75800,14474,66302,64065,71479,35889,95460,23374,197796,23587,118450,94509,225530,20352,15022,190156,80573,109583,
4,West,8,Mountain,AZ,4,Arizona,2018,7158024,114016,81767,60127,21640,7937,84113,92050,326,11.514832,8.4673796,3.0474513,1.1177274,11.845206,12.962934,42922,3853621,2962324,891297,18044,873253,30859,3822762,3371528,15976,20056,12760,219947,184541,111485,396644,162119,59298,255085,221036,252024,38030,314161,80202,433469,87312,303693,203690,451234,55670,33512,362052,93297,268755,
4,West,8,Mountain,AZ,4,Arizona,2019,7278717,120693,81942,60523,21419,7782,91017,98799,475,11.35187,8.3845797,2.9672902,1.0780827,12.609078,13.687161,43717,3969347,3048198,921149,17856,903293,29799,3939548,3480754,16268,19406,12749,234021,192125,112782,397348,176543,61298,267352,229393,261327,39601,322824,81329,449314,90754,307895,208425,458794,56554,34735,367505,94448,273057,
4,West,9,Pacific,CA,6,California,2018,39461588,103091,465017,277578,187439,71300,-155281,-83981,-367,11.799455,7.0433316,4.7561226,1.8091835,-3.9401379,-2.1309543,50862,24086110,18295976,5790134,57209,5732925,234830,23851280,21039743,255973,40807,60079,1203207,1424782,787245,2082200,1123449,618684,1103189,1208570,2078160,286605,1529386,545458,2719180,677450,1828894,1466425,2811537,246608,206057,2358872,550066,1808806,
4,West,9,Pacific,CA,6,California,2019,39512223,50635,462617,282520,180097,74028,-203414,-129386,-76,11.715707,7.1547771,4.5609298,1.8747481,-5.1514292,-3.2766812,52328,24602061,18598619,6003442,57636,5945806,238592,24363469,21525859,261864,38499,59126,1234241,1425642,782284,2059415,1219163,645770,1127472,1251248,2154279,288961,1544512,556247,2797215,712728,1869267,1497926,2837610,248689,204524,2384397,563115,1821282,
4,West,8,Mountain,CO,8,Colorado,2018,5691287,79402,64494,38490,26004,10646,42539,53185,213,11.411664,6.8104777,4.6011863,1.883719,7.5269136,9.4106331,53925,3855474,2852274,1003200,35424,967776,48358,3807116,3306916,14065,50244,8825,262833,165686,119863,341078,140752,89623,224365,226255,354078,49273,212841,77197,350375,110404,304854,204305,500200,52910,52840,394450,123594,270856,
