GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "04000","Arizona",6,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118057588,124654410,135387478,141344453,146505245,155175020,169638742,188136505,209126960,220735917,223345839,211975307,215523641,226365302,236846094,242856027,257410447,271257998,283199264,300007452,319226333,335243104
 "04000","Arizona",6,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",4630849,5167709,5881658,6774876,7786290,8626486,8816331,9924071,11260662,13327779,15771420,17677728,19563986,20259038,22116483,25259200,28098214,30879573,33522305,36297521,37512589,39318631,41761224,44913819,48462573,53131397,58150105,63442155,69149520,76755716,82200349,89896128,93636627,96882222,102267294,112030549,123338923,136945876,142746970,140166866,129713463,130278677,137561378,144295795,148879192,155402173,163156398,170410723,180242363,192022534,202650384
 "04000","Arizona",6,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",491894,592046,709731,815975,983180,1187963,1660226,1828012,1927572,2172497,2472375,2975893,3495636,3901700,4271276,4577983,4968051,5450399,5953841,6535772,7580048,8402999,9383258,10684403,11524979,12306431,13116719,13969395,14577465,15130035,16115609,17027888,19312672,21513578,23475071,25775134,28487194,31132132,33783999,39360187,44010475,47885742,47822912,47852141,49536829,52771737,54687503,56728080,59730568,62339573,66453118
 "04000","Arizona",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",33241,44350,51160,62066,73902,99256,126962,152167,145598,138107,175516,249110,277484,300733,330760,335263,333408,366723,397785,481592,583792,715962,880865,1097653,1205604,1306531,1427785,1446871,1489880,1447328,1471749,1514425,1604640,1925751,2177853,2376739,2629586,2722665,2941983,3307247,4223914,4646340,4893130,5002707,5025237,4966357,5072711,4977890,4847251,4787198,5006334
 "04000","Arizona",6,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",10833,19695,30180,31422,26928,54180,173448,143099,74012,62191,51645,95211,99047,206203,201053,100459,101111,125911,136334,121881,130958,163853,226955,337687,298907,200708,174126,177949,159131,172812,189545,188484,297293,503936,511722,358779,293710,252214,312136,564187,1627144,1901114,1325056,931609,591793,393389,355539,341247,321487,297309,255915
 "04000","Arizona",6,CAINC30,80,"...","  Retirement and other","Thousands of dollars",447820,528001,628391,722487,882350,1034527,1359816,1532746,1707962,1972199,2245214,2631572,3119105,3394764,3739463,4142261,4533532,4957765,5419722,5932299,6865298,7523184,8275438,9249063,10020468,10799192,11514808,12344575,12928454,13509895,14454315,15324979,17410739,19083891,20785496,23039616,25563898,28157253,30529880,35488753,38159417,41338288,41604726,41917825,43919799,47411991,49259253,51408943,54561830,57255066,61190869
 "04000","Arizona",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1204328,1456378,1664177,1873798,2164741,2521645,2841201,3061098,3458551,4059334,4742826,5823989,7187434,8036626,9064845,10218419,11504042,12409386,13042247,13885136,15769852,16099349,16030095,16093907,17053457,18905839,20722585,22296088,24296094,26171837,26338452,28463462,28395154,28109445,29432655,31833059,36310388,41048952,44204948,43818786,38251369,37359222,40981012,44698158,44440006,49236537,53414097,56060461,60034521,64864226,66139602
 "04000","Arizona",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
 "04000","Arizona",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33638,34973,36132,36615,38246,39718,40801,42590,44597,46058
 "04000","Arizona",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2666,2879,3102,3373,3664,3878,3856,4227,4639,5293,5977,6457,6962,7010,7449,8235,8826,9334,9753,10268,10356,10673,11023,11470,11921,12516,13119,13831,14598,15718,16362,17420,17756,17954,18559,19820,21123,22714,23144,22318,20449,20333,21253,22013,22446,23090,23889,24551,25588,26826,27841
