GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06000","California",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250173900,284307980,319557151,342342458,369808779,410796416,444066873,476682239,513377058,558041138,600755071,643684926,665992598,702449072,719730984,742429143,780642835,829666598,882677306,959949747,1026419347,1133965450,1173768781,1193118043,1248506484,1329404002,1407285469,1516057517,1581573294,1606579893,1554013343,1628457637,1737940004,1852397490,1886376599,2021035590,2172930238,2273557468,2383130513,2514503372,2632279775
 "06000","California",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",69404479,73240891,77022461,84951089,92807739,102003556,110710190,123868089,138500360,158449439,179918679,200343914,217967293,230504423,248576612,276633521,300341727,325312503,357062222,389394208,412097601,441139954,455264425,478229180,486856084,500873842,522995441,556752218,598231427,654906344,713008482,797225593,819535501,833882649,870019083,928196605,972768197,1032533778,1065406358,1053099188,1014005928,1062829603,1132825129,1205132769,1233346876,1300238983,1383536077,1442662434,1519894843,1596144006,1683084990
 "06000","California",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282010536,301279580,325581595,338316261,334955404,350897188,373129764
 "06000","California",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1344538,1798562,2143100,2254230,2182905,2665628,3143513,3465291,3837854,3990106,4284655,5295781,5804078,6127652,6560684,6835985,7266556,7909201,8612927,9483960,10688984,12259542,13874663,15694294,16553430,17706248,18696882,19129780,18006050,18374824,19226210,19428921,19350298,20623092,21899053,23161122,24619356,25486467,26462485,27660375,30778109,32907823,34168653,34481584,35327990,35940470,36857434,37509611,37856227,36618935,38034988
 "06000","California",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",451878,724339,916948,810743,674803,982742,2025165,2075536,1555847,1264168,1013674,1633068,1758867,2743492,3005913,2042146,2084903,2179712,1810921,1640036,1636601,2197807,3537920,5579919,5825774,3892321,3199337,3041737,2700477,2633802,2729089,2507562,3467115,7194766,7290038,5216005,4525400,4358565,5036130,7984025,19154032,22179960,17563901,13894286,10729645,6081676,5332385,5347094,5402821,5058886,5018471
 "06000","California",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",5819788,6777800,7635499,8456577,9900663,11469221,13825538,15470738,16912905,18851218,21187357,23855334,28648042,30816426,32809102,35338173,38451416,41264123,43155343,46226775,50488759,54715543,59312335,67361248,71225103,74225180,78447201,83092766,85118666,90716722,95430179,100241060,112867251,118227220,125053278,133074676,140155913,152008245,161296403,182422733,191118969,211819349,216771290,222724716,235952901,259257434,283391776,295459556,291696356,309219367,330076305
 "06000","California",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",15139365,16875870,18269178,19878427,22211155,25386274,27935497,30045134,33225936,38085124,43769535,53179883,65378871,72150465,78856468,89946591,95922271,100016700,102735645,111296159,125843126,133372080,134003255,135584431,139270593,145731552,157303974,167650097,178620686,193318055,196025387,214562314,218548616,213190316,224245032,239755594,265216603,301670462,323371918,335413572,298956305,298720902,336611031,376164135,371019187,419517027,463812566,492578773,528280266,567462178,576065021
 "06000","California",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
 "06000","California",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43636,46175,48813,49303,52363,55833,58048,60549,63720,66619
 "06000","California",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3521,3658,3786,4127,4447,4818,5141,5647,6197,6938,7737,8418,8975,9287,9802,10704,11359,12003,12855,13680,14104,14725,14941,15439,15567,15909,16500,17388,18415,19853,21284,23456,23769,23913,24679,26092,27151,28665,29390,28770,27434,28479,30098,31757,32235,33688,35550,36834,38617,40448,42597
