GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010736,10074627,11169055,12199942,13127572,14497720,15512228,16675650,17728819,19201877,21131268,22256325,22968170,24390688,25155585,25981838,26894687,27780372,29169330,30619977,32074591,34429188,35852558,36235237,37596516,39409658,40626322,42809877,44651081,47198415,47688240,49587600,51345488,53096227,54103874,56057751,58691706,59777658,63063816,65113506,67621173
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2926166,3221704,3530897,3786722,4022521,4267311,4452799,4767592,5149552,5694955,6232396,6744229,7266033,7777054,8351072,9311930,10060913,10919416,11798212,12874742,13894103,14771380,15091123,16080435,16626616,17132445,17425428,17985362,19002244,19961983,21400039,23268180,24228021,24844684,25744736,26901835,27433620,28717932,29638952,30686101,31122085,32292699,33177894,34200803,34951959,35610535,36822485,37578201,38904035,40159883,41595447
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",350672,411497,483338,532334,608467,718856,947920,1031824,1113466,1181177,1295286,1524126,1715091,1898062,2033393,2088828,2211400,2307211,2344086,2495032,2685095,2910974,3245909,3672596,3856162,4023136,4259471,4440215,4499810,4784120,4935168,5057379,5448011,5861014,6070346,6408671,6670635,7085855,7380539,8312563,9164550,9782720,10153151,10047427,10180326,10450508,11127211,11320458,12207255,11978839,12823624
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",24300,31297,41228,39321,37926,61309,79926,93882,100457,101066,106352,132693,142845,160910,168191,159249,163246,176345,177623,196407,222080,265106,309537,363536,398955,418717,425573,416558,391937,426984,427764,432460,480746,510053,534561,564678,589307,611264,642116,682812,816204,879670,900762,915280,925293,944102,937017,913261,893383,872912,908117
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",13996,25822,31899,35420,27948,39718,108538,93217,70779,61876,55760,72801,62565,71655,74787,62016,66923,65809,57680,61794,75955,88644,146820,234272,155714,116770,120269,101718,81098,72267,76740,83280,128019,190114,180221,131113,131166,130366,128830,202923,467642,519123,428596,400033,272596,133219,127625,121204,128801,121914,122549
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,80,"...","  Retirement and other","Thousands of dollars",312376,354378,410211,457593,542593,617829,759456,844725,942230,1018235,1133174,1318632,1509681,1665497,1790415,1867563,1981231,2065057,2108783,2236831,2387060,2557224,2789552,3074788,3301493,3487649,3713629,3921939,4026775,4284869,4430664,4541639,4839246,5160847,5355564,5712880,5950162,6344225,6609593,7426828,7880704,8383927,8823793,8732114,8982437,9373187,10062569,10285993,11185071,10984013,11792958
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",584766,647026,701514,757178,844168,954373,1040790,1097036,1210619,1302415,1483054,1806272,2187931,2524826,2743107,3096962,3239915,3449023,3586521,3832103,4552070,4573971,4631138,4637657,4672807,4826257,5209788,5354795,5667276,5873874,5739384,6103629,6176526,5529539,5781434,6099152,6522067,7006090,7631590,8199751,7401605,7512181,8014443,8847997,8971589,9996708,10742010,10878999,11952526,12974784,13202102
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168901,1169156,1170241,1171171,1171007,1170550,1169639,1171385,1170564,1167594
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9598,10635,11599,12420,13681,14591,15609,16533,17744,19391,20237,20726,21864,22445,23113,23915,24761,26102,27442,28732,30760,31928,32091,33026,34402,35303,36995,38473,40543,40874,42422,43917,45372,46196,47871,50140,51108,53837,55626,57915
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2920,3179,3421,3612,3833,4075,4241,4544,4888,5389,5904,6425,6918,7394,7901,8788,9463,10221,11002,11898,12750,13431,13618,14415,14835,15241,15495,16031,17004,17890,19170,20789,21576,22003,22615,23483,23839,24817,25538,26359,26675,27627,28378,29225,29844,30410,31457,32128,33212,34308,35625
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",350,406,468,508,580,687,903,983,1057,1118,1227,1452,1633,1805,1924,1971,2080,2160,2186,2306,2464,2647,2929,3292,3441,3579,3788,3958,4027,4288,4421,4518,4852,5191,5332,5594,5797,6123,6359,7140,7855,8369,8684,8586,8692,8924,9506,9679,10421,10233,10983
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",24,31,40,38,36,59,76,89,95,96,101,126,136,153,159,150,154,165,166,182,204,241,279,326,356,372,378,371,351,383,383,386,428,452,470,493,512,528,553,587,700,753,770,782,790,806,800,781,763,746,778
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",14,25,31,34,27,38,103,89,67,59,53,69,60,68,71,59,63,62,54,57,70,81,132,210,139,104,107,91,73,65,69,74,114,168,158,114,114,113,111,174,401,444,367,342,233,114,109,104,110,104,105
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",312,350,397,436,517,590,723,805,894,963,1073,1256,1437,1583,1694,1762,1864,1933,1967,2067,2190,2325,2517,2756,2946,3103,3302,3496,3603,3840,3969,4058,4310,4571,4704,4987,5170,5483,5695,6380,6755,7172,7547,7462,7670,8004,8596,8794,9549,9384,10100
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",583,638,680,722,804,911,991,1046,1149,1232,1405,1721,2083,2400,2595,2923,3047,3228,3345,3541,4177,4159,4179,4157,4169,4293,4633,4773,5071,5264,5141,5453,5500,4897,5079,5324,5667,6055,6576,7043,6344,6427,6855,7561,7660,8537,9177,9301,10204,11084,11307
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",3200193,3505329,3848333,4131960,4442328,4730542,4928204,5311132,5749345,6383295,7015818,7573072,8202391,8777144,9424802,10525720,11384714,12365393,13332351,14588120,15695490,16587858,17022218,18103331,18749293,19378505,19697798,20279693,21395635,22449233,23985681,26077084,27162123,27851359,28852676,30104679,30687945,32052810,32971257,34156834,34681330,35887138,36463885,37580983,38998972,39824226,41247322,42127203,43631204,44930077,46481284
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",2552961,2810171,3074211,3280531,3534247,3768089,3875076,4136648,4436704,4884289,5336169,5770985,6243200,6674742,7115274,7875354,8505865,9178028,9960291,10866629,11571086,12252802,12489496,13007348,13517108,14012348,14177541,14558207,15191184,16146619,16968162,18241546,19033060,19306135,20000575,20750365,21256638,22266447,22938948,24042516,23986674,24243154,24797575,25578069,26400616,27373036,28710817,29545310,30556281,31516984,32532238
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",357036,402310,470632,536815,583013,640038,721304,776488,878417,997736,1130013,1223678,1388461,1546828,1700099,1883217,2065910,2248498,2396660,2609448,2885694,3088016,3306738,3682843,3841195,3992533,3977287,3998079,4117927,4379768,4627453,5051712,5153422,5325673,5749673,6080378,6342627,6513204,6829246,7228835,7521375,7751487,7790963,8019569,8734912,8672159,9058268,8990958,9313741,9571074,9883632
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",221342,257159,305373,348576,349552,384315,459840,479467,554873,626659,712400,789010,894260,1022147,1129500,1222423,1358058,1476855,1578324,1693989,1932852,2114437,2292656,2612674,2727679,2827012,2803297,2804992,2884618,3084949,3298833,3602553,3618812,3739265,4093941,4353035,4564331,4666166,4943016,5247305,5576798,5772123,5764361,5933834,6552516,6382686,6666175,6577786,6824234,7090203,7353079
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1534610,1586408,1655732,1727343,1778296,1847038,1886230,1981530,1944577,1979364,2026602,2085735,2182396,2289473,2392093,2413172,2489507,2480871,2530553
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",290196,292848,303490,314614,325068,322415,331824,397996,434224,501270,549636,578409,570730,555574,609429,767149,812939,938867,975400,1112043,1238710,1247040,1225984,1413140,1390990,1373624,1542970,1723407,2086524,1922846,2390066,2783826,2975641,3219551,3102428,3273936,3088680,3273159,3203063,2885483,3173281,3892497,3875347,3983345,3863444,3779031,3478237,3590935,3761182,3842019,4065414
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",34327,32954,31371,29070,33006,25089,17819,24311,9313,20299,33691,32610,29654,23030,13581,20291,28554,39135,45097,31435,42902,37643,21820,34110,35528,20430,12286,43472,-10216,35797,49780,44286,63621,8311,29884,49454,52895,25198,31582,46894,10833,69517,111505,93174,134427,131664,58729,29322,74847,39382,113659
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",255869,259894,272119,285544,292062,297326,314005,373685,424911,480971,515945,545799,541076,532544,595848,746858,784385,899732,930303,1080608,1195808,1209397,1204164,1379030,1355462,1353194,1530684,1679935,2096740,1887049,2340286,2739540,2912020,3211240,3072544,3224482,3035785,3247961,3171481,2838589,3162448,3822980,3763842,3890171,3729017,3647367,3419508,3561613,3686335,3802637,3951755
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",436088,442286,453137,456800,466940,467407,460030,465540,477985,491938,500069,499181,497759,498759,504385,524122,540424,560305,568943,587604,598484,608340,602484,606682,616292,628551,622945,619288,625714,640388,654844,669625,658614,657069,662229,671124,679382,684285,692448,696827,684280,675249,679305,685754,691706,698178,706870,713785,721822,727765,731207
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,250,"..."," Wage and salary employment","Number of jobs",383227,388672,396656,400041,408601,409738,401522,403936,414527,427967,436568,435930,434530,433432,438146,455608,466203,480277,494018,508241,517937,522994,516548,515435,523937,531068,530559,524019,528569,537138,548971,558275,559064,555910,557846,562243,565443,567538,568356,572443,558408,551387,552505,559640,563117,568075,575748,582642,587416,589958,589092
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,260,"..."," Proprietors employment","Number of jobs",52861,53614,56481,56759,58339,57669,58508,61604,63458,63971,63501,63251,63229,65327,66239,68514,74221,80028,74925,79363,80547,85346,85936,91247,92355,97483,92386,95269,97145,103250,105873,111350,99550,101159,104383,108881,113939,116747,124092,124384,125872,123862,126800,126114,128589,130103,131122,131143,134406,137807,142115
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",5435,5382,5322,5248,5289,5406,5580,5511,5467,5502,5669,5604,5634,5841,6362,6041,5671,5487,5299,5138,4953,4876,4808,4851,4922,4911,4879,4857,4915,4923,5029,4959,4881,4759,4526,4298,4211,4046,4149,4185,4168,4155,4159,4097,4161,4067,4065,4004,3957,3952,3954
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",47426,48232,51159,51511,53050,52263,52928,56093,57991,58469,57832,57647,57595,59486,59877,62473,68550,74541,69626,74225,75594,80470,81128,86396,87433,92572,87507,90412,92230,98327,100844,106391,94669,96400,99857,104583,109728,112701,119943,120199,121704,119707,122641,122017,124428,126036,127057,127139,130449,133855,138161
