GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "09000","Connecticut",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14692532,15673815,16514402,17804686,19393356,21157238,22725543,24536404,27032652,30080860,33813599,38493926,43242974,46701334,49958241,55880686,60000014,64553349,70443265,77668249,84248967,86889121,87815760,94269329,97347585,100108300,105642525,110746328,117991826,127327726,134415255,147054784,155243071,155347924,157679368,166262007,175470605,189750398,204090210,216865326,213612069,222225987,228929351,233337821,228472196,239001059,245244049,250178586,256348833,267346159,275556831
 "09000","Connecticut",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",11186558,11737518,12122424,13108166,14282496,15357105,16067733,17449868,19389005,21792903,24486923,27324291,29772152,31731705,34175565,38261144,41639648,45098026,50054297,55175323,58053331,59451172,60064738,64455533,66286108,67983894,71583871,75427482,81101588,88782223,95341189,104727592,111474211,111960594,113091218,118484916,124095081,131375298,139790372,148084116,147915204,154198881,157203372,157087427,153018589,157411610,160736011,162775212,166980839,171962066,178322606
 "09000","Connecticut",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",947461,1146117,1423580,1505259,1629596,1918272,2546004,2713851,2836759,2923938,3253516,3744548,4319952,4802212,5185205,5420461,5748026,6080081,6283976,6781028,7602169,8500225,9520582,11199479,11682806,12098542,12953454,13302740,13667970,13840128,14170806,14919658,15836436,16979535,17324902,18375632,18957753,20230468,21466038,24562798,27243655,29066080,29152868,29499441,29828902,30756312,31716866,32678023,33206742,35424303,36203553
 "09000","Connecticut",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",98051,124958,149088,163907,164186,194011,233796,272223,291309,306217,342764,421164,444730,445565,470828,486250,491762,505351,503416,546959,617566,745216,857592,930107,1038081,1149708,1189253,1027953,1164262,1237869,1183540,1169192,1148583,1157450,1242188,1323741,1414788,1440556,1710770,1917322,2139761,2356687,2420703,2420130,2515691,2589616,2485152,2418694,2400659,2383715,2461443
 "09000","Connecticut",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",67784,135094,257802,199351,121231,182301,458976,411700,333694,164865,133746,185162,193221,273339,276071,164791,173208,173877,156021,171908,254912,425340,613857,991673,831905,525691,444892,432758,356400,325215,360591,339336,493706,847041,927307,597651,542784,542433,563469,861332,2116252,2430038,1952894,1601309,1323730,732112,623695,665815,663763,622927,592777
 "09000","Connecticut",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",781626,886065,1016690,1142001,1344179,1541960,1853232,2029928,2211756,2452856,2777006,3138222,3682001,4083308,4438306,4769420,5083056,5400853,5624539,6062161,6729691,7329669,8049133,9277699,9812820,10423143,11319309,11842029,12147308,12277044,12626675,13411130,14194147,14975044,15155407,16454240,17000181,18247479,19191799,21784144,22987642,24279355,24779271,25478002,25989481,27434584,28608019,29593514,30142320,32417661,33149333
 "09000","Connecticut",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2558513,2790180,2968398,3191261,3481264,3881861,4111806,4372685,4806888,5364019,6073160,7425087,9150870,10167417,10597471,12199081,12612340,13375242,14104992,15711898,18593467,18937724,18230440,18614317,19378671,20025864,21105200,22016106,23222268,24705375,24903260,27407534,27932424,26407795,27263248,29401459,32417771,38144632,42833800,44218412,38453210,38961026,42573111,46750953,45624705,50833137,52791172,54725351,56161252,59959790,61030672
 "09000","Connecticut",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
 "09000","Connecticut",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4898,5158,5394,5800,6319,6879,7367,7951,8752,9720,10908,12365,13821,14878,15798,17572,18743,20024,21693,23738,25659,26394,26588,28560,29417,30188,31780,33191,35228,37835,39693,43102,45223,44914,45254,47557,50035,53945,57861,61165,59973,62090,63799,64914,63556,66490,68368,69919,71740,74855,77289
 "09000","Connecticut",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3729,3863,3960,4270,4654,4993,5209,5655,6277,7042,7899,8777,9515,10109,10807,12032,13008,13989,15414,16863,17681,18059,18185,19528,20031,20501,21535,22606,24214,26381,28154,30696,32473,32370,32457,33891,35385,37349,39631,41766,41528,43083,43810,43702,42566,43792,44809,45492,46730,48148,50016
