GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "12000","Florida",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,415875478,436186130,472238563,496337210,512812468,539102793,586784963,642506724,698475979,727404686,727138521,682891651,725074023,764633664,793428830,795425004,856161773,914928403,949717988,1016818999,1082702187,1125984012
 "12000","Florida",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",17360657,19187837,21269654,24572221,28424725,31117383,32577001,35404576,39559482,45722966,51982208,59680200,66546916,71115581,79186731,87861144,96211518,104488777,115161837,126498026,134986391,143832387,149974540,160783224,171862015,181128546,192973957,205919345,218343784,238006878,255263580,277005704,292988415,307535231,324569414,351309845,380739925,404426209,410268265,396477092,372995135,391029674,406751619,422616348,429226709,455822082,484856613,506613649,536657404,569716777,597877027
 "12000","Florida",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2194620,2645521,3187608,3754637,4560714,5497460,7182922,7978095,8729983,9698383,11236991,13379005,15629475,17688603,19341241,20596923,22223719,23945326,25386489,27805241,31369983,34381853,38635256,44345115,47481787,50618558,54672490,57846599,60005415,61368926,63796719,68009653,74138452,79867660,85265275,91712253,98486302,105077350,111806517,126988888,138483290,151686114,157757781,156112909,160920491,169944443,178945696,186245562,195508533,205158872,216742022
 "12000","Florida",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",129797,153628,205298,289346,354725,434434,563717,689424,708580,704171,825652,1086866,1202641,1194054,1212984,1209009,1237513,1321866,1393180,1616924,1910479,2289877,2934528,4157697,4249227,4505587,5067342,5231504,5324031,5251536,5282976,5464688,5696596,6368015,7300384,8685019,9786500,9653330,9863590,10873271,13127561,15325922,16403048,16642371,17205241,17024995,17311223,16807445,18250817,16509386,16856024
 "12000","Florida",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",24059,41586,84977,87325,71306,160105,503912,427149,269387,158338,167238,223360,219015,390036,424953,292945,296093,340613,311445,321687,372502,517932,931549,1563254,1250614,838955,721770,721000,696616,681623,701844,708197,1034341,1691400,1621634,1177102,919026,841453,1161321,2299013,6031308,6581821,4433975,2987460,2084555,958537,645709,527144,501880,455627,424259
 "12000","Florida",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2040764,2450307,2897333,3377966,4134683,4902921,6115293,6861522,7752016,8835874,10244101,12068779,14207819,16104513,17703304,19094969,20690113,22282847,23681864,25866630,29087002,31574044,34769179,38624164,41981946,45274016,48883378,51894095,53984768,55435767,57811899,61836768,67407515,71808245,76343257,81850132,87780776,94582567,100781606,113816604,119324421,129778371,136920758,136483078,141630695,151960911,160988764,168910973,176755836,188193859,199461739
 "12000","Florida",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5449656,6442844,7299090,8223106,9592904,11268290,12408007,13629681,15554797,18211934,21440956,26767566,33554798,36249192,39565095,45429540,49892176,53689927,56636863,62301502,74786535,79357190,79765423,79137653,82048779,85927837,93937054,100140875,107052772,116499674,117125831,127223206,129210343,125409577,129268104,143762865,163280497,188972420,205329904,203672541,171413226,182358235,200124264,214699573,205277804,230395248,251126094,256858777,284653062,307826538,311364963
 "12000","Florida",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
 "12000","Florida",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26854,27678,29428,30344,30727,31704,33694,36011,38448,39602,39247,36611,38475,40131,41115,40696,43140,45273,46073,48504,50964,52426
 "12000","Florida",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2614,2803,2969,3267,3586,3741,3814,4072,4450,5007,5489,6065,6529,6791,7366,7958,8476,8956,9599,10279,10681,11036,11217,11779,12340,12720,13274,13863,14378,15369,16198,17262,17912,18427,19088,20172,21339,22262,22336,21400,19997,20749,21348,21900,21960,22968,23992,24577,25599,26817,27837
 "12000","Florida",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",330,386,445,499,575,661,841,918,982,1062,1187,1360,1533,1689,1799,1866,1958,2052,2116,2259,2482,2638,2890,3249,3409,3555,3761,3895,3951,3963,4048,4238,4533,4786,5014,5266,5520,5784,6087,6854,7424,8049,8280,8090,8233,8563,8855,9035,9326,9657,10091
 "12000","Florida",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",20,22,29,38,45,52,66,79,80,77,87,110,118,114,113,110,109,113,116,131,151,176,219,305,305,316,349,352,351,339,335,341,348,382,429,499,549,531,537,587,704,813,861,862,880,858,857,815,871,777,785
 "12000","Florida",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",4,6,12,12,9,19,59,49,30,17,18,23,21,37,40,27,26,29,26,26,29,40,70,115,90,59,50,49,46,44,45,44,63,101,95,68,52,46,63,124,323,349,233,155,107,48,32,26,24,21,20
 "12000","Florida",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",307,358,404,449,522,590,716,789,872,968,1082,1227,1394,1538,1647,1730,1823,1910,1974,2102,2302,2423,2601,2829,3014,3179,3362,3494,3555,3580,3668,3853,4121,4303,4490,4700,4920,5206,5487,6143,6397,6886,7186,7072,7246,7657,7966,8194,8432,8859,9287
 "12000","Florida",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",821,941,1019,1093,1210,1355,1453,1567,1750,1994,2264,2720,3292,3462,3681,4115,4395,4602,4721,5063,5918,6089,5966,5797,5891,6034,6462,6742,7049,7523,7432,7928,7899,7514,7602,8255,9151,10402,11179,10993,9190,9676,10503,11126,10502,11609,12426,12461,13578,14490,14497
 "12000","Florida",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",18512591,20482394,22759450,26383815,30858942,33902229,35448104,38566185,43112474,49952283,57081858,65582791,73613200,78862333,87798013,97794239,107306156,116853195,128573183,141675440,151397294,161135722,168103932,180110993,192405715,203141223,216287300,230495530,244384467,265915440,284906081,308751767,327004403,343043426,361989562,391971647,425117211,452498584,459532509,445382328,420311940,438991235,450502115,468412894,482900406,512381351,544423234,568848341,602210803,639710580,672454824
 "12000","Florida",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",14379741,16109154,17660288,20254032,23862169,26390134,27114528,29113090,32246444,37254975,42743770,49440973,56172443,60702465,66445770,74616678,81955762,89090619,98507639,107521864,114922245,123101492,126847092,134563980,142609392,151033766,160458372,170805003,183014815,199099985,212076660,231180254,242318487,250893670,264523997,285403426,309874331,332428236,343027610,339020649,320654389,322573479,332057251,346080504,358216215,378841977,404274497,424049880,446059267,472669317,497685289
 "12000","Florida",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1754792,2011941,2352414,2840451,3314435,3748561,4309681,4750893,5515494,6448143,7534387,8604270,10072287,11229106,12716913,14368007,16016429,17934470,19478901,21625184,24230516,26427799,27696887,30531452,32750204,34860180,36009078,38043480,39373043,42184590,45210975,48084033,52645571,56945255,61050948,65494024,71150914,71553664,74577342,75960711,72399448,75485064,73664759,76125028,80385943,82030386,85895463,88368397,94451164,101432094,105792145
 "12000","Florida",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",1201179,1390857,1631960,1949012,2111527,2377238,2893549,3142169,3702641,4279207,4937729,5636698,6491678,7335599,8338458,9218838,10431935,11740681,12775971,14090762,16219248,17877963,18787567,21017083,22688847,24135873,24740954,26098523,26688021,28561517,30761544,32510491,35950141,39608183,42741578,45551259,49534424,48053786,50680596,52331217,49703728,52412461,49546483,50656906,54366446,54898963,57703344,59244484,64195510,69499969,71974759
 "12000","Florida",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28192119,29123913,30255654,31932125,33817386
 "12000","Florida",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",2378058,2361299,2746748,3289332,3682338,3763534,4023895,4702202,5350536,6249165,6803701,7537548,7368470,6930762,8635330,8809554,9333965,9828106,10586643,12528392,12244533,11606431,13559953,15015561,17046119,17247277,19819850,21647047,21996609,24630865,27618446,29487480,32040345,35204501,36414617,41074197,44091966,48516684,41927557,30400968,27258103,40932692,44780105,46207362,44298248,51508988,54253274,56430064,61700372,65609169,68977390
 "12000","Florida",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",394562,336632,442677,526671,582369,632174,720371,710805,680184,770565,807053,1147146,897663,1204007,1894627,1234558,1210560,1365248,1500499,1987529,1743688,1232428,1642191,1683541,1651104,1299155,1312650,1088627,1258934,1694067,1810928,1612955,1314931,1306422,1129345,985962,1488435,1268646,940055,604206,780728,1079821,955905,1544314,1375061,1475649,2432313,1372264,1939009,1718793,2163552
 "12000","Florida",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1983496,2024667,2304071,2762661,3099969,3131360,3303524,3991397,4670352,5478600,5996648,6390402,6470807,5726755,6740703,7574996,8123405,8462858,9086144,10540863,10500845,10374003,11917762,13332020,15395015,15948122,18507200,20558420,20737675,22936798,25807518,27874525,30725414,33898079,35285272,40088235,42603531,47248038,40987502,29796762,26477375,39852871,43824200,44663048,42923187,50033339,51820961,55057800,59761363,63890376,66813838
 "12000","Florida",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2856879,2966065,3082056,3338247,3666224,3765563,3675506,3729843,3928975,4239000,4454247,4687521,4865374,4953566,5166943,5501658,5771943,6015226,6093623,6390284,6596287,6740289,6717581,6762815,7002451,7234337,7494170,7739729,8005136,8317201,8577884,8881279,8938947,9055715,9283397,9644326,10067189,10383866,10531260,10269499,9841883,9805154,10036634,10249024,10539255,10937166,11367160,11673482,12085322,12547585,12857048
 "12000","Florida",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2468148,2559834,2649565,2854446,3134480,3222645,3115692,3156470,3311943,3580886,3769409,3958429,4110347,4139448,4298359,4595747,4794860,4977340,5219873,5437304,5637527,5740196,5684809,5749538,5964285,6178879,6366947,6550683,6766803,6976587,7227372,7448054,7473715,7515541,7664325,7890743,8163188,8381988,8376376,8100529,7598169,7519804,7601048,7760916,7935168,8191643,8472297,8735345,8924354,9147156,9338828
 "12000","Florida",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",388731,406231,432491,483801,531744,542918,559814,573373,617032,658114,684838,729092,755027,814118,868584,905911,977083,1037886,873750,952980,958760,1000093,1032772,1013277,1038166,1055458,1127223,1189046,1238333,1340614,1350512,1433225,1465232,1540174,1619072,1753583,1904001,2001878,2154884,2168970,2243714,2285350,2435586,2488108,2604087,2745523,2894863,2938137,3160968,3400429,3518220
 "12000","Florida",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",39286,38311,37357,36248,36333,35259,34780,34978,36301,37335,37065,37722,38269,37885,40273,39748,38659,38140,38381,38928,39220,38974,37794,36886,42219,41715,41587,40989,41058,42095,42153,41606,41702,39135,37541,36179,35397,34112,39602,39133,39008,38954,38943,38421,38694,38794,39063,39019,38847,38783,38701
 "12000","Florida",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",349445,367920,395134,447553,495411,507659,525034,538395,580731,620779,647773,691370,716758,776233,828311,866163,938424,999746,835369,914052,919540,961119,994978,976391,995947,1013743,1085636,1148057,1197275,1298519,1308359,1391619,1423530,1501039,1581531,1717404,1868604,1967766,2115282,2129837,2204706,2246396,2396643,2449687,2565393,2706729,2855800,2899118,3122121,3361646,3479519
 "12000","Florida",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",6480,6906,7385,7903,8417,9003,9644,10340,10973,11784,12815,13991,15130,15920,16992,17775,18591,19426,21100,22170,22952,23906,25024,26633,27477,28080,28861,29781,30528,31972,33214,34764,36582,37881,38993,40643,42228,43577,43635,43369,42706,44771,44886,45703,45819,46848,47894,48730,49830,50983,52302
 "12000","Florida",5,CAINC30,300,"..."," Average wages and salaries","Dollars",5826,6293,6665,7096,7613,8189,8703,9223,9736,10404,11340,12490,13666,14664,15458,16236,17092,17899,18872,19775,20385,21446,22313,23404,23911,24444,25202,26074,27046,28538,29344,31039,32423,33383,34514,36169,37960,39660,40952,41852,42202,42897,43686,44593,45143,46247,47717,48544,49982,51674,53292
 "12000","Florida",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",5676,5503,5831,6173,6257,6168,6292,7414,8042,8825,9257,9243,9028,7378,8138,8745,8656,8465,10877,11532,11420,10794,11978,13654,15458,15732,17047,17907,17321,17664,19725,20030,21584,22583,22311,23342,22800,24011,19377,13990,12009,17741,18286,18232,16732,18485,18146,18991,19141,19006,19202
 "12001","Alachua, FL",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",300282,346661,398131,473571,557119,627768,700396,760890,836646,956871,1077953,1245651,1421220,1565113,1737466,1961864,2168325,2321172,2498570,2724906,3008312,3217618,3385168,3576362,3785902,3973353,4236195,4425419,4673546,4958982,5158170,5487497,5811606,5996886,6225845,6914441,7474937,8034030,8441731,8732771,8432728,8814693,9184786,9233122,9316696,9875218,10358312,10793553,11426032,12112889,12561561
 "12001","Alachua, FL",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",231905,263540,298831,357151,419293,463939,505120,544047,597261,681992,760537,857549,951646,1038183,1149388,1302223,1445576,1537869,1658667,1807123,1952350,2091953,2199746,2336791,2481906,2596814,2707489,2817034,2952585,3168284,3363523,3551637,3764943,3955465,4080522,4569426,4882308,5188829,5375257,5407243,5293085,5443644,5510971,5612087,5663725,5928721,6205495,6418358,6744673,7169886,7441913
 "12001","Alachua, FL",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",20185,25229,32039,37257,43885,53210,70489,80802,88142,99098,117730,140554,163381,179348,200305,216051,235995,254369,272595,297201,342998,376943,424335,480071,514031,540313,585684,618058,637369,639613,658490,725140,808405,874660,936065,918897,1033118,1066358,1140270,1320794,1409664,1571288,1654480,1620208,1680868,1791479,1890541,1981343,2099026,2210492,2344154
 "12001","Alachua, FL",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2280,3415,5921,6862,7004,7671,8848,11100,11361,11800,14733,19138,21040,20557,21627,21817,22886,25081,26532,29881,34765,40733,47803,61327,64250,67919,74731,75824,77352,77430,74703,75073,78264,87347,97186,105227,126082,129996,127927,131875,148935,171213,180869,175675,182149,182185,188506,177621,194798,177464,182662
 "12001","Alachua, FL",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",122,233,485,482,440,1163,4543,4092,2594,2336,2954,2544,2324,2845,3284,2149,2650,2527,2892,2367,2919,4143,7480,12218,9664,6043,5319,5605,5719,5499,5452,5243,11611,17372,16613,8407,7199,6279,6526,13772,38934,44645,33142,23006,15700,8896,4791,3973,3982,3787,6328
