GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "15000","Hawaii",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3643173,4224922,4584077,5047834,5592618,6360651,6919030,7465926,8084039,8953923,10042788,11483936,12434061,13166230,14443315,15472574,16452513,17458138,18618700,20477516,22873584,24979076,26432925,28434498,29476498,30163706,30864018,30894933,31907547,32531130,33657545,35682033,37204033,38954769,40791025,43977375,47306326,50701090,53423078,56059909,55690031,57179141,60044624,62455917,63316600,66846123,70376234,73047987,76109630,78436115,80726523
 "15000","Hawaii",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2858996,3259498,3473516,3802130,4168373,4722700,5047018,5420055,5880945,6467208,7244884,8221118,8620391,9201147,9966634,10551486,11229945,12003999,12968703,14380952,15955950,17608130,18657871,19918386,20388752,20543155,20549882,20510593,21112000,21447677,22336141,23703754,25015286,26592745,28269464,30381431,32588298,34342704,35445041,36148824,35691397,36246071,37976321,39862683,40408522,42182903,44312014,45722824,47561157,49367550,50885742
 "15000","Hawaii",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",159844,206557,270214,322520,369707,444414,577340,675267,708266,760581,839867,964953,1134149,1229215,1351330,1425165,1510726,1574075,1629448,1746431,1937022,2097788,2304017,2675514,2930443,3172009,3587117,3679587,3693737,3766251,3922182,4130169,4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9863576,10628470,11019412,11434963,11942312,12152006,12672775
 "15000","Hawaii",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",22674,32983,52280,66411,77268,92140,118681,143219,162579,160976,177788,201973,218676,213746,223419,224901,232835,228407,222761,237972,260713,289627,328461,400954,438536,500509,559216,603859,560576,593748,593628,582390,553920,604000,603986,643244,709781,742325,795807,898525,1045340,1173080,1229109,1243420,1306193,1315167,1284157,1225728,1192020,1157965,1164768
 "15000","Hawaii",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",9052,18901,36180,41762,33426,49428,74989,107659,73241,47767,40126,50817,66452,79400,83552,78100,63736,56845,49194,47533,37656,46437,76035,163429,218518,190142,190469,187241,165544,150520,133446,107461,147804,202473,168114,120568,93163,100402,113600,240906,558175,597428,485133,405506,274799,184713,145689,137343,168238,150244,150657
 "15000","Hawaii",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",128118,154673,181754,214347,259013,302846,383670,424389,472446,551838,621953,712163,849021,936069,1044359,1122164,1214155,1288823,1357493,1460926,1638653,1761724,1899521,2111131,2273389,2481358,2837432,2888487,2967617,3021983,3195108,3440318,3748647,4000598,4190816,4527810,4924362,5198994,5727198,6587312,6690205,7516819,7938826,7865548,8282584,9128590,9589566,10071892,10582054,10843797,11357350
 "15000","Hawaii",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",624333,758867,840347,923184,1054538,1193537,1294672,1370604,1494828,1726134,1958037,2297865,2679521,2735868,3125351,3495923,3711842,3880064,4020549,4350133,4980612,5273158,5471037,5840598,6157303,6448542,6727019,6704753,7101810,7317202,7399222,7848110,7738376,7554953,7558645,8304322,8990722,10316665,11341432,12184342,11704914,11645743,12415235,13078760,13044502,14034750,15044808,15890200,16606161,16916559,17168006
 "15000","Hawaii",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872
 "15000","Hawaii",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26769,27809,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41921,43532,44778,44961,47257,49489,51170,53433,55214,57015
 "15000","Hawaii",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3848,4272,4388,4647,4951,5504,5768,6074,6422,6963,7626,8495,8813,9259,9841,10265,10801,11413,12144,13318,14577,15813,16413,17192,17384,17299,17170,17039,17424,17649,18455,19533,20405,21452,22595,23855,25209,26221,26941,27134,26503,26574,27532,28579,28694,29821,31161,32029,33390,34751,35940
 "15000","Hawaii",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",215,271,341,394,439,518,660,757,773,819,884,997,1159,1237,1334,1386,1453,1497,1526,1617,1770,1884,2027,2309,2499,2671,2997,3057,3049,3099,3241,3403,3630,3878,3967,4155,4430,4613,5044,5800,6158,6809,6998,6821,7004,7514,7749,8010,8384,8554,8951
 "15000","Hawaii",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",31,43,66,81,92,107,136,160,178,173,187,209,224,215,221,219,224,217,209,220,238,260,289,346,374,421,467,502,463,489,490,480,452,487,483,505,549,567,605,674,776,860,891,891,928,930,903,859,837,815,823
 "15000","Hawaii",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",12,25,46,51,40,58,86,121,80,51,42,53,68,80,83,76,61,54,46,44,34,42,67,141,186,160,159,156,137,124,110,89,121,163,134,95,72,77,86,181,414,438,352,291,195,131,102,96,118,106,106
 "15000","Hawaii",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",172,203,230,262,308,353,438,476,516,594,655,736,868,942,1031,1092,1168,1225,1271,1353,1497,1582,1671,1822,1938,2090,2371,2400,2449,2487,2640,2835,3058,3227,3350,3555,3809,3970,4353,4945,4968,5511,5756,5639,5882,6453,6743,7055,7429,7633,8021
 "15000","Hawaii",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",840,995,1062,1128,1253,1391,1480,1536,1632,1858,2061,2375,2739,2753,3086,3401,3570,3689,3765,4029,4550,4736,4813,5041,5250,5430,5621,5570,5861,6021,6114,6467,6312,6095,6041,6521,6955,7877,8620,9146,8691,8538,9001,9377,9263,9922,10580,11131,11658,11908,12125
 "15000","Hawaii",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",3041332,3470686,3709163,4075676,4516592,5122642,5489206,5903750,6403222,7064573,7945336,8998412,9516573,10147167,11002918,11686785,12467149,13354896,14445216,16076774,17842914,19786140,21002846,22412363,22931718,23131083,23135526,23100404,23742063,24118706,25075968,26592658,28063097,29837116,31760763,34048620,36522668,38590111,39887517,40680512,40167389,40952974,42453316,44495709,45820999,47635139,50011252,51550752,53625769,55708532,57466336
 "15000","Hawaii",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",2427859,2778630,2935296,3188460,3551052,3890840,4240611,4533106,4874342,5422253,6010042,6683532,7182294,7605755,8084545,8593972,9159852,9763673,10666456,11767357,12997873,14404760,15296012,16257213,16515923,16666378,16680133,16718142,17215868,17621036,18185436,19173030,19831092,20867549,22005611,23664894,25185778,26870576,28394242,29195819,28516537,28599421,29451257,30667315,31514150,32830812,34592423,35858338,37102115,38293063,39570051
 "15000","Hawaii",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",378942,447703,508311,577505,651394,720259,852896,923018,1010038,1134481,1277994,1454017,1629497,1785125,1961275,2152534,2304927,2493293,2604573,2837031,3147527,3469940,3772674,4155022,4226585,4286514,4176229,4028285,4043017,4098585,4214313,4474279,4803051,5294429,5930003,6309787,6831071,6994848,7362838,7620854,7507054,7962499,8714959,8872721,9307148,9664580,9924302,10169762,10416916,11011350,11187748
 "15000","Hawaii",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",276925,327767,373264,418428,452801,493891,599377,641644,709744,793416,878847,1015495,1131435,1268320,1389528,1516563,1630647,1764351,1815838,1940580,2164656,2335897,2555046,2845976,2898185,2950147,2863391,2720336,2717470,2771192,2860987,3043854,3296890,3682382,4164947,4494185,4885076,4892495,5200207,5442858,5346703,5593447,6152134,6206235,6491108,6946830,7118432,7360443,7499733,7996980,8077067
 "15000","Hawaii",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2717750,2805870,2809319,2917183,3014370,3110681
 "15000","Hawaii",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",234531,244353,265556,309711,314146,511543,395699,447626,518842,507839,657300,860863,704782,756287,957098,940279,1002370,1097930,1174187,1472386,1697514,1911440,1934160,2000128,2189210,2178191,2279164,2353977,2483178,2399085,2676219,2945349,3428954,3675138,3825149,4073939,4505819,4724687,4130437,3863839,4143798,4391054,4287100,4955673,4999701,5139747,5494527,5522652,6106738,6404119,6708537
 "15000","Hawaii",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",31319,33623,39154,39758,27942,213647,68937,33230,38373,30590,47082,225717,59212,72468,180854,72407,50904,93327,74114,67236,50684,63500,36606,20718,21205,16031,24652,19866,36106,38283,43843,40387,39138,49891,51386,44077,63222,69279,53353,43748,87341,79551,114349,62028,33456,-411,44223,-2105,39695,-13,14489
 "15000","Hawaii",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",203212,210730,226402,269953,286204,297896,326762,414396,480469,477249,610218,635146,645570,683819,776244,867872,951466,1004603,1100073,1405150,1646830,1847940,1897554,1979410,2168005,2162160,2254512,2334111,2447072,2360802,2632376,2904962,3389816,3625247,3773763,4029862,4442597,4655408,4077084,3820091,4056457,4311503,4172751,4893645,4966245,5140158,5450304,5524757,6067043,6404132,6694048
 "15000","Hawaii",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",415912,433555,436830,452960,473087,485226,499203,504799,509265,527519,556339,574555,567762,566510,576830,582402,597946,611862,642686,668691,696362,724262,745447,746137,741780,736771,734039,733396,733761,738175,738111,749439,752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882732,901121,913087,919341,927336,932230
 "15000","Hawaii",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",368900,385181,389108,400094,418518,425912,434443,440767,448947,469403,488281,498755,496535,491843,501857,508739,521605,531289,554533,570377,597113,618833,629443,634001,625580,618941,611684,607850,607070,606429,607879,624169,628046,631037,642343,657931,674135,690321,698292,692977,664720,661142,668971,680842,693539,702829,715002,722115,727745,732550,730842
 "15000","Hawaii",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",47012,48374,47722,52866,54569,59314,64760,64032,60318,58116,68058,75800,71227,74667,74973,73663,76341,80573,88153,98314,99249,105429,116004,112136,116200,117830,122355,125546,126691,131746,130232,125270,124502,126684,131295,139332,145862,152092,166333,165425,165177,163318,166041,168314,174583,179903,186119,190972,191596,194786,201388
 "15000","Hawaii",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",3876,3792,3616,3431,3595,3590,3634,3741,3865,4058,4060,4063,4151,4250,4550,4615,4627,4589,4562,4507,4524,4542,4510,4596,4947,4988,4980,5009,5119,5297,5274,5258,5236,4795,4719,4604,4605,4513,6149,6006,5903,5848,5776,5636,5693,5777,5891,5961,5961,5939,5940
 "15000","Hawaii",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",43136,44582,44106,49435,50974,55724,61126,60291,56453,54058,63998,71737,67076,70417,70423,69048,71714,75984,83591,93807,94725,100887,111494,107540,111253,112842,117375,120537,121572,126449,124958,120012,119266,121889,126576,134728,141257,147579,160184,159419,159274,157470,160265,162678,168890,174126,180228,185011,185635,188847,195448
 "15000","Hawaii",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",7312,8005,8491,8998,9547,10557,10996,11695,12573,13392,14281,15662,16762,17912,19075,20067,20850,21827,22476,24042,25623,27319,28175,30038,30914,31395,31518,31498,32357,32673,33973,35483,37291,39377,41054,42707,44540,45809,46133,47391,48400,49672,50842,52400,52782,53963,55499,56458,58331,60074,61644
 "15000","Hawaii",8,CAINC30,300,"..."," Average wages and salaries","Dollars",6581,7214,7544,7969,8485,9135,9761,10285,10857,11551,12309,13400,14465,15464,16109,16893,17561,18377,19235,20631,21768,23277,24301,25642,26401,26927,27269,27504,28359,29057,29916,30718,31576,33069,34258,35969,37360,38925,40662,42131,42900,43258,44025,45043,45440,46712,48381,49657,50982,52274,54143
 "15000","Hawaii",8,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",4711,4727,5133,5461,5615,5346,5346,6873,8511,8828,9535,8854,9624,9711,11023,12569,13268,13221,13160,14979,17385,18317,17019,18406,19487,19161,19208,19364,20129,18670,21066,24206,28422,29742,29814,29911,31450,31545,25453,23963,25468,27380,26037,30082,29405,29520,30241,29862,32683,33912,34250
 "15001","Hawaii, HI",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",227320,269351,302967,334447,371781,509292,507077,533210,586924,652918,743795,935944,947621,998720,1121382,1171178,1229162,1339117,1427334,1570925,1817564,2026536,2201619,2334976,2462395,2557164,2636585,2698938,2777341,2934325,3081127,3326966,3510902,3725896,3942552,4379204,4848840,5227476,5570974,5903907,5675130,5869367,6142665,6369930,6443742,6863938,7405863,7748127,8194397,8509388,8781599
 "15001","Hawaii, HI",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",171077,201600,221895,240536,260306,379388,352543,362195,401437,439894,499283,643975,600108,635754,700168,707986,733885,805943,863566,971956,1136893,1293491,1404294,1450142,1504269,1531095,1529797,1565416,1621226,1702845,1827651,2008334,2118248,2296210,2480563,2756450,3074831,3244164,3295609,3275342,3144204,3152667,3245756,3387785,3386161,3565575,3815167,4049765,4307861,4469401,4628729
 "15001","Hawaii, HI",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",17396,21192,27368,33098,40509,52245,67895,78698,82758,91539,102146,119210,141119,155120,175806,183201,197405,211594,220053,236210,263479,285243,318891,379638,431571,471892,531304,545510,535590,560716,582817,596825,643032,702209,727253,782313,858871,905536,1012555,1188749,1325144,1486687,1557004,1531145,1596925,1737851,1801770,1877796,1979535,2029859,2103818
 "15001","Hawaii, HI",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1933,2700,4208,6305,8423,12888,17890,20141,21978,22353,24992,29172,31651,31713,35875,36791,41187,43699,44827,47558,51222,56825,63970,79095,89686,100957,113452,119773,110305,116496,112798,109080,103431,110963,109981,116282,126456,135075,146972,172596,222373,254245,270061,274883,290000,299560,295249,279867,275901,275035,270594
 "15001","Hawaii, HI",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",752,1399,3180,3526,3615,6153,7128,10628,8047,6184,5108,6085,8522,11123,11370,9531,8842,8556,7310,8707,6901,6889,13412,31027,40686,36766,35819,31899,29438,26017,23592,15111,21084,28397,25020,18035,13955,15037,18652,43772,104297,113298,92329,72415,47767,29837,22949,22188,26195,24167,25797
 "15001","Hawaii, HI",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",14711,17093,19980,23267,28471,33204,42877,47929,52733,63002,72046,83953,100946,112284,128561,136879,147376,159339,167916,179945,205356,221529,241509,269516,301199,334169,382033,393838,395847,418203,446427,472634,518517,562849,592252,647996,718460,755424,846931,972381,998474,1119144,1194614,1183847,1259158,1408454,1483572,1575741,1677439,1730657,1807427
 "15001","Hawaii, HI",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",38847,46559,53704,60813,70966,77659,86639,92317,102729,121485,142366,172759,206394,207846,245408,279991,297872,321580,343715,362759,417192,447802,478434,505196,526555,554177,575484,588012,620525,670764,670659,721807,749622,727477,734736,840441,915138,1077776,1262810,1439816,1205782,1230013,1339905,1451000,1460656,1560512,1788926,1820566,1907001,2010128,2049052
 "15001","Hawaii, HI",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",63104,63549,73508,69922,72856,73891,77212,80481,82610,85661,89069,92897,96122,98798,100764,103528,105900,108362,111735,113439,116585,121572,127266,131630,135085,137713,140492,141935,144445,145833,146970,149244,151690,154576,158442,162852,168237,173536,177733,181506,183629,185363,187079,189161,191459,193711,195975,198316,199981,201509,201513
 "15001","Hawaii, HI",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3602,4238,4122,4783,5103,6892,6567,6625,7105,7622,8351,10075,9859,10109,11129,11313,11607,12358,12774,13848,15590,16669,17299,17739,18228,18569,18767,19015,19228,20121,20964,22292,23145,24104,24883,26891,28821,30123,31345,32527,30905,31664,32835,33675,33656,35434,37790,39070,40976,42228,43578
 "15001","Hawaii, HI",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2711,3172,3019,3440,3573,5134,4566,4500,4859,5135,5606,6932,6243,6435,6949,6839,6930,7438,7729,8568,9752,10640,11034,11017,11136,11118,10889,11029,11224,11677,12436,13457,13964,14855,15656,16926,18277,18694,18542,18045,17123,17008,17350,17910,17686,18407,19468,20421,21541,22180,22970
