GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "19000","Iowa",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26298368,27993694,31680973,32544391,33149477,36944129,38216260,39480301,41377402,42759779,46555049,49023054,50144695,53791872,54052557,58946166,61328566,66840910,69956071,73327397,75330884,80442425,82725055,84646820,86451977,93511289,96563579,102580079,109889642,116255764,112627998,116247364,125560515,131984153,134463477,139303311,144493640,145756408,149732270,157980897,163638618
 "19000","Iowa",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",7899669,8285280,8530696,9639701,11724821,11721011,12891855,13556968,14947851,17523533,18383640,18513212,20378283,19621161,19633329,22554907,23418252,24418398,26371209,27275538,29823138,31409733,32009449,35023425,34751611,38888890,39672836,43796439,45662683,47843731,49856673,53294550,54516207,55763100,57754153,63906634,65741274,68741991,73067796,76080715,72640039,75009490,81457451,85520690,88359345,90146952,92486501,91817052,94466936,99048339,103062965
 "19000","Iowa",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",855522,992040,1126665,1215939,1404254,1626214,2016950,2218975,2345021,2583830,2895150,3412174,3882304,4426006,4743123,4858774,5156096,5351327,5465565,5713679,6101237,6630311,7127035,7698132,8057961,8375510,8823854,9268474,9530364,9769243,10133010,10852468,11745698,12931962,12876642,13341213,14254193,15719673,16725825,19053934,20383585,21720557,22059721,21983499,22468431,23641779,24897946,25496829,25407996,27516422,29099581
 "19000","Iowa",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",81952,100612,115519,119745,94036,120000,159197,178368,174978,187949,217987,293161,319613,325234,374280,393059,407390,433994,421776,425208,442366,482377,528861,592517,627950,651674,686601,728068,698191,708734,721836,717980,757223,810851,899268,977436,1076427,1144746,1396602,1526741,1757847,1927299,1950737,1979721,1995936,1954402,1959053,1943189,1909936,1865229,1957707
 "19000","Iowa",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",19042,33203,48951,45411,32991,40679,136692,154407,125381,127836,124320,200165,192852,362368,348975,185485,197666,181976,141844,128001,132662,151124,199539,271820,250860,168014,169154,189718,183867,160507,191147,213905,313242,440630,468106,333131,310609,324253,343060,491948,1141100,1084374,848853,647410,524323,413826,407741,422275,414744,378557,385220
 "19000","Iowa",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",754528,858225,962195,1050783,1277227,1465535,1721061,1886200,2044662,2268045,2552843,2918848,3369839,3738404,4019868,4280230,4551040,4735357,4901945,5160470,5526209,5996810,6398635,6833795,7179151,7555822,7968099,8350688,8648306,8900002,9220027,9920583,10675233,11680481,11509268,12030646,12867157,14250674,14986163,17035245,17484638,18708884,19260131,19356368,19948172,21273551,22531152,23131365,23083316,25272636,26756654
 "19000","Iowa",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1618851,1817638,1984251,2184507,2525707,2877774,3224897,3504323,3982384,4429855,5019578,6068308,7420386,8497224,8773025,9530448,9641912,9710576,9540628,9770562,10630674,10983010,11008211,11070315,11242985,11681766,12831876,13775997,14763024,15714423,15341201,16295407,16463150,15951758,15821182,16263442,16568112,18118415,20096021,21121115,19604374,19517317,22043343,24479964,23635701,25514580,27109193,28442527,29857338,31416136,31476072
 "19000","Iowa",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
 "19000","Iowa",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38105,40948,42905,43474,44801,46298,46547,47662,50175,51865
 "19000","Iowa",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2816,2929,2991,3370,4094,4087,4474,4669,5129,6003,6303,6353,7008,6794,6840,7890,8276,8746,9531,9852,10764,11294,11442,12427,12250,13642,13836,15207,15794,16482,17088,18195,18594,19004,19631,21637,22177,23047,24362,25220,23951,24587,26565,27801,28568,28992,29634,29322,30070,31458,32666
