GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "16000","Idaho",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2390991,2647659,2894151,3304340,3820515,4497360,4866714,5436242,5942337,6829893,7469176,8394944,9237600,9699648,10599546,11294307,11932755,12177177,12724367,13765671,15146937,16352310,17190924,18904843,20720800,22179369,23842687,25334944,26420121,28573438,30346243,32791088,34062249,35180448,36402636,39244730,41843167,46161309,49123049,50205416,48476976,50196584,53082625,56139837,58338274,61827347,65683352,68248359,72604966,77992643,82148381
 "16000","Idaho",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1828256,1988173,2132253,2456849,2835302,3336028,3469288,3903988,4239982,4934568,5310686,5830263,6212217,6185479,6827202,7252699,7544763,7690358,8223109,9007785,9901968,10793544,11278225,12510401,13778234,14672823,15508060,16415597,17038901,18632044,20201775,21980822,22642061,23486204,23873458,25728621,27074732,29605154,31251887,31003786,29685733,30445331,32090956,33435000,35419928,37244219,39096179,40354094,42712049,45840626,48835079
 "16000","Idaho",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",193654,228696,269207,306344,350738,421478,523680,592519,628411,670353,782597,937417,1074013,1232596,1303498,1349184,1445318,1524840,1569784,1686008,1834090,1978472,2214385,2477921,2666717,2829042,3114066,3329547,3455236,3598451,3823132,4144677,4630884,5025614,5336896,5717819,6178041,6706486,7282026,8477354,9323734,10249431,10294030,10430458,10773692,11337586,12003707,12516896,13164878,13982752,14969857
 "16000","Idaho",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13504,17796,20006,25605,22184,32521,41764,47531,50402,50196,65002,89777,94605,96315,101123,100168,104090,107292,107987,116820,126603,138672,160476,194884,214686,234298,266703,285672,287828,281065,303524,307780,321592,375164,435193,481254,541694,558674,627736,701683,874886,1016904,1089721,1069351,1078294,1042098,1049879,1030662,1003365,962644,1020533
 "16000","Idaho",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",8549,11695,19328,21492,17386,24778,46221,43402,37451,34579,47563,75564,82151,145132,124920,84862,89893,98008,80548,67897,64991,71756,100715,131487,140166,107933,112831,115309,110325,118948,113540,112868,165139,249299,252055,176158,144921,121786,139095,264961,638765,598914,439964,320794,213897,137820,128921,123066,114562,92009,93561
 "16000","Idaho",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",171601,199205,229873,259247,311168,364179,435695,501586,540558,585578,670032,772076,897257,991149,1077455,1164154,1251335,1319540,1381249,1501291,1642496,1768044,1953194,2151550,2311865,2486811,2734532,2928566,3057083,3198438,3406068,3724029,4144153,4401151,4649648,5060407,5491426,6026026,6515195,7510710,7810083,8633613,8764345,9040313,9481501,10157668,10824907,11363168,12046951,12928099,13855763
 "16000","Idaho",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",369081,430790,492691,541147,634475,739854,873746,939735,1073944,1224972,1375893,1627264,1951370,2281573,2468846,2692424,2942674,2961979,2931474,3071878,3410879,3580294,3698314,3916521,4275849,4677504,5220561,5589800,5925984,6342943,6321336,6665589,6789304,6668630,7192282,7798290,8590394,9849669,10589136,10724276,9467509,9501822,10697639,12274379,12144654,13245542,14583466,15377369,16728039,18169265,18343445
 "16000","Idaho",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
 "16000","Idaho",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22816,23788,25235,25805,26247,26700,28197,29297,31431,32638,32722,31186,31957,33514,35190,36208,37905,39783,40567,42268,44554,45968
 "16000","Idaho",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2586,2772,2886,3219,3625,4129,4170,4556,4799,5417,5694,6150,6456,6352,6953,7320,7590,7766,8348,9139,9958,10662,10831,11674,12427,12813,13172,13645,13869,14878,15836,16916,17154,17522,17510,18486,18957,20158,20764,20207,19097,19383,20261,20958,21983,22834,23679,23986,24866,26187,27327
 "16000","Idaho",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",274,319,364,401,448,522,629,691,711,736,839,989,1116,1266,1328,1362,1454,1540,1594,1711,1844,1954,2127,2312,2405,2470,2645,2768,2813,2873,2997,3190,3508,3749,3914,4108,4326,4566,4838,5525,5998,6525,6499,6538,6687,6951,7270,7440,7664,7988,8377
 "16000","Idaho",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",19,25,27,34,28,40,50,55,57,55,70,95,98,99,103,101,105,108,110,119,127,137,154,182,194,205,227,237,234,224,238,237,244,280,319,346,379,380,417,457,563,647,688,670,669,639,636,613,584,550,571
 "16000","Idaho",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",12,16,26,28,22,31,56,51,42,38,51,80,85,149,127,86,90,99,82,69,65,71,97,123,126,94,96,96,90,95,89,87,125,186,185,127,101,83,92,173,411,381,278,201,133,84,78,73,67,53,52
 "16000","Idaho",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",243,278,311,340,398,451,524,585,612,643,718,814,933,1018,1097,1175,1259,1333,1402,1523,1652,1746,1876,2008,2085,2172,2323,2434,2488,2554,2670,2866,3140,3284,3410,3636,3845,4103,4329,4895,5024,5497,5533,5667,5885,6227,6556,6754,7013,7385,7753
 "16000","Idaho",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",522,601,667,709,811,916,1050,1097,1216,1345,1475,1717,2028,2343,2514,2717,2960,2991,2976,3117,3430,3536,3552,3655,3856,4085,4434,4646,4824,5065,4955,5130,5144,4975,5275,5603,6015,6707,7035,6990,6091,6049,6754,7694,7538,8121,8833,9140,9739,10379,10265
 "16000","Idaho",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",1940837,2109689,2270103,2622172,3055068,3594491,3755533,4237234,4620907,5377412,5828047,6376209,6862295,6843620,7543115,8046458,8389423,8544914,9103354,10009549,11003255,12071286,12664353,14016026,15424480,16478251,17402868,18327014,18998058,20669390,22307327,24303725,25019718,25964255,26462894,28518941,30150645,33113754,34935125,34667479,33165315,34038066,35166458,36382096,38956733,40867196,42946782,44401520,47060863,50490131,53698850
 "16000","Idaho",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",1320708,1440640,1556675,1749463,1980130,2261040,2564467,2950054,3325581,3767300,4185009,4473971,4857421,4892534,5182475,5561836,5847881,5908275,6151576,6685163,7231106,7959014,8540741,9305334,10032170,10990012,11777423,12353382,13152525,14010223,15090399,16650453,16997504,17443471,17984513,19243198,20653884,22715341,24022764,23953403,22800335,22944997,23460862,24151200,25253641,26661307,27890206,29430238,31542192,33779598,35648783
 "16000","Idaho",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",166041,189282,220779,269619,314908,364907,432096,501565,583259,675185,760717,827062,931284,968696,1071524,1176151,1259181,1314077,1372893,1506255,1683373,1911218,2100082,2391517,2633968,2834519,2937757,3006147,3086904,3290040,3482060,3842437,3941296,4131351,4374194,4711183,5089805,5685220,5965116,5997631,5811873,5980257,5855150,5933059,6526864,6376141,6777422,7141032,7881730,8408246,8841791
 "16000","Idaho",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",98691,116438,137934,169879,184694,211954,261706,295815,347465,396240,441047,486234,538037,571287,636532,681403,744676,790943,836700,905372,1032919,1158306,1283418,1495544,1642149,1742322,1768827,1814628,1862114,1988523,2126281,2366275,2450153,2604758,2784076,3026423,3268368,3660059,3861880,3903508,3753564,3752419,3622743,3656065,4199652,3999868,4309709,4560506,5145206,5573760,5877172
 "16000","Idaho",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",67350,72844,82845,99740,130214,152953,170390,205750,235794,278945,319670,340828,393247,397409,434992,494748,514505,523134,536193,600883,650454,752912,816664,895973,991819,1092197,1168930,1191519,1224790,1301517,1355779,1476162,1491143,1526593,1590118,1684760,1821437,2025161,2103236,2094123,2058309,2227838,2232407,2276994,2327212,2376273,2467713,2580526,2736524,2834486,2964619
 "16000","Idaho",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",454088,479767,492649,603090,760030,968544,758970,785615,712067,934927,882321,1075176,1073590,982390,1289116,1308471,1282361,1322562,1578885,1818131,2088776,2201054,2023530,2319175,2758342,2653720,2687688,2967485,2758629,3369127,3734868,3810835,4080918,4389433,4104187,4564560,4406956,4713193,4947245,4716445,4553107,5112812,5850446,6297837,7176228,7829748,8279154,7830250,7636941,8302287,9208276
 "16000","Idaho",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",185661,194520,181132,243905,368461,522520,269621,184538,76979,173739,84193,251583,271052,219221,418134,336652,294708,327882,441965,497784,694020,781771,615232,659213,840677,471637,521978,648678,402501,605116,650277,616812,719089,642554,445042,912287,654610,566529,1009535,1029335,328931,821614,1446533,1388838,1603032,1668723,1690166,1362147,851130,1144921,1725029
 "16000","Idaho",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",268427,285247,311517,359185,391569,446024,489349,601077,635088,761188,798128,823593,802538,763169,870982,971819,987653,994680,1136920,1320347,1394756,1419283,1408298,1659962,1917665,2182083,2165710,2318807,2356128,2764011,3084591,3194023,3361829,3746879,3659145,3652273,3752346,4146664,3937710,3687110,4224176,4291198,4403913,4908999,5573196,6161025,6588988,6468103,6785811,7157366,7483247
 "16000","Idaho",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",315337,324150,332158,346866,365091,381309,393178,419224,434655,459904,468736,464366,461502,451634,462543,472247,473734,473569,487369,508352,524961,548397,565996,585584,611603,646775,667062,688744,708389,732684,747188,776910,783399,791311,800913,825327,861524,899832,929495,921093,880480,868718,878541,883148,902866,925519,949506,976764,1007546,1040434,1071664
 "16000","Idaho",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",245007,253234,259833,271570,287985,302636,311738,333582,345508,368636,375117,367501,365646,351181,359581,369042,367760,367002,373362,388878,406139,424730,437663,456303,476463,499029,515973,530567,545066,564673,580625,604213,610828,612909,617083,632988,654842,682736,699031,691217,649645,642637,646362,652207,667781,685329,703879,726745,749421,772994,796965
 "16000","Idaho",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",70330,70916,72325,75296,77106,78673,81440,85642,89147,91268,93619,96865,95856,100453,102962,103205,105974,106567,114007,119474,118822,123667,128333,129281,135140,147746,151089,158177,163323,168011,166563,172697,172571,178402,183830,192339,206682,217096,230464,229876,230835,226081,232179,230941,235085,240190,245627,250019,258125,267440,274699
 "16000","Idaho",7,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",25828,25530,25322,25012,24811,24444,24119,24195,24158,23782,24166,24249,24099,24497,25918,25775,25805,24927,23514,22786,22564,22144,21628,21258,23630,23384,23348,23541,24110,24536,24451,24595,24539,24868,23888,23223,23036,22450,22472,22578,22951,22805,22683,22299,22272,22466,22809,22884,22901,22727,22546
 "16000","Idaho",7,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",44502,45386,47003,50284,52295,54229,57321,61447,64989,67486,69453,72616,71757,75956,77044,77430,80169,81640,90493,96688,96258,101523,106705,108023,111510,124362,127741,134636,139213,143475,142112,148102,148032,153534,159942,169116,183646,194646,207992,207298,207884,203276,209496,208642,212813,217724,222818,227135,235224,244713,252153
 "16000","Idaho",7,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",6155,6508,6834,7560,8368,9427,9552,10107,10631,11692,12434,13731,14869,15153,16308,17039,17709,18044,18679,19690,20960,22012,22375,23935,25220,25478,26089,26609,26819,28211,29855,31283,31937,32812,33041,34555,34997,36800,37585,37637,37667,39182,40028,41196,43148,44156,45231,45458,46708,48528,50108
 "16000","Idaho",7,CAINC30,300,"..."," Average wages and salaries","Dollars",5390,5689,5991,6442,6876,7471,8226,8844,9625,10220,11157,12174,13284,13932,14413,15071,15901,16099,16476,17191,17805,18739,19514,20393,21056,22023,22826,23283,24130,24811,25990,27557,27827,28460,29144,30401,31540,33271,34366,34654,35097,35704,36297,37030,37817,38903,39624,40496,42089,43700,44731
 "16000","Idaho",7,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",6032,6285,6628,7143,7488,8225,8537,9782,9772,11279,11492,11342,11184,10048,11305,12551,12320,12184,12564,13656,14490,13980,13198,15367,17197,17546,16954,17223,16925,19265,21705,21566,22710,24404,22878,21596,20432,21304,18932,17787,20320,21110,21021,23528,26188,28297,29571,28477,28848,29248,29677
 "16001","Ada, ID",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",450465,512191,578499,654743,745922,862053,1014982,1158730,1325478,1546456,1708750,1897744,2090107,2240075,2407482,2649168,2869634,2959609,3141294,3466861,3830835,4161641,4496472,5083537,5688447,6416497,7000247,7383228,7771687,8511062,9319087,10528111,10551562,11021821,11379406,12274748,13123444,14772923,15270254,15143653,14681119,15075462,15911780,16967191,17859812,19325316,20616748,21526009,23235647,25155399,26437103
