GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "17000","Illinois",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,367350200,383422716,412423055,427473310,432411991,439954703,457435410,476560054,508470324,538060086,551530997,525210738,540492620,567967515,593239141,607671375,637279963,665490089,672019862,693273707,727064080,744640727
 "17000","Illinois",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",38330273,40110882,42659136,46152214,50987392,55016330,58757602,63968820,70819433,78452753,85715587,89097094,95696016,97429200,100540303,111753816,118360735,125532513,135156575,146950364,155985339,165626629,168159016,182289114,188979605,199106596,208654061,221772574,235388915,250199403,266509461,285701243,298247528,303520713,309053123,321534744,329758834,348501529,363287241,366639736,345383814,354791604,375857180,390834931,403987469,418612516,432793436,436845641,447674648,469738338,481996174
 "17000","Illinois",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",3236192,3837259,4590286,5167158,6146906,7008493,8984004,9927204,10384338,11047870,12032364,14609829,16781548,18426132,19724878,20091318,20964862,21727199,22175204,22953215,24385048,26622388,28684002,32823850,34423910,35676323,38054198,40024144,40767747,41558559,42210110,44889486,48436383,52099201,54297936,56258746,61767044,62812220,69351007,76285498,85706689,93254105,89269901,89370409,93185484,94632760,101187743,101680460,105014838,108060120,112156778
 "17000","Illinois",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",337456,468247,686738,791069,974585,1104719,1333119,1432934,1435164,1370864,1448701,1724787,1981967,2054195,2206917,2301622,2419038,2507833,2495517,2566857,2698789,3039064,3435068,3764446,3996608,4229484,4458445,4766585,4695243,4762745,4524228,4493472,4615255,4984391,5380730,6181138,7233309,7716159,7524457,8061008,9410158,10116495,10617937,10906328,11161215,11292917,12925720,12172574,12022492,11850098,12128698
 "17000","Illinois",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",101850,197292,269068,278696,186544,273733,908523,1113395,1017393,765153,719747,1440515,1562477,2023192,2235820,1062000,1009388,946917,848817,737166,773353,957096,1382508,1978018,1838410,1202992,1181462,1319134,1194565,1099206,1175383,1229915,1913426,3037367,3022020,2164798,1822941,1668354,1866085,2751180,6991231,7201146,5455140,4192880,3542434,2022838,1810880,1830827,1859905,1683955,1709540
 "17000","Illinois",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2796886,3171720,3634480,4097393,4985777,5630041,6742362,7380875,7931781,8911853,9863916,11444527,13237104,14348745,15282141,16727696,17536436,18272449,18830870,19649192,20912906,22626228,23866426,27081386,28588892,30243847,32414291,33938425,34877939,35696608,36510499,39166099,41907702,44077443,45895186,47912810,52710794,53427707,59960465,65473310,69305300,75936464,73196824,74271201,78481835,81317005,86451143,87677059,91132441,94526067,98318540
 "17000","Illinois",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6918059,7576130,8067948,8710550,9833359,11191531,12124652,12936248,14255896,15841045,17821572,21504040,26399406,31156371,32754819,36872012,37884183,39145759,39851191,42739128,46546811,48552294,49028924,50624076,51959076,55271757,61101055,65756207,70182482,75592238,74703145,81832326,80789399,76792077,76603644,79641920,85034176,97156575,105421838,108605763,94120235,92446911,102840434,113033801,110498422,124034687,131508910,133493761,140584221,149265622,150487775
 "17000","Illinois",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
 "17000","Illinois",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44140,46050,47124,49461,51753,52417,54252,57145,58764
 "17000","Illinois",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3472,3606,3807,4099,4528,4880,5197,5631,6209,6861,7504,7792,8363,8529,8813,9793,10383,11024,11865,12901,13671,14461,14535,15588,16002,16714,17376,18325,19317,20388,21564,22977,23882,24232,24614,25539,26151,27563,28615,28763,26990,27631,29210,30338,31329,32490,33657,34074,35033,36920,38037
