GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "18000","Indiana",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47805688,51418727,56406955,58429262,61276454,68009268,71812804,75637237,80257463,85926055,93580934,98748774,101775143,110147929,116112382,123384197,129005550,136363455,143496312,154850859,161356529,171989680,175850809,178418208,182652272,191298252,197696750,209427494,216814316,226332660,220274848,230109228,245346443,257149486,260424378,270985660,281848465,289731396,301238255,316836499,327712452
 "18000","Indiana",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",15505944,15784488,16983518,18625052,21329590,22257891,23328860,26309197,29268708,32764657,35787696,36639285,38956181,38975156,40603092,45696088,48276878,51024285,55191224,59123238,63769990,66949058,68973368,74956879,79247418,84369398,87670659,92587951,97727872,105793161,111881784,118764183,120629368,122865327,126266843,132918787,136355377,142576261,146100141,148903425,142218062,149548298,161217896,168405900,171937307,176232121,182170727,187810167,194773764,204613818,211422599
 "18000","Indiana",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1279491,1500681,1790316,1970018,2334859,2756768,3511531,3673861,3856762,4241635,4872153,6099062,6813263,7591528,8172075,8569132,9018555,9524831,9708778,10289638,11188044,12157814,13378353,15286467,16137709,16836649,17150643,18108377,18590422,19304769,20202431,21735529,24028246,25502826,26513097,28073232,30567991,32996463,34612087,40041781,44250946,47314897,47358946,48857657,49235597,52570018,54678537,55986494,57531349,59850510,63282012
 "18000","Indiana",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",48398,80066,119099,139635,134921,173505,218301,264250,254652,249710,314599,478366,538298,562404,629953,628856,631358,630723,611861,671580,714472,824436,973510,1210817,1313083,1438564,1463408,1465074,1507787,1476753,1644425,1723432,1809693,2026280,2209760,2422305,2701577,2823414,3058068,3476305,4413297,5144173,5108348,5052592,5112590,5126899,4699494,4613900,4509818,4342648,4561379
 "18000","Indiana",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",27567,66082,104321,85032,54435,115582,372410,206363,126691,136961,184317,602471,371082,507791,466143,240265,216388,211544,175743,135155,130700,145138,212696,227469,207041,214989,231411,274072,257248,264804,263943,304545,596021,873459,960587,748094,710391,779354,769591,1228177,3243707,2902610,2020683,1450072,886512,439057,365274,339421,270037,268284,253441
 "18000","Indiana",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1203526,1354533,1566896,1745351,2145503,2467681,2920820,3203248,3475419,3854964,4373237,5018225,5903883,6521333,7075979,7700011,8170809,8682564,8921174,9482903,10342872,11188240,12192147,13848181,14617585,15183096,15455824,16369231,16825387,17563212,18294063,19707552,21622532,22603087,23342750,24902833,27156023,29393695,30784428,35337299,36593942,39268114,40229915,42354993,43236495,47004062,49613769,51033173,52751494,55239578,58467192
 "18000","Indiana",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2452900,2743554,3019906,3251453,3703950,4259661,4767142,5148498,5775448,6392139,7145839,8680380,10637511,11862578,12501287,13744048,14517371,15088121,15357461,16513179,18622900,19641902,19423422,19904583,20727255,22178150,24184248,25667127,27178018,29752929,29272314,31489968,31193195,30050055,29872332,30306233,30773382,33854770,36102088,37387454,33805840,33246033,36769601,39885929,39251474,42183521,44999201,45934735,48933142,52372171,53007841
 "18000","Indiana",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
 "18000","Indiana",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25813,26693,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35454,37650,39333,39646,41098,42650,43672,45244,47321,48678
 "18000","Indiana",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3015,3033,3235,3517,4002,4160,4360,4898,5415,6016,6537,6673,7108,7128,7450,8372,8843,9355,10084,10766,11545,12046,12281,13209,13809,14563,14983,15677,16410,17635,18508,19496,19686,19959,20377,21325,21717,22514,22901,23176,22017,23041,24740,25759,26175,26728,27566,28309,29254,30560,31405
 "18000","Indiana",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",249,288,341,372,438,515,656,684,714,779,890,1111,1243,1388,1499,1570,1652,1746,1774,1874,2025,2188,2382,2694,2812,2906,2931,3066,3122,3218,3342,3568,3921,4143,4279,4504,4869,5211,5425,6232,6851,7290,7268,7473,7495,7973,8274,8439,8641,8939,9400
 "18000","Indiana",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",9,15,23,26,25,32,41,49,47,46,57,87,98,103,116,115,116,116,112,122,129,148,173,213,229,248,250,248,253,246,272,283,295,329,357,389,430,446,479,541,683,793,784,773,778,778,711,695,677,649,678
 "18000","Indiana",3,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",5,13,20,16,10,22,70,38,23,25,34,110,68,93,86,44,40,39,32,25,24,26,38,40,36,37,40,46,43,44,44,50,97,142,155,120,113,123,121,191,502,447,310,222,135,67,55,51,41,40,38
 "18000","Indiana",3,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",234,260,298,330,403,461,546,596,643,708,799,914,1077,1193,1298,1411,1497,1592,1630,1727,1872,2013,2171,2440,2547,2621,2641,2772,2825,2928,3026,3235,3529,3672,3767,3995,4325,4642,4825,5500,5665,6050,6174,6479,6582,7129,7508,7692,7923,8250,8685
 "18000","Indiana",3,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",477,527,575,614,695,796,891,958,1069,1174,1305,1581,1941,2169,2294,2518,2659,2766,2806,3007,3371,3534,3458,3508,3612,3828,4133,4346,4564,4960,4842,5169,5090,4881,4821,4862,4901,5346,5659,5819,5234,5122,5643,6101,5976,6398,6809,6924,7349,7822,7874
 "18000","Indiana",3,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",16559407,16821198,18071479,19887663,22973266,24066463,25121072,28361742,31579299,35456979,38848588,39671153,42504222,42554753,44424894,49969736,52905012,55944608,60440353,65055342,70158341,73869666,76362612,82765547,87443823,93273107,96808306,101962444,107590125,116395080,122871003,130046205,131851519,134388268,138214596,145377791,149240626,156107787,159772351,163004611,155641328,163524439,173579544,181463480,187368161,192468464,198721598,204747533,212206181,222850628,229895843
 "18000","Indiana",3,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",13168309,13519880,14266808,15747434,17633489,18930239,19250548,21772952,24445354,27489676,30280928,31181355,33618494,33550633,35009429,38287517,40547627,42798750,46014410,49823888,52835573,55760172,57844970,61535425,64911452,69485755,73158274,76517253,81056496,87044130,91587831,95775772,96496186,97991272,100505583,105572465,108663077,113129738,116694686,118218938,111453201,114358549,119136930,124641790,127532806,132284372,138764573,142939569,149536886,155825913,160988661
 "18000","Indiana",3,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1504245,1578607,1749671,2052020,2340177,2567480,2844862,3253565,3814994,4354173,4877957,5177310,5684957,5968936,6526177,7170328,7778817,8527467,9173878,10111955,11121060,12019061,12919370,14583610,15465469,16394678,16419863,16658249,17189436,18558941,19903604,21642387,22101445,22823748,24027522,25156084,26564304,27802169,28764112,29329134,26892538,28005628,28672303,30248100,30325520,32883179,32981218,34054063,34995138,37268787,38047736
 "18000","Indiana",3,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",970912,1038318,1154296,1337817,1409293,1529672,1794694,2013743,2396545,2696892,3011781,3302414,3536254,3784045,4178505,4472929,4943921,5521751,6008996,6577044,7387007,7948064,8644388,10032702,10634790,11170250,10970901,11030362,11273777,12241643,13294109,14746495,15154293,15732508,16642283,17383159,18420550,19336878,20107432,20529833,18494656,19412323,19632641,20805341,20621481,22852779,22557780,23480086,24090178,25994945,26363278
 "18000","Indiana",3,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",533333,540289,595375,714203,930884,1037808,1050168,1239822,1418449,1657281,1866176,1874896,2148703,2184891,2347672,2697399,2834896,3005716,3164882,3534911,3734053,4070997,4274982,4550908,4830679,5224428,5448962,5627887,5915659,6317298,6609495,6895892,6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10030400,10423438,10573977,10904960,11273842,11684458
 "18000","Indiana",3,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1886853,1722711,2055000,2088209,2999600,2568744,3025662,3335225,3318951,3613130,3689703,3312488,3200771,3035184,2889288,4511891,4578568,4618391,5252065,5119499,6201708,6090433,5598272,6646512,7066902,7392674,7230169,8786942,9344193,10792009,11379568,12628046,13253888,13573248,13681491,14649242,14013245,15175880,14313553,15456539,17295589,21160262,25770311,26573590,29509835,27300913,26975807,27753901,27674157,29755928,30859446
 "18000","Indiana",3,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",487990,312586,524521,429096,1132176,611453,959086,915509,542975,580862,505775,204156,129839,106967,-449336,566301,496903,407442,595244,99048,766918,635294,23310,617333,615629,591624,120431,980298,924362,493306,209889,611639,781050,205437,953665,1727817,1028722,840677,1226878,1952523,1177226,1215482,2411832,1835320,4875843,2519009,872777,1142178,1066383,1334374,1010114
 "18000","Indiana",3,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1398863,1410125,1530479,1659113,1867424,1957291,2066576,2419716,2775976,3032268,3183928,3108332,3070932,2928217,3338624,3945590,4081665,4210949,4656821,5020451,5434790,5455139,5574962,6029179,6451273,6801050,7109738,7806644,8419831,10298703,11169679,12016407,12472838,13367811,12727826,12921425,12984523,14335203,13086675,13504016,16118363,19944780,23358479,24738270,24633992,24781904,26103030,26611723,26607774,28421554,29849332
 "18000","Indiana",3,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2326793,2290880,2289961,2366852,2483157,2492502,2404608,2488953,2578127,2669582,2708261,2626041,2602712,2522205,2542022,2642451,2695475,2755432,2849065,2935238,3010334,3069771,3071856,3120633,3197238,3287330,3379373,3418009,3476263,3543278,3596542,3648148,3588944,3553215,3552205,3593283,3634815,3674399,3720040,3682931,3523018,3525335,3590196,3642334,3684125,3740428,3796419,3847689,3901788,3960510,4006907
 "18000","Indiana",3,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2003190,1965281,1957446,2015633,2121293,2126189,2036757,2117641,2200130,2289469,2324381,2232960,2208776,2117949,2126025,2219341,2261717,2318280,2402100,2492096,2572120,2611994,2606822,2656442,2723154,2800975,2870620,2897129,2947544,3004248,3060251,3092859,3029913,2996547,2987839,3011871,3030533,3055171,3069549,3035772,2867328,2874680,2916485,2976626,3009962,3054029,3104792,3151213,3186212,3226669,3250655
 "18000","Indiana",3,CAINC30,260,"..."," Proprietors employment","Number of jobs",323603,325599,332515,351219,361864,366313,367851,371312,377997,380113,383880,393081,393936,404256,415997,423110,433758,437152,446965,443142,438214,457777,465034,464191,474084,486355,508753,520880,528719,539030,536291,555289,559031,556668,564366,581412,604282,619228,650491,647159,655690,650655,673711,665708,674163,686399,691627,696476,715576,733841,756252
 "18000","Indiana",3,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",101864,102073,101518,100462,100720,99663,99095,97220,94091,92527,91552,90563,90547,88600,92723,89145,87708,83162,77658,77004,74683,71212,67826,68087,70603,68677,67371,66325,66343,67285,65866,65029,62793,56675,53974,52527,52119,51048,52363,52258,52683,53288,53564,51174,51475,51151,50832,50544,49581,49113,49028
 "18000","Indiana",3,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",221739,223526,230997,250757,261144,266650,268756,274092,283906,287586,292328,302518,303389,315656,323274,333965,346050,353990,369307,366138,363531,386565,397208,396104,403481,417678,441382,454555,462376,471745,470425,490260,496238,499993,510392,528885,552163,568180,598128,594901,603007,597367,620147,614534,622688,635248,640795,645932,665995,684728,707224
