GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "21000","Kentucky",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89546055,93441261,100796524,104181538,106570480,109617274,116046681,121757828,128867426,134575805,140523387,138823398,144103330,151299853,156827596,158218416,165914696,173495781,176435079,182116005,188876812,195548751
 "21000","Kentucky",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",7574919,8057044,8662296,9591435,10670150,11824919,12477559,14063249,15984561,17889457,19915691,20742486,22482680,23173006,23673535,26865602,27902539,28445318,30529103,33500427,35632152,37539597,39156922,42495910,44255349,46451549,47962537,50795594,54072737,57490098,60930058,65532655,67266736,69008870,71595793,76235761,79778334,82889551,85116867,86578498,83841596,87274042,92039913,95209090,96861013,99273762,103080709,104258709,107502845,110982143,115476133
 "21000","Kentucky",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18426621,19733257,20346833,21900329,23207024,25001037,26897248,30328775,33466208,35454416,35930232,35975479,36841716,40185459,42424314,42668241,43969058,45240680,47035501
 "21000","Kentucky",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",112445,150638,175955,189276,215908,310052,381141,431169,433660,417818,474597,608410,680759,678865,766507,793602,799044,817043,806630,871998,955805,1065201,1214497,1396517,1458082,1529177,1658594,1765244,1780332,1785502,1819231,1819718,1926746,2085821,2276407,2442194,2621414,2740321,2939787,3228100,3773084,4085266,4204998,4280908,4338569,4167034,4061528,3933103,3901949,3764353,3841698
 "21000","Kentucky",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",27961,41688,62880,63439,55036,77686,208232,178912,149026,128588,166983,340514,295881,407786,418515,223175,202093,207349,161536,164448,167151,212900,311916,380196,347498,264965,240686,252415,250299,248880,260384,293733,453054,643344,645487,498459,429851,435382,474409,716734,1763632,1718125,1369579,1046477,796256,400190,323504,380837,334408,334079,318739
 "21000","Kentucky",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",803632,912462,1059428,1188421,1448598,1663645,1994265,2221246,2384955,2631298,3062093,3519527,4062337,4412547,4768130,5211720,5515806,5799802,6088979,6458055,7111756,7732137,8718855,9471542,9896850,10479739,11302919,11964327,12746139,13136610,13656757,14794713,16046821,17004092,17424939,18959676,20155759,21825334,23483052,26383941,27929492,29651025,30355655,30648094,31706891,35618235,38039282,38354301,39732701,41142248,42875064
 "21000","Kentucky",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1192749,1373017,1505492,1647200,1862848,2175885,2417994,2649783,2981723,3376844,3835353,4660622,5716059,6729811,7128335,7967861,8396035,8749463,8911070,9578422,10496831,11123570,11441059,11803091,12170383,12882876,13889681,14842947,15692621,16884965,16774831,18355705,18488181,17828353,17674648,17910591,18772470,20976838,22561690,23616114,21515594,21374872,23329708,25643027,24515687,26455475,27990758,29508129,30644102,32653989,33037117
 "21000","Kentucky",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
 "21000","Kentucky",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34624,35754,35921,37585,39199,39754,40904,42338,43770
 "21000","Kentucky",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2369,2494,2626,2875,3165,3461,3597,3983,4471,4954,5466,5661,6125,6291,6408,7270,7552,7713,8288,9103,9690,10162,10519,11286,11609,12068,12338,12960,13680,14425,15164,16185,16535,16873,17390,18387,19073,19646,19996,20182,19421,20071,21063,21706,21991,22489,23290,23491,24146,24877,25847
