GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "22000","Louisiana",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,98943993,101397141,107072494,114459006,117698461,121131961,126295608,135921323,143643335,157374298,168069987,163751636,171098211,177105109,186589357,189197121,198233939,200110253,198951960,205188041,215308671,220629680
 "22000","Louisiana",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",8383617,8896615,9624912,10530669,11686727,13096253,14526253,16591080,18651265,21448128,24303900,27356049,31121225,32480500,32924372,34827053,35593809,35005470,35380427,37498002,39210119,42345339,44403245,47315184,49176293,51984190,54505180,57201606,60548498,63758979,66080220,70022122,75012672,77723383,80889539,83460712,87334586,93540475,98566531,105921585,103871578,109346081,112217529,117189484,120062079,127183681,124542423,120678104,124070459,129958217,132878553
 "22000","Louisiana",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",961429,1154013,1318384,1450362,1685918,1975103,2440255,2698031,2902719,3156992,3592413,4292296,4790272,5525259,6285186,6544403,7048064,7737181,7834376,8220907,8990798,9905412,11324783,12995318,14307328,15824239,16004807,16292196,16587404,16813016,17250857,17688327,20283649,21372653,21421600,23649890,27719570,25560311,26593738,30287423,32110903,34490077,34946490,35713208,36958112,36674532,40516132,42972329,44417930,46205276,48361718
 "22000","Louisiana",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",186381,253918,280815,296646,315171,389072,429337,471146,464809,469429,557735,687197,738280,723708,813532,886391,931405,1000157,1053030,1164667,1278849,1388084,1523199,1901637,1934479,1980100,2171755,2265984,2231516,2264964,2272990,2267611,2419411,2720830,2859753,3079601,4902827,3008474,3201837,3787875,3939643,4392894,4587705,4749923,4649627,4561193,4619055,5153966,4699614,4635025,4765691
 "22000","Louisiana",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",45962,62943,80257,81362,74843,84666,164702,174617,203974,156683,163336,236299,235736,508377,814097,507288,485452,670710,391567,238530,170560,133931,180528,304228,266138,162953,143668,145831,134046,146009,172643,179484,235583,396627,399674,320848,689334,321650,191738,270755,718473,862528,653244,481228,311210,211880,264616,295822,235633,191461,176034
 "22000","Louisiana",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",729086,837152,957312,1072354,1295904,1501365,1846216,2052268,2233936,2530880,2871342,3368800,3816256,4293174,4657557,5150724,5631207,6066314,6389779,6817710,7541389,8383397,9621056,10789453,12106711,13681186,13689384,13880381,14221842,14402043,14805224,15241232,17628655,18255196,18162173,20249441,22127409,22230187,23200163,26228793,27452787,29234655,29705541,30482057,31997275,31901459,35632461,37522541,39482683,41378790,43419993
 "22000","Louisiana",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1420831,1612407,1771934,1931049,2155832,2580452,2908634,3126417,3477420,4025685,4581691,5720503,7172877,8373930,9212978,10133004,10987788,10952485,10717253,11162298,12125168,12630167,12680257,12953458,13389033,14097389,15443279,16283125,17264699,18371998,18066064,19362045,19162685,18602425,18820822,19185006,20867167,24542549,32214029,31860979,27769155,27262053,29941090,33686665,32176930,34375726,35051698,35301527,36699652,39145178,39389409
 "22000","Louisiana",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794
 "22000","Louisiana",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38706,40554,40912,42686,42900,42528,43932,46207,47460
 "22000","Louisiana",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2317,2437,2594,2799,3085,3428,3737,4199,4645,5266,5871,6478,7266,7462,7491,7914,8075,7943,8144,8743,9220,10031,10440,11021,11393,11957,12448,13004,13695,14359,14813,15658,16752,17282,17892,18334,19083,21740,22527,23880,23125,24061,24525,25471,25962,27387,26699,25796,26564,27890,28583
 "22000","Louisiana",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",266,316,355,386,445,517,628,683,723,775,868,1016,1118,1269,1430,1487,1599,1756,1803,1917,2114,2346,2663,3027,3315,3640,3655,3704,3752,3786,3867,3955,4530,4752,4738,5195,6057,5941,6078,6828,7149,7589,7638,7762,7992,7897,8686,9186,9510,9916,10403
 "22000","Louisiana",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",52,70,76,79,83,102,110,119,116,115,135,163,172,166,185,201,211,227,242,272,301,329,358,443,448,455,496,515,505,510,510,507,540,605,633,677,1071,699,732,854,877,967,1003,1032,1005,982,990,1102,1006,995,1025
 "22000","Louisiana",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",13,17,22,22,20,22,42,44,51,38,39,56,55,117,185,115,110,152,90,56,40,32,42,71,62,37,33,33,30,33,39,40,53,88,88,70,151,75,44,61,160,190,143,105,67,46,57,63,50,41,38
 "22000","Louisiana",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",201,229,258,285,342,393,475,519,556,621,694,798,891,986,1060,1170,1277,1377,1471,1590,1773,1986,2262,2513,2805,3147,3126,3155,3217,3243,3319,3408,3937,4059,4017,4448,4835,5167,5302,5913,6112,6433,6492,6625,6919,6869,7639,8021,8454,8880,9340
 "22000","Louisiana",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",393,442,478,513,569,675,748,791,866,988,1107,1355,1675,1924,2096,2303,2493,2485,2467,2603,2851,2992,2981,3017,3102,3243,3527,3702,3905,4138,4050,4330,4279,4136,4163,4214,4560,5704,7362,7183,6182,5999,6544,7322,6958,7402,7514,7546,7858,8401,8473
 "22000","Louisiana",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",8944387,9481933,10289849,11307680,12683588,14268033,15851607,18156692,20415897,23564665,26814726,30286083,34649671,36188144,36614450,38792241,39642216,38870623,39174330,41678179,43616233,47215795,49664354,52820698,54938897,58215839,61065513,64101011,67854770,71525160,73947489,78158188,83629559,86666273,90123143,93010152,97082303,104028882,109757143,117822918,115721098,121580904,123463754,128701204,133486329,141303892,138928266,135183016,139167633,145709056,148628263
 "22000","Louisiana",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",7041650,7431175,7954696,8702515,9604508,10795628,12117919,13850723,15509086,18018194,20422285,23628769,27185533,28478806,28216473,29630540,30085709,28987149,29018745,30711285,31992864,34607727,36636912,38369760,39752611,42210173,44567590,46537338,49692000,53105054,54055815,56101018,58748984,60587573,62675430,65480495,67930926,72521533,78328895,83643408,82280463,83587194,86069492,89000904,91411431,95471424,97226094,95649957,97648783,101705730,104024340
 "22000","Louisiana",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",827425,904299,1014435,1158606,1310420,1518540,1828318,2121549,2477859,2903921,3369780,3910464,4562560,4908005,5128155,5426166,5698737,5757485,5822005,6163170,6657392,7371705,7996157,8882934,9265373,9722267,9988907,10312181,10550185,11019241,11550723,12225216,13383096,14127176,15026268,15911651,16568725,17270637,18126324,18929821,19449778,20830342,20133485,20787020,21564158,22751176,22881847,22906002,23649058,24808651,24821976
 "22000","Louisiana",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",543908,610600,685946,774028,822475,954183,1199359,1368992,1624786,1880301,2172713,2565611,2931439,3175192,3377832,3490357,3768077,3920097,4023482,4176059,4588050,5059075,5516364,6279268,6563944,6819019,6954330,7100142,7159700,7411944,7901897,8445182,9415514,10033433,10822671,11592333,12211133,12657147,13201477,13716597,14275624,15515582,14548824,15029212,15618042,16598536,16587999,16739552,17339340,18266093,18202795
 "22000","Louisiana",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",283517,293699,328489,384578,487945,564357,628959,752557,853073,1023620,1197067,1344853,1631121,1732813,1750323,1935809,1930660,1837388,1798523,1987111,2069342,2312630,2479793,2603666,2701429,2903248,3034577,3212039,3390485,3607297,3648826,3780034,3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6152640,6293848,6166450,6309718,6542558,6619181
 "22000","Louisiana",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1075312,1146459,1320718,1446559,1768660,1953865,1905370,2184420,2428952,2642550,3022661,2746850,2901578,2801333,3269822,3735535,3857770,4125989,4333580,4803724,4965977,5236363,5031285,5568004,5920913,6283399,6509016,7251492,7612585,7400865,8340951,9831954,11497479,11951524,12421445,11618006,12582652,14236712,13301924,15249689,13990857,17163368,17260777,18913280,20510740,23081292,18820325,16627057,17869792,19194675,19781947
 "22000","Louisiana",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",171677,216950,256422,278491,502734,534169,342080,368180,366534,252254,375435,48125,148364,134120,109515,201456,110268,124241,286763,501378,326492,231606,294017,413309,403891,513416,522898,718316,463176,275398,436735,424343,444161,218379,638698,592541,499089,545875,554936,343251,546336,601941,677691,933381,1302766,709608,382811,413274,563251,532782,469262
 "22000","Louisiana",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",903635,929509,1064296,1168068,1265926,1419696,1563290,1816240,2062418,2390296,2647226,2698725,2753214,2667213,3160307,3534079,3747502,4001748,4046817,4302346,4639485,5004757,4737268,5154695,5517022,5769983,5986118,6533176,7149409,7125467,7904216,9407611,11053318,11733145,11782747,11025465,12083563,13690837,12746988,14906438,13444521,16561427,16583086,17979899,19207974,22371684,18437514,16213783,17306541,18661893,19312685
 "22000","Louisiana",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1440191,1429432,1445103,1488438,1550215,1598024,1640816,1702082,1755715,1848757,1896880,1963831,2029903,2022903,1984423,2023412,2009206,1928226,1903658,1935327,1952815,2005292,2030275,2038051,2085583,2125502,2193968,2238770,2289998,2336386,2352801,2388668,2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2684755,2696590,2690820,2695724,2727693,2745180
 "22000","Louisiana",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1256158,1243938,1253645,1289393,1346625,1388527,1419513,1480447,1526582,1610880,1654518,1715928,1773696,1749610,1705081,1736784,1714840,1639520,1606340,1637728,1661610,1709739,1730408,1745980,1774466,1825981,1875168,1907266,1945092,1987258,1994018,2013967,2012821,2001044,2004485,2012261,1980787,1948257,2011614,2035781,1995691,1982491,1996055,2016911,2038049,2067229,2076097,2048769,2047521,2063260,2062866
 "22000","Louisiana",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",184033,185494,191458,199045,203590,209497,221303,221635,229133,237877,242362,247903,256207,273293,279342,286628,294366,288706,297318,297599,291205,295553,299867,292071,311117,299521,318800,331504,344906,349128,358783,374701,385172,398172,414262,422220,416599,465540,489521,515055,534262,554069,568889,584263,603608,617526,620493,642051,648203,664433,682314
 "22000","Louisiana",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",42377,41650,40910,39971,39185,39080,38155,37921,35965,36792,36818,36837,37762,37285,37593,36072,35442,34965,34019,33283,34539,32458,30341,29407,30275,30008,30013,29675,29823,30572,30459,29985,28372,24596,23652,22945,22729,22254,24802,24769,24713,24442,24260,23858,23414,23683,23831,23710,23508,23527,23528
 "22000","Louisiana",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",141656,143844,150548,159074,164405,170417,183148,183714,193168,201085,205544,211066,218445,236008,241749,250556,258924,253741,263299,264316,256666,263095,269526,262664,280842,269513,288787,301829,315083,318556,328324,344716,356800,373576,390610,399275,393870,443286,464719,490286,509549,529627,544629,560405,580194,593843,596662,618341,624695,640906,658786
 "22000","Louisiana",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",6211,6633,7120,7597,8182,8929,9661,10667,11628,12746,14136,15422,17070,17889,18451,19172,19730,20159,20578,21535,22335,23546,24462,25917,26342,27389,27833,28632,29631,30614,31430,32720,34875,36123,37260,38205,40495,43098,43883,46190,45740,47931,48135,49478,50531,52632,51520,50239,51625,53418,54142
 "22000","Louisiana",5,CAINC30,300,"..."," Average wages and salaries","Dollars",5606,5974,6345,6749,7132,7775,8537,9356,10159,11185,12343,13770,15327,16277,16548,17061,17544,17680,18065,18752,19254,20242,21172,21976,22403,23116,23767,24400,25547,26723,27109,27856,29187,30278,31268,32541,34295,37224,38938,41087,41229,42163,43120,44127,44852,46183,46831,46687,47691,49294,50427
 "22000","Louisiana",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",6379,6462,7069,7343,7700,8331,8536,9886,10677,11887,12879,12786,12604,11301,13073,14105,14473,15771,15370,16277,18076,19023,17576,19625,19645,21409,20728,21645,22691,22368,24074,27291,30979,31408,30165,27614,30679,30885,27429,30404,26385,31270,30448,32084,33106,37673,30901,26221,27704,29118,29316
 "22001","Acadia, LA",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",113761,124885,134386,149067,183561,208404,233919,237840,269294,298090,347196,404581,478639,549418,558364,576144,602677,574007,545626,593172,616791,662573,704698,738680,797031,847761,897836,937224,1015974,1088526,1082685,1154780,1237784,1274203,1318710,1337677,1438296,1567311,1690878,1925016,1917444,1958987,2036850,2141340,2240283,2316291,2221748,2129069,2199610,2305649,2344430
 "22001","Acadia, LA",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",83548,89586,94631,105319,133366,147260,163474,159787,183860,204247,241798,271871,314859,350960,335514,346162,358444,323399,304942,350349,356704,390191,410294,426917,459174,481714,516096,545799,612275,666843,653651,708141,747381,770605,824532,834172,908523,1023517,1093318,1213236,1199983,1236086,1284851,1364958,1436709,1488403,1366665,1241775,1279646,1336481,1349846
 "22001","Acadia, LA",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",14306,17357,19680,21531,24452,28875,34639,39049,41261,44654,50048,59520,64543,76292,91617,92969,97983,113163,113747,117086,126850,139592,162517,183288,202387,226983,231843,234032,237608,240582,253542,255875,294549,310330,302119,328712,347232,358777,372474,431707,461574,478644,480395,476346,494831,498322,541636,579668,600210,626988,650940
 "22001","Acadia, LA",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",3164,4239,4805,5025,5168,6650,7280,8312,8204,8140,9301,11412,11881,11979,14467,15496,15937,16887,18389,19880,21364,22836,24379,29392,29366,30103,32587,33546,32410,32379,32168,31896,32405,36324,38548,41044,49073,43430,45313,54186,56060,61679,62393,65432,62780,64504,62749,72103,68466,68581,70725
 "22001","Acadia, LA",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",816,1146,1390,1420,1064,1130,1607,2317,1787,1275,1475,1713,1337,6092,12885,6853,5462,13156,7331,3157,2251,1777,2396,4828,3822,2060,1956,2136,1683,2009,3288,2754,2845,4747,4991,3625,7961,2864,2164,2951,8511,9771,6924,5150,3390,2322,3387,4117,3060,2361,2170
 "22001","Acadia, LA",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",10326,11972,13485,15086,18220,21095,25752,28420,31270,35239,39272,46395,51325,58221,64265,70620,76584,83120,88027,94049,103235,114979,135742,149068,169199,194820,197300,198350,203515,206194,218086,221225,259299,269259,258580,284043,290198,312483,324997,374570,397003,407194,411078,405764,428661,431496,475500,503448,528684,556046,578045
 "22001","Acadia, LA",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",15907,17942,20075,22217,25743,32269,35806,39004,44173,49189,55350,73190,99237,122166,131233,137013,146250,137445,126937,125737,133237,132790,131887,128475,135470,139064,149897,157393,166091,181101,175492,190764,195854,193268,192059,174793,182541,185017,225086,280073,255887,244257,271604,300036,308743,329566,313447,307626,319754,342180,343644
 "22001","Acadia, LA",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61877,61865,61997,62299,62667,62679,62786,62559,62214,62045
 "22001","Acadia, LA",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2194,2394,2559,2833,3479,3955,4403,4423,5005,5482,6267,7144,8347,9383,9443,9806,10212,9700,9354,10344,10862,11887,12531,13107,14011,14875,15622,16141,17451,18607,18425,19641,21035,21573,22278,22587,24163,25897,27828,31498,31203,31659,32924,34539,35960,36962,35446,33910,35161,37060,37786
 "22001","Acadia, LA",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",1611,1717,1802,2001,2528,2795,3077,2972,3417,3756,4364,4801,5491,5993,5674,5892,6073,5465,5228,6110,6282,7000,7296,7575,8072,8452,8980,9400,10517,11399,11124,12044,12701,13047,13929,14085,15263,16911,17993,19852,19527,19977,20769,22017,23062,23751,21804,19778,20455,21482,21756
