GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "25000","Massachusetts",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",24041879,25961402,27741966,29977946,32574071,35182241,37801838,40688841,44297892,48938719,54481353,61388742,68493446,75098546,81445901,91928261,99341606,107146482,116044290,127722938,135208932,139232601,141351750,148477573,154367404,162175192,171741979,182580403,194130726,206428151,220404974,245253198,255085099,254408842,259978783,273462549,285642536,307519297,323111290,335841387,332020585,348423277,365742666,382009395,385191978,405505875,432237386,448480490,469500738,494177305,511333665
 "25000","Massachusetts",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",18062247,19323256,20392741,22070656,23839617,25213219,26298340,28566752,31378719,35015803,38982823,43081777,46776200,50070306,55023279,62310827,68190574,73973173,81289713,89341841,92986576,94190211,93815086,99630034,103633848,108849995,114619112,122426592,130689735,139906812,152672896,171350938,177175246,176172038,178836608,189746769,195255484,206712353,216655332,221698446,220635473,234322939,244173389,252649726,255892588,265752950,281437910,290660655,305263763,320595765,335214418
 "25000","Massachusetts",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2156768,2550539,3020089,3314004,3716296,4404931,5731614,5946181,6108216,6476356,7169064,8188462,9304288,10056214,10655102,11204111,11722420,12332303,12678650,13660641,15405876,17263852,19795608,20657680,21256317,22486108,23824380,24566582,25428439,25551879,26457828,27884214,30483007,33082262,34947924,36364169,39059933,40932692,42627234,48671427,53317498,56144674,56406084,56770673,57325994,59111481,63677536,65998624,66827896,69815728,71418902
 "25000","Massachusetts",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",266655,364245,417789,450405,480286,673959,886657,912130,930827,955751,977454,1112317,1160539,1078103,1086024,1088212,1136561,1204531,1252506,1363648,1456884,1646977,1820657,2023934,2105648,2144455,2182800,2097869,2186472,2172602,2193929,2230422,2295493,2408450,3843083,4210396,4752220,5386147,4467399,4833132,5557605,5843995,5959293,6069960,6086013,6109831,6644707,6507523,6426451,6410059,6497721
 "25000","Massachusetts",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",104384,186063,326534,312834,270819,370842,850116,679354,472534,344986,315440,393995,426797,557645,559041,386771,430918,471472,422681,499243,761924,1067491,1344983,1706364,1219115,880748,775789,771116,723816,740661,828008,797391,1355445,2525701,2365361,1514662,1335438,1303582,1434585,2025319,4691836,4842676,3707601,3048622,2424659,1593721,1440887,1396952,1450266,1398590,1353387
 "25000","Massachusetts",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1785729,2000231,2275766,2550765,2965191,3360130,3994841,4354697,4704855,5175619,5876170,6682150,7716952,8420466,9010037,9729128,10154941,10656300,11003463,11797750,13187068,14549384,16629968,16927382,17931554,19460905,20865791,21697597,22518151,22638616,23435891,24856401,26832069,28148111,28739480,30639111,32972275,34242963,36725250,41812976,43068057,45458003,46739190,47652091,48815322,51407929,55591942,58094149,58951179,62007079,63567794
 "25000","Massachusetts",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",3822864,4087607,4329136,4593286,5018158,5564091,5771884,6175908,6810957,7446560,8329466,10118503,12412958,14972026,15767520,18413323,19428612,20841006,22075927,24720456,26816480,27778538,27741056,28189859,29477239,30839089,33298487,35587229,38012552,40969460,41274250,46018046,47426846,45154542,46194251,47351611,51327119,59874252,63828724,65471514,58067614,57955664,65163193,72588996,71973396,80641444,87121940,91821211,97409079,103765812,104700345
 "25000","Massachusetts",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503
 "25000","Massachusetts",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4255,4552,4834,5203,5632,6090,6560,7078,7712,8522,9481,10684,11873,13013,14044,15739,16893,18152,19552,21358,22477,23118,23486,24628,25471,26607,27964,29545,31180,32914,34889,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53062,55302,57333,57377,59963,63618,65725,68442,71801,74187
 "25000","Massachusetts",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3197,3388,3554,3830,4122,4364,4564,4969,5463,6097,6784,7498,8109,8676,9488,10668,11596,12532,13696,14940,15458,15639,15588,16526,17100,17858,18663,19811,20991,22307,24167,26937,27694,27453,27845,29591,30493,32248,33686,34271,33852,35686,36920,37918,38117,39297,41423,42596,44500,46580,48635
 "25000","Massachusetts",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",382,447,526,575,643,762,995,1034,1063,1128,1248,1425,1613,1742,1837,1918,1993,2089,2136,2284,2561,2866,3289,3427,3507,3689,3879,3975,4084,4074,4188,4384,4765,5155,5441,5671,6100,6386,6628,7524,8181,8550,8529,8520,8539,8741,9372,9672,9742,10144,10362
 "25000","Massachusetts",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",47,64,73,78,83,117,154,159,162,166,170,194,201,187,187,186,193,204,211,228,242,273,303,336,347,352,355,339,351,346,347,351,359,375,598,657,742,840,695,747,853,890,901,911,907,903,978,954,937,931,943
 "25000","Massachusetts",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",18,33,57,54,47,64,148,118,82,60,55,69,74,97,96,66,73,80,71,83,127,177,223,283,201,144,126,125,116,118,131,125,212,394,368,236,209,203,223,313,720,738,561,458,361,236,212,205,211,203,196
 "25000","Massachusetts",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",316,351,397,443,513,582,693,757,819,901,1023,1163,1338,1459,1554,1666,1727,1805,1854,1973,2192,2416,2763,2808,2959,3193,3398,3511,3617,3610,3710,3908,4194,4386,4475,4778,5149,5342,5710,6464,6608,6923,7067,7152,7271,7602,8182,8514,8594,9009,9223
 "25000","Massachusetts",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",677,717,754,797,868,963,1002,1074,1186,1297,1450,1761,2152,2594,2719,3153,3304,3531,3719,4134,4458,4612,4609,4676,4864,5060,5422,5759,6105,6532,6533,7234,7413,7036,7192,7385,8016,9341,9924,10121,8909,8826,9853,10894,10721,11925,12823,13456,14200,15076,15190
