GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419698,25861219,29498713,31303477,33748741,37900312,41259710,44494951,48259164,52814807,56878330,60264357,62297569,65961473,67381872,69577422,73434653,78878757,85557767,92871623,98909248,108747388,112986188,115662758,122349748,130117352,139108980,149467494,150311550,147943088,139816905,150142961,157105840,170496109,170043949,178944507,193121369,200784210,209642971,218878441,227732561
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",5223724,5604717,5948746,6784113,7637758,8504816,9415873,10874084,12703184,14905911,17254866,19599284,21746475,22665351,24331207,27351944,29910480,32533795,35911370,39502122,41403167,43948304,45345058,48167019,49138411,50540221,52970822,56909991,62429036,67932844,73392684,80784772,84235732,86315444,91335080,97340854,101976085,107737836,106083080,99922071,95080261,102813654,105681049,116505337,116799965,118614611,126598577,130343639,135669522,140326824,147042215
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",368618,467248,569248,624633,709858,874651,1159372,1277006,1338471,1451553,1611912,1870805,2232977,2528059,2720816,2857800,3077233,3319006,3455496,3704408,4047955,4425483,4935332,5664037,6023022,6159108,6480575,6816290,6945843,7203931,7569634,8136427,9020297,9784459,10321338,10836234,11432136,12280403,12957512,14965969,16636721,18397656,18534686,18562604,19091020,20254506,21555029,22314836,22444244,23499614,24906289
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",32874,48159,68804,71331,65792,87719,111439,130441,143831,144695,156357,194433,220395,243308,267126,265725,265079,280421,301918,348525,406795,489441,588633,702634,777838,849386,916776,952612,899842,912134,940091,973552,975786,1067716,1158085,1224233,1319172,1354836,1399364,1447613,1667834,1789818,1873452,1911479,1972964,2041970,2079623,2082848,2046293,1960404,2034760
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",24304,47504,60675,46961,37882,64142,154434,129747,83294,66747,48117,78398,91261,182404,196404,107754,108572,113310,89998,83807,85375,119008,209762,347613,364008,226349,178566,151128,122930,113965,124369,156300,222099,508159,472810,324450,267813,255084,288503,574794,1519696,1744005,1282986,971137,735103,399167,326009,318956,323685,299825,284532
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,80,"...","  Retirement and other","Thousands of dollars",311440,371585,439769,506341,606184,722790,893499,1016818,1111346,1240111,1407438,1597974,1921321,2102347,2257286,2484321,2703582,2925275,3063580,3272076,3555785,3817034,4136937,4613790,4881176,5083373,5385233,5712550,5923071,6177832,6505174,7006575,7822412,8208584,8690443,9287551,9845151,10670483,11269645,12943562,13449191,14863833,15378248,15679988,16382953,17813369,19149397,19913032,20074266,21239385,22586997
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1044539,1196670,1322181,1466078,1671803,1949009,2188409,2382806,2645497,3077511,3552920,4391130,5519261,6110067,6696718,7690568,8271997,8642150,8892298,9608277,11427208,11890570,12017179,12130417,12220439,12878093,13983256,15152476,16182888,17734848,17946930,19826189,19730159,19562855,20693330,21940264,25700759,29449255,31270958,33055048,28099923,28931651,32890105,35428168,34152964,40075390,44967763,48125735,51529205,55052003,55784057
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3015171,3049271,3078068,3104950,3126537,3149280,3164986,3174289,3175973,3175692
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13275,14714,15300,16156,17849,18997,19963,21153,22637,23859,24913,25400,26416,26605,27109,28204,29833,31580,33489,35125,38097,39157,39771,41766,44232,47315,50973,51272,50021,46806,49796,51522,55391,54765,57234,61322,63439,66044,68917,71711
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3794,3912,4008,4414,4752,5096,5456,6134,7010,8044,9120,10061,10847,11078,11648,12881,13771,14596,15740,16931,17368,18168,18488,19290,19402,19692,20345,21524,23043,24496,26063,28301,29193,29680,31179,33090,34685,36742,36186,33785,31829,34099,34658,37850,37617,37938,40199,41183,42740,44184,46302
