GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "23000","Maine",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31218410,32800735,35226273,37137548,38414135,40289253,42373924,43448525,45683523,47356662,49300648,49267554,50330477,52424425,53490022,53346348,55649960,57941776,59685393,62145822,65335205,68062380
 "23000","Maine",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2402115,2596449,2738823,2991840,3347143,3645350,3779052,4421933,4785840,5306333,5863070,6439054,6881923,7271094,7866441,8717102,9491818,10366417,11434000,12683157,13680503,14086282,14009927,14651318,15117295,15719081,16156990,16954036,17944645,19443169,20956058,22547598,23877837,24870000,25859346,27202316,27666622,29035226,29541791,29894903,29641224,30648891,31457800,32132230,32055232,33135517,34439115,35347720,36775661,38416122,40342760
 "23000","Maine",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",311791,370622,438450,490297,583531,703122,899099,977287,1040922,1116535,1261953,1475205,1680987,1842667,1992081,2101166,2222535,2306435,2359652,2506494,2700357,3013892,3470358,3832446,4041518,4229249,4461107,4772329,4993358,5140846,5291388,5621960,6055836,6461024,7029261,7489176,8143272,8339163,8948568,10324038,11209371,11331429,11817182,11752985,11995944,12323050,12825339,13127670,13603253,14362197,15068812
 "23000","Maine",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",26024,42194,48404,55419,61595,87295,119618,120458,117070,127733,151264,195375,210301,210440,223367,229776,242937,249078,242040,254033,279667,325433,368103,411290,432895,451985,493800,518469,548960,561540,565752,582371,553990,558297,619103,641299,701132,723369,844726,898434,1068930,1181355,1191207,1123373,1088258,1041156,988697,950314,930834,929140,958465
 "23000","Maine",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",13399,19971,36060,35306,27621,38521,87095,84584,84840,58149,59548,76272,76277,90943,97503,74469,75403,67038,59917,58860,73428,123236,217713,251166,194944,143862,120845,123432,110974,93878,91229,85916,112111,156190,166446,137147,126201,116648,125473,180960,405701,420323,361379,302863,241020,156357,130848,115862,105420,95007,92554
 "23000","Maine",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",272368,308457,353986,399572,494315,577306,692386,772245,839012,930653,1051141,1203558,1394409,1541284,1671211,1796921,1904195,1990319,2057695,2193601,2347262,2565223,2884542,3169990,3413679,3633402,3846462,4130428,4333424,4485428,4634407,4953673,5389735,5746537,6243712,6710730,7315939,7499146,7978369,9244644,9734740,9729751,10264596,10326749,10666666,11125537,11705794,12061494,12566999,13338050,14017793
 "23000","Maine",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464888,1739225,2088650,2467212,2614431,2968467,3178946,3450352,3697261,4087597,4630482,4770216,4769371,4841065,4936127,5137406,5561175,5926775,6231519,6634395,6553289,7056715,7203875,7083111,7400646,7682432,7638631,8309134,8866303,9081707,8416959,8350157,9149443,9604807,9295172,10191393,10677322,11210003,11766908,12556886,12650808
 "23000","Maine",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212
 "23000","Maine",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24794,25892,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37910,39468,40287,40170,41826,43622,44832,46565,48792,50634
 "23000","Maine",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2421,2605,2697,2891,3199,3439,3521,4057,4330,4757,5212,5714,6074,6397,6872,7543,8162,8859,9652,10536,11214,11436,11325,11830,12169,12650,12993,13573,14301,15442,16542,17656,18572,19190,19793,20707,20979,21936,22261,22469,22294,23085,23683,24201,24138,24904,25928,26551,27555,28689,30012
