GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "27000","Minnesota",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37795423,42002053,46547625,49867537,52578359,59667354,63360939,67018188,71480238,75424900,82388061,87513967,90246245,97018541,99989946,107155238,113337451,122210770,129027566,140486818,147753388,160084263,166694650,170300761,178203384,189289433,195112671,205273841,217244286,226166494,216607412,226273417,242440285,257319682,259538861,273960579,287012263,293162468,305921230,321638517,331801925
 "27000","Minnesota",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",11079104,11959261,12584828,13691042,16167907,16977081,17925088,19349568,22052118,24954147,27660482,29752380,31925572,32968886,34465399,39851803,42381613,45060994,48967267,51633387,56053581,59462566,61216274,66609356,68327906,73403312,76708071,83403137,88025507,96639382,102581828,111287526,115561115,118607390,123866269,132719372,135894746,139749034,146452399,150566654,142374226,148996490,160222812,170193452,171955913,178591123,186339375,188723717,197248621,205969731,213890931
 "27000","Minnesota",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1161533,1373220,1593536,1762357,2065726,2423459,2923711,3214283,3380243,3627458,4055520,4866121,5583161,6276910,6766119,7096596,7540154,7879079,8128374,8587737,9350707,10050774,10804864,11748112,12395052,13037165,13817022,14464223,14691630,15205858,15987544,17128267,19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767027,43225819,44601616,46075483,47746768,50616217,52837343
 "27000","Minnesota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",100335,142715,169255,193432,183958,232861,266771,301069,300440,302018,335069,453137,529648,527159,590319,623155,665527,701080,706539,766625,821773,899787,983404,1077548,1129214,1205432,1225327,1292961,1236431,1190340,1280847,1307836,1401727,1508140,1643957,1685907,1832029,1955462,2615857,2851647,3373676,3719377,3641100,3859411,3934558,4007795,3933271,3856745,3794263,3657281,3804072
 "27000","Minnesota",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",28708,60765,92562,101223,78851,122299,257340,265786,220118,142375,159877,313747,302274,496535,481657,300003,346349,359687,336894,315689,326958,341567,416539,512116,460675,376522,369245,379657,367887,341720,357860,398667,662610,1039254,1031729,727758,652681,669994,751074,1034456,2585779,2575651,1836667,1291687,1017563,782917,751731,808719,784664,773930,765253
 "27000","Minnesota",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1032490,1169740,1331719,1467702,1802917,2068299,2399600,2647428,2859685,3183065,3560574,4099237,4751239,5253216,5694143,6173438,6528278,6818312,7084941,7505423,8201976,8809420,9404921,10158448,10805163,11455211,12222450,12791605,13087312,13673798,14348837,15421764,17157885,18322304,19207788,20594804,21627313,23927963,25711293,29073776,30223524,32731822,33862319,34204848,35814906,38435107,39916614,41410019,43167841,46185006,48268018
 "27000","Minnesota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2147410,2376368,2587659,2775858,3136605,3611255,4042303,4343270,4860365,5407322,6079421,7383552,9038892,10621741,11346841,12718955,13439172,14078115,14384597,15203776,16983773,18000627,18225107,18661073,19266988,20714761,22812358,24343410,26310429,28641578,29184016,31668470,31911313,30823673,32453641,33561592,35105902,38971388,41713663,42639961,38050207,38250077,42877387,47770284,46815921,52143637,56071272,58363268,60925841,65052569,65073651
 "27000","Minnesota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632
 "27000","Minnesota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9360,10282,11321,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29187,30318,32447,33454,33932,35263,37205,38111,39754,41720,43104,41015,42606,45349,47859,47943,50258,52355,53083,54960,57371,58834
 "27000","Minnesota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2948,3135,3267,3541,4161,4355,4566,4890,5541,6231,6850,7283,7765,7980,8322,9585,10129,10716,11562,12018,12921,13545,13785,14817,14997,15921,16460,17697,18480,20077,21049,22557,23192,23632,24511,26086,26544,27064,28125,28696,26959,28055,29970,31654,31764,32763,33991,34172,35437,36739,37926
 "27000","Minnesota",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",309,360,414,456,532,622,745,812,849,906,1004,1191,1358,1519,1634,1707,1802,1874,1919,1999,2156,2290,2433,2613,2721,2828,2965,3069,3084,3159,3281,3472,3858,4158,4330,4522,4710,5142,5584,6282,6851,7349,7359,7320,7531,7930,8136,8343,8578,9029,9369
 "27000","Minnesota",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",27,37,44,50,47,60,68,76,75,75,83,111,129,128,143,150,159,167,167,178,189,205,221,240,248,261,263,274,260,247,263,265,281,300,325,331,358,379,502,543,639,700,681,718,727,735,717,698,682,652,675
 "27000","Minnesota",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",8,16,24,26,20,31,66,67,55,36,40,77,74,120,116,72,83,86,80,73,75,78,94,114,101,82,79,81,77,71,73,81,133,207,204,143,127,130,144,197,490,485,344,240,188,144,137,146,141,138,136
 "27000","Minnesota",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",275,307,346,380,464,531,611,669,719,795,882,1003,1156,1272,1375,1485,1560,1621,1673,1747,1891,2007,2118,2260,2372,2485,2623,2714,2747,2841,2944,3126,3443,3651,3801,4048,4224,4634,4938,5541,5723,6163,6334,6362,6616,7051,7281,7498,7755,8238,8559
 "27000","Minnesota",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",571,623,672,718,807,926,1030,1098,1221,1350,1505,1807,2198,2571,2740,3059,3212,3348,3396,3539,3915,4101,4104,4151,4229,4493,4895,5165,5523,5950,5988,6419,6404,6141,6422,6597,6857,7547,8011,8127,7205,7202,8020,8885,8648,9566,10228,10568,10946,11604,11539
 "27000","Minnesota",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",11892376,12810612,13521058,14755886,17535855,18533104,19570511,21234577,24149643,27431578,30608907,32959719,35661766,36961732,38809706,44888579,47903479,51087781,55449646,58913707,63795953,67762788,69969621,75987162,78155893,83954403,87847969,95224414,100628582,110198103,117102517,126849075,131679344,135128152,141146500,150987628,154969728,159588573,167175577,171922227,162791441,169682909,179683799,190181389,195260585,202625339,211293758,214545445,224266568,234295328,243143190
 "27000","Minnesota",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",9067461,9729445,10347890,11108257,12353047,13604640,14611435,16153251,17815674,20262790,23094081,25242310,27375247,28642782,30379708,33945098,36347352,38431996,41379028,44787853,47507357,50605647,52654909,56548098,58939585,62381824,66386876,71264795,76379989,83033201,88595038,95704176,98980854,100657642,103495702,109165027,111886497,116915961,123700501,127232269,121064910,124165611,128983413,135334396,139568041,145882870,153851744,158123800,165761022,172805824,178863438
 "27000","Minnesota",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",996504,1097957,1221563,1410761,1611851,1826479,2156048,2463108,2872051,3374928,3927422,4333694,4816027,5154253,5650077,6330587,6971387,7663568,8237243,8854541,9794879,10625568,11381817,12680839,13445645,14197240,14599804,15023465,15512928,17130513,18151011,19865180,21094172,21903680,23742317,25149257,26447221,26094173,27852684,29187823,27790496,28890862,31107756,29822814,31080994,32884028,33546773,34687952,36197748,37940813,38826928
 "27000","Minnesota",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",607419,689055,769007,886936,933921,1055443,1342114,1507399,1798402,2098354,2421011,2712407,2950442,3178899,3486096,3784720,4273842,4741270,5139145,5418917,6182293,6744755,7295576,8292962,8841290,9276442,9434123,9568801,9726319,10909153,11548566,12773720,13779073,14433758,15848308,16803686,17723431,17039228,18497677,19606901,18560047,19448014,21099299,19356652,20148188,21791436,22135265,23034052,24083496,25349838,25889630
 "27000","Minnesota",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11092592,11411508,11653900,12114252,12590975,12937298
 "27000","Minnesota",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1828411,1983210,1951605,2236868,3570957,3101985,2803028,2618218,3461918,3793860,3587404,3383715,3470492,3164697,2779921,4612894,4584740,4992217,5833375,5271313,6493717,6531573,5932895,6758225,5770663,7375339,6861289,8936154,8735665,10034389,10356468,11279719,11604318,12566830,13908481,16673344,16636010,16578439,15622392,15502135,13936035,16626436,19592630,25024179,24611550,23858441,23895241,21733693,22307798,23548691,25452824
 "27000","Minnesota",4,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",647488,797554,707388,869879,2057713,1496490,1080151,573627,1300002,1422074,1022589,726517,812251,567777,-118336,1210274,1106920,1423721,1924338,1001873,1769368,1611138,855790,1029804,-195970,950471,125089,1503955,439447,886372,775363,878894,462672,404814,1307524,1960711,2456891,2080650,2028625,3442969,1393487,2511585,3801766,5183049,5003989,3020747,2507908,611190,1240757,1244433,2005739
 "27000","Minnesota",4,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1180923,1185656,1244217,1366989,1513244,1605495,1722877,2044591,2161916,2371786,2564815,2657198,2658241,2596920,2898257,3402620,3477820,3568496,3909037,4269440,4724349,4920435,5077105,5728421,5966633,6424868,6736200,7432199,8296218,9148017,9581105,10400825,11141646,12162016,12600957,14712633,14179119,14497789,13593767,12059166,12542548,14114851,15790864,19841130,19607561,20837694,21387333,21122503,21067041,22304258,23447085
 "27000","Minnesota",4,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1690875,1698995,1706080,1780093,1877806,1921458,1920410,1976597,2033789,2121891,2217688,2248180,2232802,2192337,2219348,2324144,2385204,2417493,2509308,2580304,2633745,2691896,2717271,2762016,2816645,2903666,2994740,3056007,3109004,3189396,3256931,3330936,3347326,3337706,3346994,3390372,3448135,3495705,3540491,3526499,3424435,3408753,3469201,3505578,3556487,3603717,3662852,3698285,3735455,3776390,3819497
 "27000","Minnesota",4,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1393732,1402854,1403661,1469394,1548909,1593312,1590975,1633185,1692303,1785516,1862192,1865288,1848987,1797645,1810110,1912909,1964246,1990297,2060518,2124111,2177845,2223189,2231914,2275510,2328672,2398002,2471290,2518954,2571818,2641823,2703900,2756409,2758598,2739481,2732785,2754210,2791251,2822092,2836716,2822966,2717112,2707721,2747346,2789630,2833384,2873218,2922955,2955738,2992362,3019075,3038946
 "27000","Minnesota",4,CAINC30,260,"..."," Proprietors employment","Number of jobs",297143,296141,302419,310699,328897,328146,329435,343412,341486,336375,355496,382892,383815,394692,409238,411235,420958,427196,448790,456193,455900,468707,485357,486506,487973,505664,523450,537053,537186,547573,553031,574527,588728,598225,614209,636162,656884,673613,703775,703533,707323,701032,721855,715948,723103,730499,739897,742547,743093,757315,780551
 "27000","Minnesota",4,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",110342,108817,108151,106115,106331,106235,106174,105835,106305,106151,106584,107026,107345,106893,112411,105444,104041,99377,97145,96282,94937,93480,92010,92158,89487,87026,85358,83263,82525,83116,82602,81715,83353,75070,71653,69640,69381,67701,68596,67632,66734,66042,65319,64263,64809,62927,62195,61129,60001,59735,59304
 "27000","Minnesota",4,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",186801,187324,194268,204584,222566,221911,223261,237577,235181,230224,248912,275866,276470,287799,296827,305791,316917,327819,351645,359911,360963,375227,393347,394348,398486,418638,438092,453790,454661,464457,470429,492812,505375,523155,542556,566522,587503,605912,635179,635901,640589,634990,656536,651685,658294,667572,677702,681418,683092,697580,721247
 "27000","Minnesota",4,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",7033,7540,7925,8289,9338,9645,10191,10743,11874,12928,13802,14661,15972,16860,17487,19314,20084,21133,22098,22832,24223,25173,25750,27511,27748,28913,29334,31160,32367,34551,35955,38082,39339,40485,42171,44534,44943,45653,47218,48752,47538,49779,51794,54251,54903,56227,57686,58012,60037,62042,63658
 "27000","Minnesota",4,CAINC30,300,"..."," Average wages and salaries","Dollars",6506,6935,7372,7560,7975,8539,9184,9891,10527,11348,12402,13533,14806,15934,16783,17745,18504,19310,20082,21085,21814,22763,23592,24851,25310,26014,26863,28291,29699,31430,32766,34721,35881,36743,37872,39636,40085,41429,43607,45070,44556,45856,46948,48513,49258,50773,52636,53497,55395,57238,58857
 "27000","Minnesota",4,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",6322,6329,6405,6682,6799,7235,7717,8606,9193,10302,10304,9632,9615,9023,9764,11127,10974,10886,11116,11862,13088,13113,12907,14526,14973,15347,15376,16378,18247,19696,20367,21105,22046,23247,23225,25970,24135,23927,21401,18964,19580,22228,24052,30446,29785,31214,31559,30998,30841,31974,32509
 "27001","Aitkin, MN",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",27173,29871,33724,37325,44212,48242,53626,62002,67810,74109,81635,91976,101996,110846,121478,129357,135491,141491,139280,144182,157659,166738,177710,188844,201703,214874,239090,257534,274179,298125,313759,338114,350095,365415,379352,391180,393874,413657,434468,457745,455849,475936,490115,498619,507114,556129,561339,575343,599458,636698,656519
 "27001","Aitkin, MN",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",17439,18342,20478,22724,27401,28449,30325,36553,38608,42637,45376,47904,49770,50080,55391,59167,60062,63779,62530,64833,70325,75565,81818,87801,94847,102475,110794,122723,132772,144944,155118,169316,171662,185583,193913,204161,204257,208984,211752,209404,198316,212432,215044,217752,216873,225547,237555,244194,257034,271239,278966
 "27001","Aitkin, MN",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",5443,6417,7478,8158,9338,11050,12898,14090,16103,17006,19190,23287,27386,31681,34618,35744,36952,37639,37994,40169,43902,46823,50736,55564,58925,64463,71087,71931,73120,75695,80214,84522,92514,99196,104429,109496,116126,130024,139373,148204,164377,170783,169339,172121,177274,204223,194411,198797,201591,215122,225764
 "27001","Aitkin, MN",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",455,661,745,753,740,948,1045,1198,1319,1387,1526,2317,3027,3403,4094,4173,4126,4117,3807,4147,4244,4730,4704,4981,5290,6015,5555,5367,5270,5174,5186,5264,5814,6092,6390,6240,6527,6849,9626,10346,12779,13855,12932,12797,12635,13319,12471,12493,12457,11893,12010
 "27001","Aitkin, MN",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",308,477,645,642,423,713,1064,1277,1600,956,1247,2037,1706,2206,2386,1737,1752,1650,1510,1530,1746,1706,2061,2712,2586,2241,2132,2188,2297,2333,2221,2304,2886,3976,3905,2895,2589,2680,3003,4076,9079,9217,6562,4485,3558,2878,2810,3419,3312,3489,3416
 "27001","Aitkin, MN",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",4680,5279,6088,6763,8175,9389,10789,11615,13184,14663,16417,18933,22653,26072,28138,29834,31074,31872,32677,34492,37912,40387,43971,47871,51049,56207,63400,64376,65553,68188,72807,76954,83814,89128,94134,100361,107010,120495,126744,133782,142519,147711,149845,154839,161081,188026,179130,182885,185822,199740,210338
 "27001","Aitkin, MN",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",4291,5112,5768,6443,7473,8743,10403,11359,13099,14466,17069,20785,24840,29085,31469,34446,38477,40073,38756,39180,43432,44350,45156,45479,47931,47936,57209,62880,68287,77486,78427,84276,85919,80636,81010,77523,73491,74649,83343,100137,93156,92721,105732,108746,112967,126359,129373,132352,140833,150337,151789
 "27001","Aitkin, MN",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11293,11458,11637,11985,12074,12102,12146,12347,12684,12901,13035,13384,13276,13248,13438,13218,13072,12773,12667,12542,12416,12462,12603,12825,13112,13524,13847,14181,14403,14840,15062,15282,15334,15616,15795,16028,16162,16357,16481,16422,16168,16210,16170,16036,15872,15849,15852,15754,15792,15887,15886
 "27001","Aitkin, MN",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2406,2607,2898,3114,3662,3986,4415,5022,5346,5744,6263,6872,7683,8367,9040,9786,10365,11077,10996,11496,12698,13380,14101,14725,15383,15888,17267,18160,19036,20089,20831,22125,22831,23400,24017,24406,24370,25289,26362,27874,28195,29361,30310,31094,31950,35089,35411,36520,37960,40077,41327
 "27001","Aitkin, MN",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",1544,1601,1760,1896,2269,2351,2497,2960,3044,3305,3481,3579,3749,3780,4122,4476,4595,4993,4936,5169,5664,6064,6492,6846,7234,7577,8001,8654,9218,9767,10299,11079,11195,11884,12277,12738,12638,12776,12848,12751,12266,13105,13299,13579,13664,14231,14986,15500,16276,17073,17560
 "27001","Aitkin, MN",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",482,560,643,681,773,913,1062,1141,1270,1318,1472,1740,2063,2391,2576,2704,2827,2947,2999,3203,3536,3757,4026,4332,4494,4767,5134,5072,5077,5101,5326,5531,6033,6352,6612,6832,7185,7949,8457,9025,10167,10536,10472,10733,11169,12886,12264,12619,12765,13541,14212
 "27001","Aitkin, MN",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",40,58,64,63,61,78,86,97,104,108,117,173,228,257,305,316,316,322,301,331,342,380,373,388,403,445,401,378,366,349,344,344,379,390,405,389,404,419,584,630,790,855,800,798,796,840,787,793,789,749,756
 "27001","Aitkin, MN",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",27,42,55,54,35,59,88,103,126,74,96,152,129,167,178,131,134,129,119,122,141,137,164,211,197,166,154,154,159,157,147,151,188,255,247,181,160,164,182,248,562,569,406,280,224,182,177,217,210,220,215
 "27001","Aitkin, MN",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",414,461,523,564,677,776,888,941,1039,1137,1259,1415,1706,1968,2094,2257,2377,2495,2580,2750,3053,3241,3489,3733,3893,4156,4579,4540,4551,4595,4834,5036,5466,5707,5960,6262,6621,7367,7690,8147,8815,9112,9267,9656,10149,11864,11300,11609,11767,12573,13240
 "27001","Aitkin, MN",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",380,446,496,538,619,722,856,920,1033,1121,1309,1553,1871,2195,2342,2606,2943,3137,3060,3124,3498,3559,3583,3546,3656,3545,4132,4434,4741,5221,5207,5515,5603,5164,5129,4837,4547,4564,5057,6098,5762,5720,6539,6781,7117,7973,8161,8401,8918,9463,9555
 "27001","Aitkin, MN",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",15978,16839,19009,21352,26107,26938,27661,32542,35080,38397,40601,42489,44540,45114,49937,53669,54379,57806,56387,59218,64974,70699,75956,79845,85383,91894,98177,108303,115743,124451,131122,141595,142953,157037,165604,174543,174266,178383,178452,174216,168276,183171,181171,183305,185516,191755,200937,209878,221195,233997,241970
 "27001","Aitkin, MN",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",9024,10187,12017,13492,14991,16675,17650,19172,20784,23620,25793,27466,29194,30246,30156,33104,34251,33995,35501,37742,40856,45651,47669,50335,53433,58335,62104,67636,72353,77458,83505,92341,97134,106464,110371,115992,114683,118687,121569,121241,117070,116593,116857,119692,120957,125794,134219,143380,151915,158668,163940
 "27001","Aitkin, MN",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1063,1241,1455,1743,2047,2410,2757,3067,3518,4289,4751,5053,5502,5827,6004,6678,7163,7408,7815,8362,9436,10757,11693,13051,14092,15404,15757,16864,17825,19347,21372,23973,24629,27298,29851,31990,33175,32161,33863,34880,33204,34284,35595,32885,34584,36476,37321,39867,42331,44362,45446
 "27001","Aitkin, MN",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",711,845,984,1163,1287,1527,1828,1998,2322,2850,3104,3324,3559,3839,3942,4308,4730,4956,5265,5523,6411,7378,8105,9204,10014,10908,11010,11662,12199,13313,14822,16719,17159,19107,21155,22785,23757,22424,23894,24940,23679,24760,25947,22999,24389,26271,26651,28534,30413,31938,32690
