GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "29000","Missouri",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42513848,46120241,51516587,55083525,58757912,65189289,69743973,73416857,77345852,82131486,88040042,91909039,95964054,102138919,106821070,113391093,119590208,126668265,134328093,141158193,146923424,157009200,161989240,165665484,171751118,180801720,187528663,198791575,208403566,219503349,215681804,220788141,230429734,241762688,243582235,252999637,262012601,269771176,276887615,288385021,298619753
 "29000","Missouri",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",13006059,13998975,14969490,16303904,17987043,18691380,19939403,22031640,24623109,27498925,30489419,31457741,34125398,35188980,37477320,41891858,45152530,47694364,51042030,54280260,57760925,59836733,61412921,65791578,68397372,72899650,76766151,81865270,87087165,91669806,97045991,103570654,106631754,109883461,113590614,120282351,123700167,129390447,133660077,138605101,136268067,138831176,144677618,149661957,153775485,157096189,160779316,164291677,169761123,175525126,182803467
 "29000","Missouri",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1428238,1692252,1951126,2111898,2449877,2891622,3655260,3904213,4074722,4428429,5008354,6098624,6852316,7470001,8021814,8371913,8829861,9298070,9573932,10108850,10971812,11890446,13894814,14836426,15928018,16700962,17803230,18604896,19308013,19937237,20874693,22297669,24597995,26256695,27415485,28924394,30925914,32872531,35125334,39479141,42812166,45571750,46402359,46920959,47843830,49300337,51873663,53287469,54606145,56611894,58950495
 "29000","Missouri",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",157095,190703,225181,240903,264594,348186,364020,398129,397435,378877,434709,572814,632984,633217,682896,691398,705963,740231,747131,819304,905063,1020689,1188681,1416718,1524336,1594165,1744432,1847886,1788986,1776534,1867128,1892763,2007390,2200725,2374896,2588289,2785731,2831038,2949779,3201325,3810648,4261197,4370526,4409268,4435857,4308035,4305753,4192248,4111204,4029561,4169319
 "29000","Missouri",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",45057,82056,110548,103346,81921,120384,369417,301481,216934,183535,202026,476742,376099,353817,326344,198908,215956,239603,241983,235226,250199,305838,436625,577060,519738,333932,289782,291503,265480,288363,299906,330436,475210,730013,776457,577372,469270,433083,463567,716492,1840931,1930346,1490517,1104569,781545,451390,399261,325379,342399,305787,277242
 "29000","Missouri",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1226086,1419493,1615397,1767649,2103362,2423052,2921823,3204603,3460353,3866017,4371619,5049068,5843233,6482967,7012574,7481607,7907942,8318236,8584818,9054320,9816550,10563919,12269508,12842648,13883944,14772865,15769016,16465507,17253547,17872340,18707659,20074470,22115395,23325957,24264132,25758733,27670913,29608410,31711988,35561324,37160587,39380207,40541316,41407122,42626428,44540912,47168649,48769842,50152542,52276546,54503934
 "29000","Missouri",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2478188,2788255,3018297,3266422,3652730,4191723,4618052,4976171,5554570,6202381,7016075,8563876,10538873,12424544,13258778,14925518,15761582,16424423,16729890,17742376,19307305,20181860,20656319,21510915,22495680,23790481,25020827,26198099,27932915,29551150,29002740,31140877,30759491,29525328,30745019,31594975,32902582,36528597,39618155,41419107,36601571,36385215,39349757,45179772,41962920,46603111,49359622,52192030,52520347,56248001,56865791
 "29000","Missouri",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
 "29000","Missouri",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38339,40131,40323,41775,43153,44318,45342,47109,48656
 "29000","Missouri",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2803,2988,3170,3430,3767,3906,4158,4568,5082,5645,6236,6391,6919,7139,7581,8420,9030,9495,10094,10681,11335,11667,11877,12611,12976,13691,14273,15072,15888,16602,17448,18471,18903,19363,19895,20927,21363,22146,22702,23398,22860,23154,24072,24843,25457,25940,26480,26990,27799,28673,29785
