GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "37000","North Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198775179,208769698,222564907,228879962,232267281,241625829,261640155,281033775,306078047,329509436,350848256,338315713,341627602,355052267,379925288,376023938,397995957,419717441,434788999,455997111,479791844,500973833
 "37000","North Carolina",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",12814330,13713363,14819157,16817107,18987953,20462957,21390264,23930889,26240026,29762816,32600472,35527529,39062090,40915923,44614632,50703143,54804427,59153017,64573517,70416061,75611415,79737706,82527210,90478613,96022428,102342765,108344953,114940893,123760153,132681039,140807015,150113071,153082958,154938421,161245004,174761819,186671375,202789451,216581913,227955466,214629493,214987758,220647091,239177113,234605357,246780841,258072819,267849359,281200688,295259797,309920039
 "37000","North Carolina",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1107326,1337544,1569180,1756509,2038396,2533194,3522465,3798379,4007333,4314655,4932878,5897759,6798037,7567948,8154644,8614946,9236755,9827047,10220278,11076679,12367174,13673688,15724294,17409160,19134138,19908202,22304566,24215485,25418166,26424754,28061784,30026235,33503736,36263542,38138552,41117125,44630455,48658611,52343524,59450168,66498121,70644179,72377768,73976938,75389933,78308842,82714095,85179597,88724070,92825475,97750845
 "37000","North Carolina",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",108558,137381,161550,173190,180963,306552,444602,511808,518369,517609,615305,769884,833618,822272,863714,878799,928512,987270,1015166,1146431,1301770,1495900,1771202,2116732,2295521,2483986,2723711,3005783,3008295,3087653,3356164,3239426,3279397,3916828,4147289,4546826,4991624,5330597,5414797,5943253,7069176,7726248,8018118,8220444,8472518,8544326,8591796,8510667,8036027,8055063,8186036
 "37000","North Carolina",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",25968,49950,70657,51266,34398,72905,419097,299482,215117,120374,129267,253994,272517,531566,430158,253839,272414,249101,219397,203991,229767,322705,527613,595545,487669,349827,359417,417736,383616,419954,453174,518506,971454,1507818,1419945,1017393,799802,834352,860112,1506930,4297334,4615863,4091940,2837236,1535273,492116,318899,266169,236634,210417,216368
 "37000","North Carolina",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",972800,1150213,1336973,1532053,1823035,2153737,2658766,2987089,3273847,3676672,4188306,4873881,5691902,6214110,6860772,7482308,8035829,8590676,8985715,9726257,10835637,11855083,13425479,14696883,16350948,17074389,19221438,20791966,22026255,22917147,24252446,26268303,29252885,30838896,32571318,35552906,38839029,42493662,46068615,51999985,55131611,58302068,60267710,62919258,65382142,69272400,73803400,76402761,80451409,84559995,89348441
 "37000","North Carolina",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1936486,2269516,2468455,2745400,3148156,3657705,4030034,4403054,4960740,5658693,6374963,7821669,9636583,10936201,11875176,13808083,14978975,16214448,17090701,19096735,21714541,23111093,23641811,24787135,26301772,28331615,30837190,33660322,36509539,39669386,39900899,42425601,42293268,41065318,42242273,45761211,49731945,54629985,60583999,63442622,57188099,55995665,62027408,66771237,66028648,72906274,78930527,81760043,86072353,91706572,93302949
 "37000","North Carolina",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
 "37000","North Carolina",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25454,26262,27540,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36764,38969,38201,40069,41839,42816,44409,46216,47766
 "37000","North Carolina",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2547,2689,2849,3175,3528,3747,3864,4278,4629,5185,5619,6023,6558,6798,7341,8226,8763,9357,10084,10866,11517,11965,12164,13118,13634,14239,14751,15324,16163,16991,17713,18575,18646,18609,19145,20432,21443,22741,23753,24486,22713,22455,22847,24532,23834,24845,25726,26377,27385,28441,29550
 "37000","North Carolina",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",220,262,302,332,379,464,636,679,707,752,850,1000,1141,1257,1342,1398,1477,1555,1596,1709,1884,2052,2318,2524,2717,2770,3037,3228,3320,3384,3530,3715,4081,4355,4528,4807,5127,5457,5741,6386,7037,7379,7494,7588,7659,7884,8245,8388,8641,8941,9320
 "37000","North Carolina",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",22,27,31,33,34,56,80,92,91,90,106,131,140,137,142,143,148,156,159,177,198,224,261,307,326,346,371,401,393,395,422,401,399,470,492,532,573,598,594,638,748,807,830,843,861,860,856,838,783,776,781
 "37000","North Carolina",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",5,10,14,10,6,13,76,54,38,21,22,43,46,88,71,41,44,39,34,31,35,48,78,86,69,49,49,56,50,54,57,64,118,181,169,119,92,94,94,162,455,482,424,291,156,50,32,26,23,20,21
 "37000","North Carolina",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",193,226,257,289,339,394,480,534,578,641,722,826,956,1032,1129,1214,1285,1359,1403,1501,1650,1779,1979,2131,2322,2376,2617,2772,2877,2935,3051,3250,3563,3704,3867,4157,4461,4765,5052,5586,5834,6089,6240,6454,6642,6974,7357,7524,7835,8145,8519
 "37000","North Carolina",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",385,445,475,518,585,670,728,787,875,986,1099,1326,1618,1817,1954,2240,2395,2565,2669,2947,3307,3468,3485,3594,3735,3942,4199,4488,4768,5080,5019,5250,5151,4932,5015,5350,5713,6126,6644,6815,6052,5849,6423,6849,6708,7340,7868,8051,8382,8834,8896
 "37000","North Carolina",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",13695429,14664748,15905718,18116555,20658487,22351164,23353015,26189154,28734374,32665309,35982494,39233002,43471565,45591010,49846549,56766941,61550281,66665936,72743723,79617455,85519255,90451887,93714590,102592310,108938643,116287949,123190745,130549061,140497574,150625445,159949078,170461725,174113335,176206894,183376885,197980982,211519107,229570540,245339716,257505459,243168101,243762027,247464422,267072169,266760383,280636099,293804903,304803991,319506471,334997096,351655768
 "37000","North Carolina",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",10678236,11519637,12464559,14093152,15789440,17246446,17839115,19912388,22029899,24822062,27792729,30477141,33506548,35063163,38275115,43015059,46804283,50532171,55240969,60009984,64000782,67739520,69749903,75555747,79854116,85335123,91097636,96687395,104481312,112582392,120556775,129043477,132002644,133601815,136786159,144742427,152363869,163308232,173894615,177813382,169548458,173519379,179966208,187090787,192266678,201605023,212951920,221576433,232498809,245483267,257908640
 "37000","North Carolina",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1279859,1406945,1580210,1867857,2140753,2418234,2811191,3190933,3669306,4201956,4778959,5359686,6157110,6706678,7546042,8444675,9272896,10259629,11070655,12129624,13372319,14376407,15296188,17509342,18560543,19725894,20074214,20806756,22103224,23644086,25331987,26849075,28368655,29355964,31554130,33751062,36495383,38612135,40758927,41624851,41906466,42995637,42561463,45279767,45607343,49124934,50258376,51324074,52834537,55258770,57934830
 "37000","North Carolina",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",825617,917860,1021319,1194358,1283107,1450785,1803275,2002541,2346404,2660355,2999248,3428621,3904048,4359732,4888674,5318332,5923738,6580546,7139185,7751847,8750535,9367155,10082803,11828444,12505691,13237768,13246501,13638334,14432841,15365682,16527980,17510206,18671663,19657908,21121291,22878918,24855985,26226984,27582351,28075819,28774662,29762841,28598403,30721367,30617687,33329846,33694393,34616742,35814151,38016792,39818440
 "37000","North Carolina",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16563983,16707332,17020386,17241978,18116390
