GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "33000","New Hampshire",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8111862,9278182,10517049,11579731,12713183,14376311,15842444,17508758,19362138,21322166,22846665,23006508,23792304,24968214,25786710,27522349,29202817,30941453,33274001,36531618,38959643,43867246,46193558,47054387,48040657,50939756,52878762,56585684,58631306,60129016,59082536,61604587,64589687,67528805,67320376,70225120,72874759,75858167,79253426,83199142,86344891
 "33000","New Hampshire",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2128529,2225562,2375957,2628309,2953830,3192576,3383572,3887817,4430792,5170259,5920615,6642024,7323750,7888782,8825612,9999097,11158613,12419310,13968345,15343028,16015810,15888599,15997477,17066661,17850833,18947071,19916359,21298291,23121196,25744531,28143398,31941175,33814733,34514668,35335112,37305799,38784242,41174970,41939034,42058136,41337887,43687786,45337231,46717828,46369442,47638981,49356962,51216439,53351809,55977685,58542649
 "33000","New Hampshire",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",203327,241330,292222,322322,380174,455501,586034,625938,661434,724533,828643,971785,1137929,1248057,1332806,1409927,1476049,1548062,1580964,1712842,1919188,2150414,2881873,3069780,2972847,3376420,3641427,3598987,3740518,3880024,3958152,4261177,4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9397017,10004454,10778472,11407984,11860952,12544316,12968211
 "33000","New Hampshire",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",12706,18350,25417,28836,29336,31721,49296,54028,52552,51483,60714,86552,95241,92171,93025,85627,84279,80796,75791,87827,98048,124243,161943,193309,203389,217710,230071,226429,247483,242145,252934,254241,247474,276385,305382,323294,364846,388353,407666,545167,737989,818930,823582,819765,660024,632931,634815,595516,591395,592562,606959
 "33000","New Hampshire",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2939,7812,18279,15127,12643,23700,55405,35066,21844,17596,21034,32318,31589,47752,39962,28453,18124,17119,12592,16827,30143,63735,91135,95716,69444,48297,36826,36312,34069,33068,31085,27394,64672,152487,153775,96593,83986,88336,100891,150840,396098,364350,221922,186375,141469,106289,89752,78330,74139,67982,63465
 "33000","New Hampshire",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",187682,215168,248526,278359,338195,400080,481333,536844,587038,655454,746895,852915,1011099,1108134,1199819,1295847,1373646,1450147,1492581,1608188,1790997,1962436,2628795,2780755,2700014,3110413,3374530,3336246,3458966,3604811,3674133,3979542,4341340,4638324,4736369,5262313,5478157,5852107,6360829,7256655,7440394,7952849,8028176,8209509,8595524,9265234,10053905,10734138,11195418,11883772,12297787
 "33000","New Hampshire",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",449482,498786,551942,611332,679320,769082,832698,922238,1054220,1195931,1362604,1664373,2055370,2442892,2554765,2967287,3207782,3541386,3812829,4266296,4911667,4967495,4912954,4831773,4963030,5198858,5645031,6044175,6412287,6907063,6858093,7664894,7725339,7472523,7510019,7951757,8167531,9081918,9822886,10118218,9170168,8780672,10178776,11595328,11553917,12581685,12739325,13233744,14040665,14677141,14834031
 "33000","New Hampshire",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
 "33000","New Hampshire",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46785,48924,50995,50746,52669,54533,56513,58759,61471,63502
 "33000","New Hampshire",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2940,3000,3117,3362,3684,3907,4076,4590,5082,5783,6493,7186,7819,8324,9211,10236,11195,12116,13249,14173,14500,14283,14413,15268,15805,16583,17205,18131,19439,21348,23030,25761,26933,27196,27609,28917,29869,31470,31953,31961,31409,33178,34341,35279,34953,35729,36934,38156,39555,41359,43055
