GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "34000","New Jersey",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287244012,300854626,330957156,342304134,347456776,356314862,373078596,387392659,415890939,440165578,453018872,439087868,452466405,474015532,491662022,496464791,520078963,542298850,557461891,577407812,602870127,625937908
 "34000","New Jersey",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",25510190,27261194,28944161,31381141,33920617,36230651,38089493,41508559,45644752,51066850,56533849,62230254,67669080,72104241,78096827,86101963,93040176,100450098,109828021,120794602,126757013,132455843,133457006,143986115,149554202,155082064,163218273,172920861,185369357,198709199,211087991,233145750,240699828,245294051,252554113,265317210,275330937,292170815,307018850,310478292,298167621,307720713,320701525,332691246,338656675,352189543,365448830,374070070,389003018,407939533,426451268
 "34000","New Jersey",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2212497,2689256,3276771,3663237,4131429,4847487,6337577,6853192,7228808,7688683,8550210,9781457,10980385,12034753,12991979,13547479,14199274,14867496,15359553,16355079,17526799,19331290,22248686,25763848,26922275,27303279,29170442,30102256,30864914,31714878,33039275,35261621,39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70981293,73943436,76463742,79160149,80693365,83410853,87021393
 "34000","New Jersey",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",239006,324372,441459,444702,497499,606112,736127,830793,859469,867468,956403,1151620,1201906,1166989,1191825,1192544,1208791,1216086,1179072,1235844,1296457,1431352,1634414,1886559,2008795,2117898,2267357,2265759,2237938,2259977,2205815,2157954,2299864,2489234,2707136,2895615,3331214,3676611,4048900,4565498,5366092,6115174,6616697,6810138,6911732,7172438,6900632,6858905,6742069,6587680,6867340
 "34000","New Jersey",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",169268,253952,395344,455108,348435,507875,1125902,1074990,944113,799522,788786,879892,812989,953988,921545,696681,687116,592004,550174,586243,719055,1027855,1596054,2558400,2066593,1361732,1279175,1460576,1152480,1090217,1109759,1144064,1575957,2866647,2680731,1975672,1772332,1732880,1887795,2855145,6868929,7625601,6271017,5258249,4089470,2242134,2022254,1950579,1980280,1927965,1935064
 "34000","New Jersey",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1804223,2110932,2439968,2763427,3285495,3733500,4475548,4947409,5425226,6021693,6805021,7749945,8965490,9913776,10878609,11658254,12303367,13059406,13630307,14532992,15511287,16872083,19018218,21318889,22846887,23823649,25623910,26375921,27474496,28364684,29723701,31959603,35321934,37046276,37490322,38583337,40656068,44277944,46118132,51307182,53029368,56977476,58566051,58254638,59980091,64528864,67540856,70350665,71971016,74895208,78218989
 "34000","New Jersey",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",4781488,5344069,5857186,6350552,7011146,7867014,8450628,9047140,9928579,10943538,12278719,15035028,18615086,20951402,22349670,25917721,27334258,28752794,30153725,33447988,38759162,40376381,40227721,40760272,41119504,42899171,46776215,50039138,53371604,56819935,56727360,62549785,62406551,59760568,60882560,64306762,66302108,74032689,81091901,83812755,75655858,74027441,81860242,88647751,86826823,93945984,100386278,104231672,107711429,111519741,112465247
 "34000","New Jersey",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
 "34000","New Jersey",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51420,53694,55587,56054,58670,61153,62842,64983,67845,70471
 "34000","New Jersey",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3596,3791,3975,4277,4624,4939,5188,5652,6217,6942,7668,8436,9135,9703,10458,11457,12298,13179,14318,15663,16406,17063,17078,18271,18814,19351,20192,21218,22554,23977,25251,27655,28342,28680,29362,30727,31823,33731,35379,35642,34054,34970,36327,37614,38236,39730,41210,42169,43779,45908,48012
 "34000","New Jersey",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",312,374,450,499,563,661,863,933,985,1045,1160,1326,1482,1620,1740,1803,1877,1951,2002,2121,2269,2490,2847,3269,3387,3407,3609,3694,3755,3827,3952,4183,4615,4958,4985,5033,5289,5736,5999,6742,7454,8037,8094,7951,8014,8342,8622,8924,9081,9387,9797
 "34000","New Jersey",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",34,45,61,61,68,83,100,113,117,118,130,156,162,157,160,159,160,160,154,160,168,184,209,239,253,264,281,278,272,273,264,256,271,291,315,335,385,424,467,524,613,695,750,770,780,809,778,773,759,741,773
 "34000","New Jersey",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",24,35,54,62,48,69,153,146,129,109,107,119,110,128,123,93,91,78,72,76,93,132,204,325,260,170,158,179,140,132,133,136,186,335,312,229,205,200,218,328,785,867,710,594,462,253,228,220,223,217,218
 "34000","New Jersey",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",254,294,335,377,448,509,610,674,739,819,923,1051,1210,1334,1457,1551,1626,1713,1777,1884,2008,2173,2434,2705,2874,2973,3170,3236,3343,3423,3556,3791,4159,4332,4359,4468,4699,5112,5314,5890,6057,6475,6634,6586,6772,7279,7616,7931,8100,8428,8806
 "34000","New Jersey",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",674,743,804,866,956,1072,1151,1232,1352,1488,1665,2038,2513,2819,2993,3449,3613,3772,3931,4337,5017,5201,5148,5172,5173,5353,5787,6140,6494,6856,6786,7419,7348,6987,7078,7448,7663,8547,9345,9621,8641,8413,9273,10022,9803,10598,11320,11750,12122,12550,12662
 "34000","New Jersey",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",24174456,26102139,27901715,30447671,33538166,36008650,37745885,41379924,45540642,51062212,56574936,61889637,67762531,72341216,78978762,88003116,95483970,103321187,113281477,125530226,132290164,138126371,139677857,149410971,155419250,161986059,169746173,178344003,188811959,201798426,213357244,234153627,242111326,249787233,257236755,268301034,277308091,290109473,300403475,305490285,300804102,306929632,313040879,325057257,335300449,346994248,359562238,367100141,380617014,396339710,412158688
 "34000","New Jersey",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",19375644,21050932,22433439,24349851,26830235,28864426,29806688,32362945,35172692,39180363,43375756,47796820,52255553,55888303,60465783,67086205,72655761,78855625,86623681,95332792,100234771,104947923,105959445,111735692,115796129,120256071,125410133,131446457,139717802,150785679,159052400,174304126,177042075,179853579,184596020,192500126,199918283,210433596,219859775,224221733,214770059,217103826,221455462,228013420,233951798,240539836,251003968,256914381,265714582,275397137,284970267
 "34000","New Jersey",2,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",2487992,2722470,3021626,3463138,3904135,4275270,4931026,5540602,6285915,7192893,8155052,9198425,10457586,11495894,12898604,14391659,15585027,16941853,18160064,19965761,21402530,22099715,22975325,25367914,26826382,27853518,28016968,28634464,29580484,31287921,32412167,35128320,37151266,39968449,42036919,44654036,47673981,47527518,49049754,49622926,50646792,50771443,51428032,53035653,55180828,57040006,57557508,57102087,57929229,61179629,64187831
 "34000","New Jersey",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",1496552,1669242,1853706,2094991,2168703,2369094,3004839,3342560,3872038,4391108,4945873,5717782,6421932,7149022,7939214,8532531,9374824,10302775,11054161,12036032,13309300,13955481,14687899,16542281,17559740,18071882,17965369,18260127,18773157,20050573,20712392,22511566,24049362,26677325,28673889,30680046,33119617,32620138,33123826,33258845,34676129,34458550,34530652,35587957,37208172,38715801,38675742,38149751,38437383,41356544,43912019
 "34000","New Jersey",2,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18881766,18952336,19491846,19823085,20275812
