GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "40000","Oklahoma",6,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25414785,29278754,34204111,38175757,39077210,41927021,43605482,43881454,43753615,45620330,48521160,51121318,52677463,56033875,58247034,60818012,63426687,67222981,71074659,74885376,76914507,83237958,88286894,90204416,94319808,101746716,111113427,123473496,127864088,141505916,131370963,137392751,147889540,158353871,166063368,176621931,172770122,164463353,172169541,180633641,187327489
 "40000","Oklahoma",6,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",6338353,6890293,7399591,8178830,9238004,10091808,11103331,12270235,13727468,15643633,18235816,20612239,23699240,25964591,25858432,27670772,28429960,28580396,28492687,29694187,31353489,33098793,34011296,36243464,37841043,39220556,40174904,42682328,45738066,48256878,49563589,53462839,56865337,58302166,61350954,67005903,73618617,81381540,81708418,91442913,82046222,86101987,93285764,100501256,108401789,115887355,110372904,101628413,106590282,111869363,115942155
 "40000","Oklahoma",6,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",855497,981410,1130720,1239968,1405941,1663592,2051820,2250549,2392975,2574704,2955171,3418891,3882103,4376392,4801407,4981670,5321796,5657499,5886106,6231162,6628757,7133266,7804139,8730227,9180371,9752703,10532899,11054563,11358558,11588646,12105036,12796821,14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29258446,30176984,31199664,32146184,33325980,34365452,36444712
 "40000","Oklahoma",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",127538,134950,139492,136894,134102,197273,222698,246216,250395,248185,302459,367029,379842,363360,404843,426507,443993,483513,512478,560731,598807,663627,758357,902906,957111,1007455,1114096,1150036,1173588,1142726,1210288,1203014,1289621,1462455,1683314,1798176,1964377,2037005,2101050,2252953,2684773,2973765,3031960,2999142,3084049,3029971,3065248,3131441,3086373,3064054,3156406
 "40000","Oklahoma",6,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",13493,24265,45381,46130,37373,45012,117347,110743,79961,39185,54131,86602,76250,194449,292464,158921,178785,244492,165821,121663,108274,120008,151778,262718,216401,141549,131921,124720,103414,110455,141277,125480,197343,335118,396995,246445,179320,157879,179686,255116,885487,952081,614740,475344,340282,242400,356658,388200,267718,226007,250221
 "40000","Oklahoma",6,CAINC30,80,"...","  Retirement and other","Thousands of dollars",714466,822195,945847,1056944,1234466,1421307,1711775,1893590,2062619,2287334,2598581,2965260,3426011,3818583,4104100,4396242,4699018,4929494,5207807,5548768,5921676,6349631,6894004,7564603,8006859,8603699,9286882,9779807,10081556,10335465,10753471,11468327,12645231,13300405,14010994,14954367,16116770,17808663,19166170,21550261,22374466,23761658,24376622,25167311,25834115,26904613,27777758,28626543,29971889,31075391,33038085
 "40000","Oklahoma",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1260974,1453872,1633300,1734596,2008986,2324179,2580593,2827900,3175498,3677701,4223798,5247624,6622768,7834774,8417371,9274579,9853726,9643559,9374822,9694981,10538914,10889259,10862028,11060184,11225620,11844753,12718884,13486090,13978035,15039852,15245882,16978298,17289362,16804272,16877551,17741825,19234343,22088409,24708764,26004673,23380015,23603260,26580454,29210818,28403133,30557592,31197554,30688756,32253279,34398826,34940622
 "40000","Oklahoma",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971
 "40000","Oklahoma",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,21992,22377,24096,25464,25853,26911,28862,31312,34355,35182,38568,35338,36541,39038,41467,43097,45542,44192,41887,43794,45843,47341
 "40000","Oklahoma",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2500,2685,2826,3078,3429,3693,4006,4346,4790,5370,6140,6779,7654,8098,7859,8422,8691,8787,8876,9376,9953,10511,10711,11254,11635,11954,12144,12779,13560,14172,14420,15477,16401,16710,17504,19008,20746,22643,22482,24923,22070,22900,24624,26317,28133,29882,28232,25884,27113,28392,29301
