GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "42000","Pennsylvania",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334639484,348920120,373357070,388047055,395409363,408889660,432741604,451950374,475815289,505303602,523556674,511617927,534469857,563434875,587521891,592972739,619387125,644445802,662352876,681658520,717255286,742924296
 "42000","Pennsylvania",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",35191901,37186473,38851373,42323117,46150272,49898352,53085197,57908206,63785711,70644174,77659162,82265793,87932227,90018623,93648342,101904889,107835520,113589008,122771806,133876372,143415116,151210750,155231059,165901555,172007618,178405151,185135856,193687247,204476632,217204125,230226599,245864635,257149816,263401030,273276019,292725162,304507203,315100026,330715784,336559146,325291815,341191123,360907862,374718270,383588030,397273840,411795258,419995625,432232906,449908942,467779834
 "42000","Pennsylvania",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",3992258,4913987,5774880,6526814,7304548,8539418,10827570,12030160,12782592,13722035,15451543,17710601,19936594,22831402,24688193,24849140,26001426,27419488,28046389,29546905,31426335,34293004,39607289,42155256,44371294,45435941,47453209,50402439,51500749,52229089,54578560,57913637,61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113314946,117141321,122749410,129075257,129940211,138843493,143936345
 "42000","Pennsylvania",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",422355,630211,787916,844739,790968,996262,1222596,1450657,1580953,1611627,1733270,2041985,2206083,2222938,2350178,2372047,2383073,2464719,2418392,2551791,2638408,2969263,3364078,3821687,4064146,4237541,4603937,4647001,4397489,4481760,4350135,4545445,4450466,4828622,5149079,5664722,6168591,6478436,7086708,7527287,8794768,10025577,10244892,10592993,10694332,11062799,11368987,11407634,11332130,11194236,11460084
 "42000","Pennsylvania",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",135389,243107,381762,520132,387666,547004,1321111,1397350,1226693,953468,937444,1404294,1269577,2212311,2506306,1325812,1208102,1175294,989055,885869,1011636,1250750,1811274,2799293,2595912,1781348,1632432,1697770,1500285,1465509,1464666,1558398,2237198,3467254,3612429,2477231,2164494,2134067,2321396,3414406,8046884,8279698,6524054,5389175,4067130,2372648,2255371,2267001,1998119,1858866,1834227
 "42000","Pennsylvania",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",3434514,4040669,4605202,5161943,6125914,6996152,8283863,9182153,9974946,11156940,12780829,14264322,16460934,18396153,19831709,21151281,22410251,23779475,24638942,26109245,27776291,30072991,34431937,35534276,37711236,39417052,41216840,44057668,45602975,46281820,48763759,51809794,55186382,57351358,59516863,62689280,67767873,71303542,75958837,84107723,86687476,92676302,94737046,95632317,98553484,103705874,109125052,115400622,116609962,125790391,130642034
 "42000","Pennsylvania",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6161947,6743251,7209208,7729858,8578128,9695394,10559964,11344850,12605788,13905790,15595345,19111971,23613300,27624094,28844276,32221245,34578864,36099602,36792896,39734274,45188255,47394926,47727930,47995135,49410441,51303775,55087300,58285927,61542753,65206270,64114961,69578798,69023193,66361099,67335270,69185209,71342213,80799218,89220877,91948112,82796984,82297157,91021021,101189136,96069763,104971964,109901134,113281994,119485403,128502851,131208117
 "42000","Pennsylvania",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989
 "42000","Pennsylvania",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44205,46018,46412,48434,50407,51818,53306,56032,58032
 "42000","Pennsylvania",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2997,3148,3269,3555,3883,4206,4462,4871,5368,5954,6541,6932,7415,7600,7911,8625,9161,9640,10395,11302,12086,12703,12955,13768,14192,14664,15177,15849,16722,17737,18773,20015,20908,21361,22084,23586,24458,25186,26323,26685,25681,26842,28316,29350,30023,31065,32210,32858,33801,35147,36540
 "42000","Pennsylvania",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",340,416,486,548,615,720,910,1012,1076,1157,1301,1492,1681,1927,2086,2103,2209,2327,2375,2494,2648,2881,3306,3499,3661,3735,3890,4124,4212,4265,4450,4714,5031,5324,5518,5707,6113,6388,6795,7536,8173,8731,8748,8742,8869,9160,9601,10098,10161,10846,11243
 "42000","Pennsylvania",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",36,53,66,71,67,84,103,122,133,136,146,172,186,188,199,201,202,209,205,215,222,249,281,317,335,348,377,380,360,366,355,370,362,392,416,456,495,518,564,597,694,789,804,830,837,865,889,892,886,874,895
 "42000","Pennsylvania",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",12,21,32,44,33,46,111,118,103,80,79,118,107,187,212,112,103,100,84,75,85,105,151,232,214,146,134,139,123,120,119,127,182,281,292,200,174,171,185,271,635,651,512,422,318,186,176,177,156,145,143
 "42000","Pennsylvania",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",293,342,388,434,515,590,696,772,840,940,1076,1202,1388,1553,1675,1790,1904,2018,2086,2204,2341,2526,2874,2949,3112,3240,3379,3605,3729,3779,3976,4218,4487,4651,4810,5051,5443,5699,6046,6669,6844,7291,7433,7491,7714,8109,8536,9028,9119,9827,10205
 "42000","Pennsylvania",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",525,571,607,649,722,817,888,954,1061,1172,1313,1610,1991,2332,2437,2727,2938,3064,3115,3354,3808,3982,3983,3983,4077,4217,4516,4770,5033,5325,5228,5664,5612,5382,5441,5575,5730,6458,7101,7290,6537,6474,7141,7926,7519,8208,8596,8862,9344,10039,10249
 "42000","Pennsylvania",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",38436880,40518691,42410893,46349756,51119285,55468407,58846636,64245467,70701225,78472312,86595068,91820100,98824648,101160396,105242230,114855224,121615883,128098226,138139838,150812088,161088577,170011240,174840776,186564505,193773307,201208862,208258794,217005925,228564468,242081729,256072351,272672491,284766797,291631040,301827246,322209692,334764226,346781964,363056377,369777165,359223438,375547689,392459733,406814955,422098081,436521302,452960839,461629511,475934475,494564840,514358840
 "42000","Pennsylvania",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",30357033,32144348,33503376,36396877,40020341,43492107,45533186,49339840,53549103,59060320,65035319,69778363,74897159,76486821,78815808,84930838,89666307,94611155,102111463,110242677,116804300,123198183,126114149,132610854,136841782,142194189,148313207,155293512,164911456,175755250,184861731,195893879,201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296353875,308370084,312657433,325282052,339200635,353818270
 "42000","Pennsylvania",2,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",3893280,4171211,4579555,5293380,5991391,6688791,7674519,8414648,9753304,11078137,12641464,13808819,15361855,16197209,17236647,18804881,20259864,21703923,23276665,25075196,27328277,29157135,31041443,34501790,36270813,37525500,37397320,37857689,38681858,40032858,42853680,46291744,50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76037352,79386887,80180546,82384615,85310303,87649727
 "42000","Pennsylvania",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",2360712,2580543,2844804,3264432,3403989,3772499,4675801,5006168,5980450,6740233,7724638,8625884,9463289,10116884,10783357,11393107,12555015,13626771,14785746,15719491,17676280,18940514,20487967,23288642,24412471,24967913,24514752,24789942,25065476,25887430,28220501,30910917,34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52838325,55279490,55724481,56820916,59251357,60834371
