GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "44000","Rhode Island",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8363201,9390625,10463764,11271042,12185400,13381333,14413759,15452702,16547232,18239253,19852498,20438053,20636099,21597148,22514761,23090962,24324255,25172140,26633794,28410408,29751387,32048854,33733623,35133397,36973990,38907815,39747476,41711703,43394632,44051491,42952560,45261024,47066997,48810328,48772593,50863335,52739201,53530193,55574731,57603706,59707171
 "44000","Rhode Island",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2788531,2991811,3122479,3410065,3581961,3642022,3790127,4229358,4656033,5140796,5699435,6207564,6661130,7033522,7650648,8451413,9224968,10003242,10883201,12002799,12729689,12987181,12744553,13508354,13993395,14492074,15168443,15681189,16560106,17971377,19193863,20820116,21806736,22939105,24168387,25529982,26042549,27226257,27700912,27308172,26260471,27835860,28974352,30337264,30480450,31311139,32467181,32944303,34192868,35645759,37247007
 "44000","Rhode Island",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",347206,423015,496661,545627,624674,733593,971929,994536,1041509,1112354,1235934,1430831,1636137,1795913,1914368,1966925,2088337,2172436,2237118,2398219,2613229,2889760,3511041,3660912,3972957,3950944,4169950,4252887,4516328,4565554,4745474,4922222,5504910,5744226,5904767,6298216,6548823,6786038,7436311,8261558,8963434,9534245,9617874,9489685,9629373,10352878,10573146,10605033,10977110,11266366,11768192
 "44000","Rhode Island",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",33024,47192,59057,64654,67712,87951,102443,110500,111000,118669,126133,161075,181436,167411,177180,179526,188250,197311,198986,212891,230395,264680,310383,344665,371227,390160,414400,424434,404034,439563,443278,458876,471113,497499,516653,533319,574920,575481,730143,730120,865722,989806,1037805,1071765,1142114,1109408,992768,993819,966651,957611,973297
 "44000","Rhode Island",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",19079,38712,53066,51382,47968,65502,182643,124553,106734,88310,85048,98438,97866,138267,123176,79833,83377,74470,78167,82637,110724,178359,281198,334468,289733,225283,205524,189740,160859,149892,154419,150495,186711,257698,260944,213929,204009,201383,234282,345245,704960,705861,605382,491527,332987,191612,167462,160088,158414,150710,148292
 "44000","Rhode Island",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",295103,337111,384538,429591,508994,580140,686843,759483,823775,905375,1024753,1171318,1356835,1490235,1614012,1707566,1816710,1900655,1959965,2102691,2272110,2446721,2919460,2981779,3311997,3335501,3550026,3638713,3951435,3976099,4147777,4312851,4847086,4989029,5127170,5550968,5769894,6009174,6471886,7186193,7392752,7838578,7974687,7926393,8154272,9051858,9412916,9451126,9852045,10158045,10646603
 "44000","Rhode Island",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",606108,678145,717456,766275,837919,913299,980381,1048549,1167395,1278012,1427832,1752230,2166497,2441607,2620384,2962995,3100454,3277024,3426913,3838235,4509580,4561112,4380505,4427882,4548409,4647944,4985862,5238064,5557360,5873477,5812050,6306516,6421977,6450066,6900836,7079617,7156104,7699408,8257409,8481761,7728655,7890919,8474771,8983379,8662770,9199318,9698874,9980857,10404753,10691581,10691972
 "44000","Rhode Island",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361
 "44000","Rhode Island",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42944,44670,46282,46226,48169,49939,50655,52644,54431,56361
 "44000","Rhode Island",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2992,3147,3239,3493,3662,3820,4005,4450,4875,5370,5958,6543,6990,7371,8000,8786,9521,10235,10998,12046,12721,12910,12610,13341,13785,14264,14915,15360,16151,17428,18449,19824,20628,21519,22559,23758,24386,25610,26199,25884,24923,26411,27499,28766,28889,29652,30744,31175,32390,33683,35160
