GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "45000","South Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283472,24966939,28120355,29894431,32447264,36183178,38709682,41372177,44371556,48237217,52509247,56399794,58892827,62693521,65907989,69909223,74092106,78791906,83865349,89936146,94554173,101217425,104660767,107536385,111169886,117509600,124566561,134622602,143383709,149285850,145622107,150462929,159187413,167797548,170227230,181483113,192966848,201138764,212034057,223256914,233948386
 "45000","South Carolina",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",6158785,6621093,7193078,8079488,9101333,10130684,10580399,11979906,13135147,14867989,16563359,18031887,19856850,20590979,22330327,25030128,26614012,28446238,30905669,33678176,35882796,38395420,39502257,41912467,43899506,46190006,48643954,51347345,54662598,58717235,62584923,66620848,68102083,69755883,72613285,76173537,80081013,85057889,89583818,90913752,86920481,89565429,95096182,101463299,103084519,108648316,115043265,119576891,126108883,131828905,138348788
 "45000","South Carolina",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",536679,669015,778782,876244,1043971,1318163,1813986,1927088,2013101,2209794,2549337,3102491,3584257,3935358,4196177,4424694,4794230,5058080,5199383,5548959,6422498,7116115,8158753,9176636,9834854,10687500,11429455,12303239,12887910,13547635,14374196,15451728,17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37926051,40319741,42938573,44299068,45772475,48187580,51047271
 "45000","South Carolina",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",41508,81185,104538,122977,139939,213581,262731,275670,270400,275455,349092,458563,506821,504037,529422,527529,548471,563208,548373,587449,773606,724754,875429,1094263,1164736,1232473,1362555,1490361,1544205,1565750,1616505,1662456,1679968,2020920,2164249,2337496,2616182,2707955,2718181,3008690,3740754,4190955,4356539,4188556,4252961,4179431,4241167,3996828,3866471,3807016,3867889
 "45000","South Carolina",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",15431,28432,40563,31609,22359,47950,221742,151228,100916,75403,83571,150126,178544,300062,218251,132403,156822,120701,96480,91311,109970,145499,252530,336119,290698,205860,191589,218266,180785,178023,202824,210347,397276,572651,569833,403574,371407,379547,417456,710816,1764393,1692053,1225062,874903,512858,232279,207197,202456,194232,183925,173244
 "45000","South Carolina",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",479740,559398,633681,721658,881673,1056632,1329513,1500190,1641785,1858936,2116674,2493802,2898892,3131259,3448504,3764762,4088937,4374171,4554530,4870199,5538922,6245862,7030794,7746254,8379420,9249167,9875311,10594612,11162920,11803862,12554867,13578925,15167903,16131892,16947793,18545483,19897252,21670245,23218136,26663294,28072474,30474089,31166860,31853111,33160232,35908031,38490209,40099784,41711772,44196639,47006138
 "45000","South Carolina",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",908912,1090331,1209059,1353121,1546986,1785802,1999904,2189287,2444246,2801350,3170776,3832561,4679248,5368094,5920760,6728356,7301440,7867859,8266504,9010082,10203953,10888259,11231817,11604418,12173629,13031717,14018697,15141322,16314841,17671276,17595054,19144849,19313537,19055039,18874726,20049510,21600707,24806966,27446118,27989298,25124005,24540403,27342770,29417679,29216660,32515056,34985010,37262805,40152699,43240429,44552327
 "45000","South Carolina",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714
 "45000","South Carolina",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34073,35570,35731,37624,39446,40569,42227,43912,45438
 "45000","South Carolina",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2396,2548,2702,2972,3279,3563,3648,4073,4395,4889,5366,5753,6246,6419,6905,7650,8057,8510,9142,9870,10380,10967,11064,11577,11984,12466,12977,13526,14162,14982,15746,16555,16753,16981,17496,18090,18754,19518,20158,20074,18937,19321,20355,21509,21638,22524,23517,24118,25115,25929,26871
