GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "47000","Tennessee",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34543736,38077998,42383340,45046219,48057095,53481428,57207491,61216362,65940974,71645974,76927829,81783900,86008886,94052894,100091784,106496614,114364864,120799015,127953042,140036988,145564589,154419504,158356794,162839346,169454802,179482356,187942269,200305081,209963551,217598576,216041812,226586583,240717683,253613069,256016130,266873462,280955180,289936028,303460722,319689722,332472653
 "47000","Tennessee",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",9427808,10034701,10990387,12429258,14031935,15172918,15954958,18056821,20164654,23127331,25507468,27139018,29473123,30494603,32555397,36443871,39131539,41995652,45853218,49751111,52718658,55667765,58258429,64321202,68645648,73231659,77920136,82251767,87693573,97421140,101886940,107444544,109138064,113053319,117535097,125201811,130291736,138026058,141564126,142694210,140516044,145837655,156163483,165591799,167543889,175072896,184105180,190069262,198120907,208256291,216884910
 "47000","Tennessee",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",977840,1197077,1396549,1538849,1816799,2220687,2933844,3207067,3366660,3673379,4275691,5159033,5846299,6414513,6887663,7211375,7664086,8228411,8667353,9316576,10256837,11353972,12913994,14529377,15582168,16347817,17926308,18875873,19623982,20492371,21376816,23195042,25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53427602,54051596,56850074,58064288,59782301,62703479,66256389
 "47000","Tennessee",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",97859,164278,184549,192826,200817,300972,369502,426836,425296,438223,522591,688305,757328,730616,756041,755844,769658,815474,844611,952891,1074047,1227648,1439610,1741277,1891875,1981244,2140848,2251801,2281714,2288637,2406877,2379839,2437908,2854868,3112331,3332022,3687881,3889213,4361934,4661805,5657373,6236999,6357483,6459036,6527517,6305550,6126251,5889518,5757897,5494522,5658337
 "47000","Tennessee",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",36267,58015,80582,67772,50276,87277,302970,245428,187311,136918,182181,317641,290958,454306,372239,194619,210434,207352,197186,207996,219909,275466,387670,496953,412250,296647,295855,342077,340201,349357,351908,388489,605775,811909,775133,539218,470942,455751,489212,739356,1913926,1712059,1623401,941847,664326,375839,323981,263429,246922,232280,217771
 "47000","Tennessee",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",843714,974784,1131418,1278251,1565706,1832438,2261372,2534803,2754053,3098238,3570919,4153087,4798013,5229591,5759383,6260912,6683994,7205585,7625556,8155689,8962881,9850858,11086714,12291147,13278043,14069926,15489605,16281995,17002067,17854377,18618031,20426714,22246588,23459133,24903878,26752571,28605205,30253249,33188839,37370485,38448598,42461468,43405293,44487705,46235759,47370207,50399842,51911341,53777482,56976677,60380281
 "47000","Tennessee",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1409952,1617594,1801201,2002469,2292917,2679997,3004828,3255803,3644439,4178552,4760577,5779947,7063918,8137103,8614035,9826182,10411866,10992299,11420403,12578287,13952334,14762163,14836463,15202315,15863968,16917138,18518420,19671375,20635487,22123477,22300833,23779918,23928459,22660117,23128363,23656734,24886505,27680810,30359440,32132720,29505871,30338402,33168023,36132682,35044639,37748970,39999926,41802478,45557514,48729952,49331354
 "47000","Tennessee",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174
 "47000","Tennessee",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37616,39296,39421,40799,42626,43626,45233,47210,48684
 "47000","Tennessee",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2419,2549,2741,3040,3391,3611,3745,4171,4581,5184,5627,5899,6369,6564,6987,7776,8299,8862,9587,10317,10860,11374,11730,12738,13361,13998,14628,15185,15947,17490,18069,18838,18978,19506,20099,21182,21748,22669,22923,22841,22283,22947,24403,25658,25798,26765,27932,28599,29532,30754,31759
 "47000","Tennessee",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",251,304,348,376,439,529,689,741,765,823,943,1121,1263,1381,1478,1539,1625,1736,1812,1932,2113,2320,2600,2877,3033,3125,3365,3485,3568,3679,3791,4067,4398,4680,4923,5181,5469,5682,6160,6846,7298,7932,8030,8040,8227,8263,8625,8737,8911,9260,9702
