GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "49000","Utah",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10972424,12319288,13892687,15066940,16135197,17820360,19069875,20041877,20994591,22330039,23967442,25984871,27864000,30125548,32491283,35156842,38308316,41738865,45125191,48266440,50851413,54465472,56933165,58604849,60748737,64803364,70861585,79063009,86045989,90161765,86695561,89242385,96245269,103120617,106427258,113140924,121954105,128900615,136996815,148240621,156896281
 "49000","Utah",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",2653748,2913366,3224359,3596901,3997081,4435361,4879900,5579757,6351167,7299087,8216127,9058906,10031790,10647596,11291236,12518730,13363872,13981721,14615457,15604074,16647842,18159654,19529865,21280749,22993320,24926649,26896146,29244594,31826806,34169698,36445241,38702513,40295154,41177791,42508061,45749544,49409003,55397317,59461201,60561774,57818336,59079855,63594290,68626660,71122593,75063660,80200077,84305759,88794418,95970127,102110476
 "49000","Utah",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",247898,298520,352444,401870,471648,537738,673443,732210,788392,877703,999315,1178898,1380526,1586879,1729353,1782471,1935538,2094037,2244015,2344186,2588185,2840137,3137117,3480132,3774600,3889388,4218982,4466516,4643875,4847280,5118936,5499207,6031226,6601194,7025350,7439005,8109841,8810717,9601796,11214186,12409546,13766563,14219920,14110743,14590558,15105167,16052024,16841431,17421953,18493006,19879784
 "49000","Utah",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",23956,32167,38595,45340,47096,49318,59397,68860,71333,74791,80148,110987,123236,131188,149764,148655,157112,173199,185595,212812,241436,262326,297604,351546,385193,406764,445151,463955,487613,493440,512891,516701,464220,532231,625433,700151,813076,839456,1090153,1203890,1627624,1839030,1917903,1929640,1876200,1754088,1756140,1707303,1662676,1595162,1690503
 "49000","Utah",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",12774,17107,23841,27600,24159,31583,65390,58154,48121,40075,47418,73765,83872,151512,151100,78783,90880,107549,104433,72506,62984,65138,83532,125789,115333,80757,70339,77730,82061,94673,103822,119001,182407,315949,288709,175370,128704,101798,107661,225994,694217,769563,519547,374714,283323,194084,179113,184920,169022,153322,150236
 "49000","Utah",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",211168,249246,290008,328930,400393,456837,548656,605196,668938,762837,871749,994146,1173418,1304179,1428489,1555033,1687546,1813289,1953987,2058868,2283765,2512673,2755981,3002797,3274074,3401867,3703492,3924831,4074201,4259167,4502223,4863505,5384599,5753014,6111208,6563484,7168061,7869463,8403982,9784302,10087705,11157970,11782470,11806389,12431035,13156995,14116771,14949208,15590255,16744522,18039045
 "49000","Utah",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",505229,579553,666309,742642,814166,937312,1037184,1151656,1300910,1534875,1756982,2081484,2480371,2832465,3114608,3519159,3770465,3966119,4135119,4381779,4731415,4985080,5197018,5364667,5723363,6340805,7193188,8027755,8654510,9249462,9287236,10263752,10606785,10825864,11215326,11614815,13342741,14854975,16982992,18385805,16467679,16395967,18431059,20383214,20714107,22972097,25702004,27753425,30780444,33777488,34906021
 "49000","Utah",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958
 "49000","Utah",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22284,23078,24266,24930,25208,25739,26984,28832,31306,33123,33857,31833,32156,34198,36140,36729,38524,40899,42375,44178,47008,48939
 "49000","Utah",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2535,2734,2929,3170,3420,3700,3955,4385,4825,5350,5802,6152,6620,6833,7079,7716,8134,8408,8709,9237,9759,10489,10973,11586,12112,12715,13353,14142,15014,15776,16540,17243,17645,17712,18011,19050,20104,21935,22890,22742,21230,21287,22596,24051,24545,25559,26896,27715,28634,30432,31850
 "49000","Utah",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",237,280,320,354,404,449,546,575,599,643,706,801,911,1018,1084,1099,1178,1259,1337,1388,1517,1641,1763,1895,1988,1984,2095,2160,2191,2238,2323,2450,2641,2839,2977,3098,3300,3489,3696,4211,4557,4960,5053,4945,5035,5143,5383,5537,5618,5864,6201
 "49000","Utah",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",23,30,35,40,40,41,48,54,54,55,57,75,81,84,94,92,96,104,111,126,142,152,167,191,203,207,221,224,230,228,233,230,203,229,265,292,331,332,420,452,598,663,681,676,647,597,589,561,536,506,527
