GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "50000","Vermont",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4015134,4505299,5069132,5502286,5907740,6496255,7040967,7574217,8217480,8976787,9917053,10298043,10499432,11241667,11680869,12247126,12890172,13585552,14333084,15410745,16394183,17745584,18821934,19226811,19983748,21147342,21726842,23108837,24319664,25530398,25164294,25939055,27455225,28395737,28768855,29886823,30882295,31444997,32276946,33422671,34502323
 "50000","Vermont",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1117636,1205082,1278112,1403927,1531015,1612989,1711236,1932545,2105393,2464116,2761230,3004876,3280537,3453835,3714134,4092219,4487545,4884151,5434266,5930894,6420412,6603285,6672149,7194735,7503000,7829329,8080524,8560805,9009151,9742781,10541836,11476604,12220766,12653702,13099950,13845624,14246088,14675017,15131873,15592881,15432759,16082667,16979819,17418462,17542122,17779675,18164481,18441189,19101756,19751941,20511401
 "50000","Vermont",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5796240,6049330,6247377,6362203,6463271,6735979,7029674
 "50000","Vermont",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",15252,19294,25071,28539,29395,42771,55085,63176,56267,56388,65483,89413,102922,101392,105929,104761,105734,109762,106986,111331,120241,141245,166027,195441,198802,211984,224038,209596,225779,221149,233690,238850,243288,259219,270438,286402,316285,331548,438507,466817,522431,550938,558663,571227,607359,588799,482542,468562,469597,460480,473515
 "50000","Vermont",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",4806,8555,16542,19198,15256,22399,48844,43716,33992,22816,23382,35300,35057,51941,53053,36438,34135,30296,25095,23586,30768,52762,80669,90822,83419,59306,52517,53226,49728,46382,46174,44722,64719,112057,120498,83466,80049,84799,90301,123264,267316,223620,163866,127204,97399,78130,71728,69458,66314,63471,63029
 "50000","Vermont",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",124110,143705,163251,182516,217588,250013,297282,325373,352019,388241,441491,503840,586911,653432,705311,748659,788714,816604,839150,890455,970440,1056720,1131823,1273260,1346282,1453441,1593164,1669222,1758341,1849550,1984101,2153638,2364612,2484387,2598422,2752766,3004118,3363341,3651658,4070443,4268696,4572966,4674487,4826265,5091482,5382401,5693107,5824183,5927360,6212028,6493130
 "50000","Vermont",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",253631,287295,319315,354887,390628,435855,479338,511206,572425,641851,723548,871870,1063705,1241686,1329313,1514178,1624839,1733404,1811983,2020521,2375192,2444031,2448764,2487409,2549366,2693066,2939929,3092703,3290085,3550883,3588382,3831770,3928549,3717446,3894440,4179084,4080302,4654132,5007325,5276993,4673092,4508864,5078390,5452579,5430493,6057818,6470437,6641605,6711919,6934751,6961248
 "50000","Vermont",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989
 "50000","Vermont",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43785,45354,45941,47803,49395,50420,51697,53531,55293
 "50000","Vermont",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2558,2700,2813,3031,3268,3409,3566,3983,4278,4945,5460,5863,6363,6653,7097,7770,8467,9145,10058,10788,11512,11691,11734,12562,12987,13410,13719,14419,15085,16227,17434,18826,19961,20560,21202,22335,22933,23559,24270,24983,24700,25696,27079,27821,28013,28438,29053,29569,30595,31636,32871
 "50000","Vermont",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",330,384,451,497,560,666,836,891,899,938,1049,1226,1406,1554,1652,1690,1752,1791,1798,1865,2011,2214,2424,2723,2819,2954,3174,3254,3405,3526,3744,3998,4365,4640,4838,5037,5474,6068,6705,7467,8096,8544,8607,8824,9256,9676,9992,10201,10352,10789,11266
 "50000","Vermont",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",35,43,55,62,63,90,115,130,114,113,129,174,200,195,202,199,199,206,198,203,216,250,292,341,344,363,380,353,378,368,386,392,397,421,438,462,509,532,703,748,836,880,891,912,970,942,772,751,752,738,759
 "50000","Vermont",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",11,19,36,41,33,47,102,90,69,46,46,69,68,100,101,69,64,57,46,43,55,93,142,159,144,102,89,90,83,77,76,73,106,182,195,135,129,136,145,197,428,357,261,203,156,125,115,111,106,102,101
 "50000","Vermont",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",284,322,359,394,464,528,619,671,715,779,873,983,1138,1259,1348,1422,1488,1529,1553,1620,1740,1871,1991,2223,2330,2489,2705,2812,2944,3080,3281,3533,3862,4037,4206,4441,4836,5400,5857,6522,6832,7306,7455,7709,8131,8609,9106,9339,9494,9949,10406
 "50000","Vermont",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",580,644,703,766,834,921,999,1054,1163,1288,1431,1701,2063,2392,2540,2875,3066,3246,3354,3675,4259,4327,4307,4343,4413,4613,4991,5209,5509,5914,5934,6286,6417,6040,6303,6741,6568,7472,8031,8455,7479,7204,8099,8709,8672,9689,10349,10649,10750,11107,11156
 "50000","Vermont",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",1227584,1320775,1399716,1535665,1691241,1784368,1884015,2121519,2310209,2708931,3038824,3299425,3626776,3822058,4121902,4553227,5005704,5451937,6047853,6625639,7167531,7421189,7502931,8063944,8411612,8779568,9074376,9582795,10059895,10834640,11689580,12684504,13506631,13971295,14469288,15317204,15791446,16277784,16831673,17361758,17133318,17817857,18605396,19110941,19530518,19836343,20317176,20645832,21371873,22078345,22840294
 "50000","Vermont",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",939792,1017751,1071743,1162261,1282100,1359327,1420871,1565047,1711951,1980335,2219249,2425788,2679714,2847414,3066049,3353221,3675546,4014762,4398827,4839687,5199011,5390795,5422646,5720912,5978684,6219945,6530325,6873414,7258523,7750545,8247312,8892966,9346529,9560835,9874915,10383207,10724221,11224789,11667476,12070620,11805583,12021119,12366148,12791254,13198847,13639882,14108639,14454314,14910632,15412912,15951678
 "50000","Vermont",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",100454,111503,123442,142165,163277,181674,212399,241792,280073,332199,381659,424254,489097,535290,598819,663451,737868,824932,892785,986428,1083902,1166930,1212764,1336931,1438254,1508105,1544479,1573185,1622030,1716788,1877703,2039097,2205641,2371979,2559516,2751492,2917527,2862685,3022675,3172357,3037688,3086166,3396619,3412081,3575305,3449541,3681012,3695986,3767750,3872483,3887096
 "50000","Vermont",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",58589,67113,74909,85317,90989,102492,129915,145662,173031,202980,231957,263235,300315,334219,375132,403894,456245,518414,564964,618554,696654,744402,784338,883272,957176,1000145,1017682,1024455,1050107,1109964,1238125,1353443,1483727,1644622,1801903,1957123,2089398,2000153,2117949,2228168,2100260,2123700,2376842,2333271,2465274,2301428,2484044,2475071,2498613,2602575,2625223
 "50000","Vermont",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",41865,44390,48533,56848,72288,79182,82484,96130,107042,129219,149702,161019,188782,201071,223687,259557,281623,306518,327821,367874,387248,422528,428426,453659,481078,507960,526797,548730,571923,606824,639578,685654,721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1148113,1196968,1220915,1269137,1269908,1261873
 "50000","Vermont",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",187338,191521,204531,231239,245864,243367,250745,314680,318185,396397,437916,449383,457965,439354,457034,536555,592290,612243,756241,799524,884618,863464,867521,1006101,994674,1051518,999572,1136196,1179342,1367307,1564565,1752441,1954461,2038481,2034857,2182505,2149698,2190310,2141522,2118781,2290047,2710572,2842629,2907606,2756366,2746920,2527525,2495532,2693491,2792950,3001520
 "50000","Vermont",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",42899,46427,46203,54243,55598,41918,42646,58170,43016,66020,73568,74985,90834,88766,50593,51819,69164,70243,95249,88789,87664,73642,63489,137076,83733,85349,50815,95981,56334,80835,93161,87413,80871,27907,67877,117287,136218,52546,139699,150409,50561,122431,201759,160155,197596,247789,122582,81853,113422,69091,156214
 "50000","Vermont",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",144439,145094,158328,176996,190266,201449,208099,256510,275169,330377,364348,374398,367131,350588,406441,484736,523126,542000,660992,710735,796954,789822,804032,869025,910941,966169,948757,1040215,1123008,1286472,1471404,1665028,1873590,2010574,1966980,2065218,2013480,2137764,2001823,1968372,2239486,2588141,2640870,2747451,2558770,2499131,2404943,2413679,2580069,2723859,2845306
 "50000","Vermont",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",202578,205015,205729,211203,219986,222240,220329,228487,236484,251752,260666,265618,269992,271070,277388,288739,300062,311372,320497,334186,341223,340784,334190,341722,349250,358528,361825,367074,372613,381006,389726,400963,403836,405652,406050,413089,417100,421004,425032,424270,414181,413312,416949,421809,425029,428938,432508,433924,436223,437913,441120
 "50000","Vermont",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",171127,173749,172936,177055,184615,185992,183706,189112,194879,208020,214708,216215,219186,218241,221844,230738,237592,246457,256886,267167,273284,269239,261097,264004,270620,277781,283975,288170,292547,298828,307020,315017,316443,316147,314749,318138,319449,321622,321217,320122,309536,310261,313167,318183,320076,323134,325808,327109,328440,329216,329628
 "50000","Vermont",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",31451,31266,32793,34148,35371,36248,36623,39375,41605,43732,45958,49403,50806,52829,55544,58001,62470,64915,63611,67019,67939,71545,73093,77718,78630,80747,77850,78904,80066,82178,82706,85946,87393,89505,91301,94951,97651,99382,103815,104148,104645,103051,103782,103626,104953,105804,106700,106815,107783,108697,111492
 "50000","Vermont",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",7224,6977,6722,6441,6381,6403,6348,6884,6670,6921,7230,7641,8135,7468,7967,7672,7562,7374,7292,7132,6780,6657,6529,6548,6514,6453,6454,6477,6610,6796,6752,6791,6658,6865,6509,6197,6008,5824,6340,6469,6477,6633,6777,6782,6848,6664,6656,6545,6444,6438,6439
 "50000","Vermont",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",24227,24289,26071,27707,28990,29845,30275,32491,34935,36811,38728,41762,42671,45361,47577,50329,54908,57541,56319,59887,61159,64888,66564,71170,72116,74294,71396,72427,73456,75382,75954,79155,80735,82640,84792,88754,91643,93558,97475,97679,98168,96418,97005,96844,98105,99140,100044,100270,101339,102259,105053
 "50000","Vermont",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",6060,6442,6804,7271,7688,8029,8551,9285,9769,10760,11658,12422,13433,14100,14860,15769,16682,17509,18870,19826,21005,21777,22451,23598,24085,24488,25079,26106,26998,28437,29994,31635,33446,34442,35634,37080,37860,38664,39601,40921,41367,43110,44623,45307,45951,46245,46975,47579,48993,50417,51778
 "50000","Vermont",1,CAINC30,300,"..."," Average wages and salaries","Dollars",5492,5858,6197,6564,6945,7309,7734,8276,8785,9520,10336,11219,12226,13047,13821,14533,15470,16290,17124,18115,19024,20022,20769,21670,22093,22392,22996,23852,24811,25936,26862,28230,29536,30242,31374,32637,33571,34901,36323,37706,38140,38745,39487,40201,41237,42211,43304,44188,45398,46817,48393
 "50000","Vermont",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",5962,5974,6073,6388,6563,6750,6874,7895,7877,8975,9408,8965,8604,7729,8543,9631,9527,9419,11737,11868,13031,12172,12079,12211,12632,13005,13289,14362,15288,17066,19372,21035,23207,24329,23198,23269,21971,22850,20537,20151,22813,26843,27224,28370,26082,25208,24039,24072,25460,26637,27084
 "50001","Addison, VT",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",74438,83975,91418,101674,111057,118305,128497,143055,152384,176850,202158,230734,260812,284350,299657,332179,364335,402291,442716,469560,518421,548458,557756,596447,611179,640904,671130,722872,756830,832581,893537,967884,1036409,1061560,1125217,1178608,1195922,1259505,1348273,1416137,1390408,1466051,1564845,1671670,1656573,1693127,1711806,1750790,1827795,1889631,1947948
 "50001","Addison, VT",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",54914,60708,64542,71040,77393,80462,84512,96609,102591,122222,139404,155903,172066,181781,190179,209919,235837,267241,302148,315863,347541,358484,359785,389597,394426,409330,422730,462388,483993,540874,595166,643316,694556,718348,755159,798929,823400,838887,887063,909715,897881,972923,1045774,1118136,1079155,1052467,1036533,1062935,1118394,1149803,1205421
 "50001","Addison, VT",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",6952,8308,9704,10802,11938,14302,18461,19621,20081,21219,24477,28698,33095,37447,39788,41363,43091,44256,44681,47593,52759,57743,64085,71279,75957,81202,86734,90112,94519,97368,105259,111227,123033,129428,134183,138327,151910,168483,187930,219352,235687,249963,247768,255700,273522,286152,293620,302166,306656,322581,324822
