GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "55000","Wisconsin",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143322190,149420728,159325995,167133292,171578065,176274512,184282831,190975843,202649291,211964861,219492838,215830801,221909662,234910041,246150786,247744891,258489356,269952105,274764740,285249856,299826986,309909312
 "55000","Wisconsin",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",12615940,13277126,14079844,15407909,17162129,18490729,19788655,21914684,24766587,27749244,30924532,32822077,34448695,35257627,36628141,40724511,42873725,45637813,49139167,52554996,56840389,60161402,62507337,68153325,71960635,76708812,79874551,84441824,89945705,96473429,102175921,108399229,114128034,118182363,121968118,128299089,132001472,137755420,142564069,144904274,139756804,143210882,152925934,159171738,161127425,166470658,172653584,175023365,180709798,189072492,196301017
 "55000","Wisconsin",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1359090,1598877,1869925,2079229,2364978,2811183,3527660,3822606,4053530,4474912,5133592,6256970,7114936,7936440,8527264,8731701,9275057,9568248,9784036,10135892,10941748,11735324,12735189,13801658,14380476,14830254,15721856,16283305,16818279,17246968,17954158,19294160,21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42370793,44275131,46199333,46742333,48909730,51490528,53863628
 "55000","Wisconsin",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",93633,117962,157970,205734,214655,278266,350896,407929,459864,483931,535058,699370,781024,821930,940399,1002281,1065149,1111822,1084885,1081660,1081824,1136497,1260367,1413967,1470567,1470549,1525055,1418755,1440319,1339917,1407128,1496022,1638593,1747418,1975482,2125412,2307827,2442424,2688724,2842259,3362671,3769138,3892678,3914535,4044137,4064909,3957044,3767785,3824214,3705999,3854176
 "55000","Wisconsin",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",44423,90474,134453,129812,93728,131349,337812,291678,212097,202058,254972,554386,550526,793877,750799,437216,453482,390478,348769,290889,320463,367900,527038,598803,562147,433846,452042,503079,477891,459576,467542,526643,814730,1179148,1180218,897153,818473,811490,907247,1220595,2936217,2879740,2072571,1588389,1238608,683471,573131,485263,435696,397749,394272
 "55000","Wisconsin",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1221034,1390441,1577502,1743683,2056595,2401568,2838952,3122999,3381569,3788923,4343562,5003214,5783386,6320633,6836066,7292204,7756426,8065948,8350382,8763343,9539461,10230927,10947784,11788888,12347762,12925859,13744759,14361471,14900069,15447475,16079488,17271495,19075679,20239240,20696849,21531117,23182687,24657926,26645431,29804071,32877509,35400487,34688069,35914705,37088048,39526751,41669158,42489285,44649820,47386780,49615180
 "55000","Wisconsin",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2449573,2772750,3009475,3244430,3630720,4134562,4555653,4871839,5390272,5985706,6739483,8202947,10049725,11268254,12041310,13456948,14127871,14710719,14870475,15765459,17751743,18534500,18759915,19452751,20372792,21855347,23730661,25471579,27151193,29601793,29290649,31632606,31476256,30229896,30453845,31430060,32665384,36982031,39159390,40721639,36897600,36649415,41330789,45561419,44246673,47743567,51099188,52999042,55630328,59263966,59744667
 "55000","Wisconsin",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
 "55000","Wisconsin",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41174,43034,43186,44943,46859,47598,49264,51628,53227
 "55000","Wisconsin",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2882,3000,3157,3425,3798,4074,4330,4780,5369,5991,6628,6966,7289,7456,7758,8600,9030,9597,10285,10898,11704,12266,12591,13562,14152,14942,15405,16146,17080,18211,19160,20171,21108,21704,22260,23268,23800,24698,25409,25688,24652,25167,26804,27827,28087,28944,29970,30320,31210,32557,33715
 "55000","Wisconsin",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",310,361,419,462,523,619,772,834,879,966,1100,1328,1505,1678,1806,1844,1954,2012,2048,2102,2253,2393,2565,2746,2828,2889,3032,3113,3194,3256,3367,3590,3982,4254,4353,4453,4744,5004,5390,6004,6910,7389,7126,7241,7386,7698,8019,8097,8447,8866,9251
 "55000","Wisconsin",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",21,27,35,46,48,61,77,89,100,104,115,148,165,174,199,212,224,234,227,224,223,232,254,281,289,286,294,271,274,253,264,278,303,321,361,385,416,438,479,504,593,662,682,684,705,707,687,653,660,638,662
 "55000","Wisconsin",3,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",10,20,30,29,21,29,74,64,46,44,55,118,116,168,159,92,96,82,73,60,66,75,106,119,111,85,87,96,91,87,88,98,151,217,215,163,148,145,162,216,518,506,363,278,216,119,99,84,75,68,68
