GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "56000","Wyoming",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12633137,13517842,14591262,15414179,15773651,16711990,17879703,19661137,22771033,24263403,26533662,24486651,25804875,28356579,30846087,30789592,33035351,33274591,31645709,32723640,35054231,35992658
 "56000","Wyoming",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",915032,998891,1099874,1253697,1461402,1710068,1927574,2134575,2526002,3049668,3579235,4108811,4572955,4625613,4431201,4593234,4780417,4696085,4433960,4480348,4857693,5245659,5463399,5766207,6133879,6321217,6469438,6701519,7222797,7529372,8093385,8656399,9314571,9729275,10185780,10607287,11408764,12990082,14023448,15712981,15064599,15882716,17134917,17895488,18382327,19445179,19414906,17966429,18280418,19722384,20441220
 "56000","Wyoming",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",88663,102746,118735,129397,151849,172179,207845,232082,254420,286224,330781,392630,471319,542216,640811,633335,672420,740542,751496,782469,848623,912472,1015286,1122689,1222956,1292931,1379881,1453326,1492306,1533920,1595962,1715731,1848840,1980090,2144992,2266868,2384556,2529902,2687364,3120759,3376771,3642359,3658034,3654125,3784223,3968295,4204220,4389667,4579641,4814601,5043127
 "56000","Wyoming",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",5334,6784,7951,7518,8135,9641,10279,12879,13791,13224,16623,25421,26954,31139,40856,44715,48773,53567,56176,61675,68227,75092,87604,101705,109062,113887,122944,130409,121635,121510,112480,128942,120502,138538,172480,170056,164154,151335,152434,188109,215247,243583,252012,240021,245004,241049,226881,237033,235357,225320,241140
 "56000","Wyoming",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2536,2815,4449,4395,3523,3728,8192,10180,9200,10573,7749,14311,24655,47908,89706,27449,32554,58413,40597,26066,26005,22791,27829,40822,37730,30837,32743,34839,29862,28562,31162,28068,28858,50047,61698,47397,37265,31501,36741,54575,193610,212037,142433,110078,94568,62944,90335,117665,67876,48417,46896
 "56000","Wyoming",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",80793,93147,106335,117484,140191,158810,189374,209023,231429,262427,306409,352898,419710,463169,510249,561171,591093,628562,654723,694728,754391,814589,899853,980162,1076164,1148207,1224194,1288078,1340809,1383848,1452320,1558721,1699480,1791505,1910814,2049415,2183137,2347066,2498189,2878075,2967914,3186739,3263589,3304026,3444651,3664302,3887004,4034969,4276408,4540864,4755091
 "56000","Wyoming",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",214872,246291,278932,301412,355386,420456,471972,523706,595216,697814,806071,1004884,1255529,1449021,1496082,1630580,1707595,1693966,1678878,1739795,1936247,2075191,2163670,2241843,2303073,2488336,2736049,2922892,3169872,3569845,3828495,4219132,4250768,4064286,4381218,5005548,5867817,7251049,7552591,7699922,6045281,6279800,7563628,9296474,8623042,9621877,9655465,9289613,9863581,10517246,10508311
 "56000","Wyoming",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759
 "56000","Wyoming",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25741,27488,29519,31161,31546,33195,35120,38240,43567,45363,48593,43738,45714,49985,53524,52892,56710,56820,54168,56524,60689,62189
 "56000","Wyoming",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2781,2993,3235,3614,4136,4691,5066,5398,6138,7077,7921,8665,9300,9134,8683,9097,9567,9475,9296,9633,10598,11562,11896,12367,12966,13161,13335,13728,14757,15341,16457,17512,18830,19458,20232,20835,22189,24853,26218,28776,26908,28137,30204,31052,31578,33381,33153,30753,31576,34145,35319
 "56000","Wyoming",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",269,308,349,373,430,472,546,587,618,664,732,828,959,1071,1256,1254,1346,1494,1576,1682,1851,2011,2211,2408,2585,2692,2844,2977,3049,3125,3245,3471,3738,3960,4261,4453,4638,4840,5024,5715,6032,6453,6448,6341,6501,6812,7179,7514,7911,8336,8714
 "56000","Wyoming",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",16,20,23,22,23,26,27,33,34,31,37,54,55,61,80,89,98,108,118,133,149,166,191,218,231,237,253,267,249,248,229,261,244,277,343,334,319,290,285,344,384,432,444,416,421,414,387,406,407,390,417
 "56000","Wyoming",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",8,8,13,13,10,10,22,26,22,25,17,30,50,95,176,54,65,118,85,56,57,50,61,88,80,64,67,71,61,58,63,57,58,100,123,93,72,60,69,100,346,376,251,191,162,108,154,201,117,84,81
 "56000","Wyoming",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",246,279,313,339,397,436,498,529,562,609,678,744,854,915,1000,1111,1183,1268,1373,1494,1646,1795,1959,2102,2275,2391,2523,2639,2739,2820,2953,3153,3436,3583,3795,4026,4246,4491,4671,5271,5301,5645,5753,5733,5917,6290,6637,6907,7387,7862,8216
 "56000","Wyoming",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",653,738,820,869,1006,1153,1240,1324,1446,1619,1784,2119,2553,2861,2932,3230,3417,3418,3520,3741,4224,4574,4711,4808,4868,5181,5639,5987,6476,7274,7785,8536,8593,8128,8702,9832,11413,13873,14120,14101,10798,11125,13333,16131,14813,16517,16488,15901,17038,18208,18157
 "56000","Wyoming",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",980672,1070032,1181243,1351718,1595588,1881969,2124992,2369397,2803955,3395755,4013502,4623421,5197409,5270734,5012007,5206765,5431677,5318647,5010367,5104487,5499884,5954978,6209148,6549361,6959118,7195050,7365424,7613703,8174479,8528389,9141509,9763725,10525807,10985834,11538825,12067174,13011818,15045089,16317402,18178847,17460871,18337971,19484218,20356559,21113081,22320078,22260563,20738651,21094356,22622699,23456428
 "56000","Wyoming",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",723995,785240,855011,951358,1111600,1331832,1530419,1773869,2087364,2515207,2988276,3527672,4057122,4140105,3834646,3958215,4141817,3962009,3706079,3827031,3941184,4235665,4469091,4651826,4885595,5147930,5297116,5437703,5735106,6040447,6387324,6835198,7330442,7689551,8033904,8577838,9339746,10725959,11895985,12950649,12196367,12369655,12938727,13542550,13733258,14409506,14280525,13416665,13701973,14365192,15080523
 "56000","Wyoming",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",82449,93235,109140,127880,152537,187135,225179,262730,315914,379535,454362,531700,622469,658379,659877,701762,760061,773146,744201,751793,816790,899271,968243,1051101,1116103,1171809,1176320,1198844,1246745,1296652,1389510,1512463,1669759,1762811,1924286,2053324,2189731,2698293,2999813,3244892,3067345,3160030,3233308,3435532,3807208,3964138,4025795,3842720,3955081,4148374,4212880
 "56000","Wyoming",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",49504,57402,68130,79106,86783,103640,129435,148961,181307,213208,249141,296489,334892,358006,381128,395337,439706,465263,459706,443612,501082,547335,595055,665138,708744,740903,735415,748367,772957,803065,868109,958825,1085497,1173055,1297646,1381096,1461232,1671453,1845619,2021655,1891751,1967547,1977155,2096825,2462775,2535782,2646518,2527524,2631337,2807667,2835450
 "56000","Wyoming",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",32945,35833,41010,48774,65754,83495,95744,113769,134607,166327,205221,235211,287577,300373,278749,306425,320355,307883,284495,308181,315708,351936,373188,385963,407359,430906,440905,450477,473788,493587,521401,553638,584262,589756,626640,672228,728499,1026840,1154194,1223237,1175594,1192483,1256153,1338707,1344433,1428356,1379277,1315196,1323744,1340707,1377430
 "56000","Wyoming",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",174228,191557,217092,272480,331451,363002,369394,332798,400677,501013,570864,564049,517818,472250,517484,546788,529799,583492,560087,525663,741910,820042,771814,846434,957420,875311,891988,977156,1192628,1191290,1364675,1416064,1525606,1533472,1580635,1436012,1482341,1620837,1421604,1983306,2197159,2808286,3312183,3378477,3572615,3946434,3954243,3479266,3437302,4109133,4163025
 "56000","Wyoming",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",38600,46328,54578,91360,110934,63560,18342,-1566,-8691,11324,37951,25695,-8276,-27349,-15912,-36045,-30686,-3677,17139,13422,41858,98350,161610,170685,191407,52476,30986,17365,110311,25028,92762,39953,104300,2388,92958,85831,119784,-5984,-77080,-14295,-40686,4844,251766,-13403,76637,211153,165076,13232,16907,64120,107785
 "56000","Wyoming",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",135628,145229,162514,181120,220517,299442,351052,334364,409368,489689,532913,538354,526094,499599,533396,582833,560485,587169,542948,512241,700052,721692,610204,675749,766013,822835,861002,959791,1082317,1166262,1271913,1376111,1421306,1531084,1487677,1350181,1362557,1626821,1498684,1997601,2237845,2803442,3060417,3391880,3495978,3735281,3789167,3466034,3420395,4045013,4055240
 "56000","Wyoming",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",157954,159384,164883,172302,182288,193767,202679,214096,230589,249813,266229,278978,289465,286715,274024,275951,276585,263687,258441,263690,265401,270832,277118,279892,284727,297591,300567,303696,306691,310043,315198,324653,330130,334123,336763,343755,354378,370329,388476,398969,387473,385059,390303,396704,400402,406343,406033,398271,398915,404465,412765
 "56000","Wyoming",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",128042,129357,134091,140361,149102,159093,166223,175658,189442,206358,219665,230040,240399,235535,219955,220575,222624,212779,200930,202980,206174,211169,215307,218252,222801,229557,232790,233508,235947,240390,245126,251864,257293,260214,262061,267167,274415,287005,297724,306048,293503,290013,293811,298289,299508,303923,302533,291492,289146,291670,297577
 "56000","Wyoming",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",29912,30027,30792,31941,33186,34674,36456,38438,41147,43455,46564,48938,49066,51180,54069,55376,53961,50908,57511,60710,59227,59663,61811,61640,61926,68034,67777,70188,70744,69653,70072,72789,72837,73909,74702,76588,79963,83324,90752,92921,93970,95046,96492,98415,100894,102420,103500,106779,109769,112795,115188
