region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,popestimate,obese_pct,highbloodpress_pct,diabetes_pct
,,,,AL,,Alabama,2017,1,,,92.5,
,,,,AL,,Alabama,2017,1,,,7.5,
3,South,6,East South Central,AL,1,Alabama,2017,2,640470,36.3,80,2.2
3,South,6,East South Central,AL,1,Alabama,2017,2,640470,36.3,20,2.2
3,South,6,East South Central,AL,1,Alabama,2017,3,591492,42.2,33.3,9.1
3,South,6,East South Central,AL,1,Alabama,2017,3,591492,42.2,66.7,9.1
,,,,AL,,Alabama,2017,4,,,47.2,15.2
,,,,AL,,Alabama,2017,4,,,52.8,15.2
,,,,AL,,Alabama,2017,5,,,41.2,23.3
,,,,AL,,Alabama,2017,5,,,58.8,23.3
,,,,AL,,Alabama,2017,6,,,67.3,26.7
,,,,AL,,Alabama,2017,6,,,32.7,26.7
4,West,9,Pacific,AK,2,Alaska,2017,1,71878,23,87,
4,West,9,Pacific,AK,2,Alaska,2017,1,71878,23,13,
,,,,AK,,Alaska,2017,2,,,14.5,
,,,,AK,,Alaska,2017,2,,,85.5,
4,West,9,Pacific,AK,2,Alaska,2017,3,93004,41.5,24.6,5.8
4,West,9,Pacific,AK,2,Alaska,2017,3,93004,41.5,75.40000000000001,5.8
4,West,9,Pacific,AK,2,Alaska,2017,4,91110,37.7,59.8,7.9
4,West,9,Pacific,AK,2,Alaska,2017,4,91110,37.7,40.2,7.9
4,West,9,Pacific,AK,2,Alaska,2017,5,95222,36.2,56.6,12.2
4,West,9,Pacific,AK,2,Alaska,2017,5,95222,36.2,43.4,12.2
4,West,9,Pacific,AK,2,Alaska,2017,6,82596,34.8,40.6,18.6
4,West,9,Pacific,AK,2,Alaska,2017,6,82596,34.8,59.4,18.6
,,,,AZ,,Arizona,2017,1,,,6.2,
,,,,AZ,,Arizona,2017,1,,,93.8,
4,West,8,Mountain,AZ,4,Arizona,2017,2,964729,30.5,13.1,1.8
4,West,8,Mountain,AZ,4,Arizona,2017,2,964729,30.5,86.90000000000001,1.8
,,,,AZ,,Arizona,2017,3,,,18.9,5.3
,,,,AZ,,Arizona,2017,3,,,81.09999999999999,5.3
,,,,AZ,,Arizona,2017,4,,,30.8,12.6
,,,,AZ,,Arizona,2017,4,,,69.2,12.6
4,West,8,Mountain,AZ,4,Arizona,2017,5,847268,33.5,55.3,17.4
4,West,8,Mountain,AZ,4,Arizona,2017,5,847268,33.5,44.7,17.4
,,,,AZ,,Arizona,2017,6,,,56.9,19.7
,,,,AZ,,Arizona,2017,6,,,43.1,19.7
3,South,7,West South Central,AR,5,Arkansas,2017,1,280631,13.3,9.4,
3,South,7,West South Central,AR,5,Arkansas,2017,1,280631,13.3,90.59999999999999,
3,South,7,West South Central,AR,5,Arkansas,2017,2,395663,38.8,22.7,
3,South,7,West South Central,AR,5,Arkansas,2017,2,395663,38.8,77.3,
,,,,AR,,Arkansas,2017,3,,,34.2,7
,,,,AR,,Arkansas,2017,3,,,65.8,7
,,,,AR,,Arkansas,2017,4,,,57.1,11.8
,,,,AR,,Arkansas,2017,4,,,42.9,11.8
,,,,AR,,Arkansas,2017,5,,,57.5,21.1
,,,,AR,,Arkansas,2017,5,,,42.5,21.1
,,,,AR,,Arkansas,2017,6,,,34,23.5
,,,,AR,,Arkansas,2017,6,,,66,23.5
4,West,9,Pacific,CA,6,California,2017,1,3777180,12.7,6.4,
4,West,9,Pacific,CA,6,California,2017,1,3777180,12.7,93.59999999999999,
,,,,CA,,California,2017,2,,,9,1.8
,,,,CA,,California,2017,2,,,91,1.8
,,,,CA,,California,2017,3,,,82.5,4.3
,,,,CA,,California,2017,3,,,17.5,4.3
,,,,CA,,California,2017,4,,,29.5,11.3
,,,,CA,,California,2017,4,,,70.5,11.3
,,,,CA,,California,2017,5,,,54.1,18.6
,,,,CA,,California,2017,5,,,45.9,18.6
,,,,CA,,California,2017,6,,,42.3,23.9
,,,,CA,,California,2017,6,,,57.7,23.9
4,West,8,Mountain,CO,8,Colorado,2017,1,521163,13.1,8.199999999999999,
