region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,race,popestimate
3,South,6,East South Central,AL,1,Alabama,2018,4,4,10589
4,West,9,Pacific,AK,2,Alaska,2017,1,3,11696
4,West,8,Mountain,AZ,4,Arizona,2017,3,4,40664
3,South,7,West South Central,AR,5,Arkansas,2017,2,7,35188
4,West,9,Pacific,CA,6,California,2017,5,7,1269736
4,West,8,Mountain,CO,8,Colorado,2018,2,6,20650
1,Northeast,1,New England,CT,9,Connecticut,2019,4,7,72102
3,South,5,South Atlantic,DE,10,Delaware,2017,1,6,2923
3,South,5,South Atlantic,DC,11,District of Columbia,2017,2,3,310
3,South,5,South Atlantic,FL,12,Florida,2017,3,4,93781
3,South,5,South Atlantic,GA,13,Georgia,2017,1,2,355374
4,West,9,Pacific,HI,15,Hawaii,2017,5,5,14894
4,West,8,Mountain,ID,16,Idaho,2019,4,3,2373
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,1,612976
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,4,10813
2,Midwest,4,West North Central,IA,19,Iowa,2017,3,2,15130
2,Midwest,4,West North Central,KS,20,Kansas,2017,2,2,26655
3,South,6,East South Central,KY,21,Kentucky,2019,2,6,9890
3,South,7,West South Central,LA,22,Louisiana,2019,3,5,267
1,Northeast,1,New England,ME,23,Maine,2018,2,6,2729
3,South,5,South Atlantic,MD,24,Maryland,2019,1,4,31992
1,Northeast,1,New England,MA,25,Massachusetts,2019,2,5,579
2,Midwest,3,East North Central,MI,26,Michigan,2019,1,7,69220
2,Midwest,4,West North Central,MN,27,Minnesota,2018,5,3,6310
3,South,6,East South Central,MS,28,Mississippi,2017,1,4,3496
2,Midwest,4,West North Central,MO,29,Missouri,2017,3,2,86558
4,West,8,Mountain,MT,30,Montana,2018,5,6,2009
2,Midwest,4,West North Central,NE,31,Nebraska,2017,1,3,1851
4,West,8,Mountain,NV,32,Nevada,2019,6,1,347189
1,Northeast,1,New England,NH,33,New Hampshire,2017,6,7,2498
1,Northeast,2,Middle Atlantic,NJ,34,New Jersey,2018,4,5,417
4,West,8,Mountain,NM,35,New Mexico,2018,1,3,19268
1,Northeast,2,Middle Atlantic,NY,36,New York,2017,6,6,20019
3,South,5,South Atlantic,NC,37,North Carolina,2017,1,1,557293
2,Midwest,4,West North Central,ND,38,North Dakota,2018,1,4,2025
2,Midwest,3,East North Central,OH,39,Ohio,2018,6,4,25075
3,South,7,West South Central,OK,40,Oklahoma,2019,3,7,59138
4,West,9,Pacific,OR,41,Oregon,2018,3,6,15008
1,Northeast,2,Middle Atlantic,PA,42,Pennsylvania,2019,3,1,1104347
1,Northeast,1,New England,RI,44,Rhode Island,2017,4,4,4098
3,South,5,South Atlantic,SC,45,South Carolina,2019,3,6,6814
2,Midwest,4,West North Central,SD,46,South Dakota,2019,1,5,71
3,South,6,East South Central,TN,47,Tennessee,2018,4,1,677562
3,South,7,West South Central,TX,48,Texas,2017,4,4,190006
4,West,8,Mountain,UT,49,Utah,2019,4,1,257815
1,Northeast,1,New England,VT,50,Vermont,2017,4,5,29
3,South,5,South Atlantic,VA,51,Virginia,2018,1,7,92262
4,West,9,Pacific,WA,53,Washington,2018,1,4,62113
3,South,5,South Atlantic,WV,54,West Virginia,2018,2,6,3159
2,Midwest,3,East North Central,WI,55,Wisconsin,2017,5,7,23112
4,West,8,Mountain,WY,56,Wyoming,2017,2,3,1814
3,South,6,East South Central,AL,1,Alabama,2017,4,5,283
3,South,6,East South Central,AL,1,Alabama,2019,4,1,418627
3,South,6,East South Central,AL,1,Alabama,2017,1,4,7415
3,South,6,East South Central,AL,1,Alabama,2019,3,2,163595
3,South,6,East South Central,AL,1,Alabama,2017,6,4,6347
3,South,6,East South Central,AL,1,Alabama,2017,6,7,8656
3,South,6,East South Central,AL,1,Alabama,2018,3,1,374741
3,South,6,East South Central,AL,1,Alabama,2017,4,7,19979
3,South,6,East South Central,AL,1,Alabama,2019,5,6,5533
3,South,6,East South Central,AL,1,Alabama,2019,2,3,3724
3,South,6,East South Central,AL,1,Alabama,2019,2,7,32598
3,South,6,East South Central,AL,1,Alabama,2017,1,6,8738
3,South,6,East South Central,AL,1,Alabama,2019,6,5,224
3,South,6,East South Central,AL,1,Alabama,2018,1,5,309
3,South,6,East South Central,AL,1,Alabama,2018,2,6,8447
3,South,6,East South Central,AL,1,Alabama,2017,2,4,11387
3,South,6,East South Central,AL,1,Alabama,2017,4,2,159802
3,South,6,East South Central,AL,1,Alabama,2017,3,3,3520
3,South,6,East South Central,AL,1,Alabama,2018,2,2,192334
3,South,6,East South Central,AL,1,Alabama,2017,5,2,161581
3,South,6,East South Central,AL,1,Alabama,2017,6,1,625390
3,South,6,East South Central,AL,1,Alabama,2017,6,2,154115
3,South,6,East South Central,AL,1,Alabama,2017,1,3,2674
3,South,6,East South Central,AL,1,Alabama,2017,5,3,4328
3,South,6,East South Central,AL,1,Alabama,2019,2,4,11356
3,South,6,East South Central,AL,1,Alabama,2018,5,2,162503
3,South,6,East South Central,AL,1,Alabama,2017,1,5,276
3,South,6,East South Central,AL,1,Alabama,2018,1,4,7388
3,South,6,East South Central,AL,1,Alabama,2019,1,3,2626
3,South,6,East South Central,AL,1,Alabama,2017,2,2,189679
3,South,6,East South Central,AL,1,Alabama,2017,6,3,4246
3,South,6,East South Central,AL,1,Alabama,2019,1,6,9451
3,South,6,East South Central,AL,1,Alabama,2017,1,1,270063
3,South,6,East South Central,AL,1,Alabama,2018,4,6,5406
3,South,6,East South Central,AL,1,Alabama,2017,2,1,393608
3,South,6,East South Central,AL,1,Alabama,2019,1,1,266996
3,South,6,East South Central,AL,1,Alabama,2018,2,4,11349
3,South,6,East South Central,AL,1,Alabama,2018,3,4,11751
3,South,6,East South Central,AL,1,Alabama,2018,1,6,9079
3,South,6,East South Central,AL,1,Alabama,2017,1,7,21494
3,South,6,East South Central,AL,1,Alabama,2018,4,2,157760
3,South,6,East South Central,AL,1,Alabama,2018,1,3,2632
3,South,6,East South Central,AL,1,Alabama,2018,2,1,394131
3,South,6,East South Central,AL,1,Alabama,2018,3,2,163189
