division_code,division_name,region_code_,region_name_,state_abbr,state_code,state_name,year,obese_pct_1,obese_pct_2,obese_pct_3,obese_pct_4,obese_pct_5,obese_pct_6,highbloodpress_pct_1,highbloodpress_pct_2,highbloodpress_pct_3,highbloodpress_pct_4,highbloodpress_pct_5,highbloodpress_pct_6,diabetes_pct_1,diabetes_pct_2,diabetes_pct_3,diabetes_pct_4,diabetes_pct_5,diabetes_pct_6,povrate15_1,childpovrate15_1,foodinsec_15_17_1,popestimate_1,npopchg_1,births_1,deaths_1,naturalinc_1,internationalmig_1,domesticmig_1,netmig_1,residual_1,rbirth_1,rdeath_1,rnaturalinc_1,rinternationalmig_1,rdomesticmig_1,rnetmig_1,percap_real_inc_1,povrate15_2,childpovrate15_2,foodinsec_15_17_2,popestimate_2,npopchg_2,births_2,deaths_2,naturalinc_2,internationalmig_2,domesticmig_2,netmig_2,residual_2,rbirth_2,rdeath_2,rnaturalinc_2,rinternationalmig_2,rdomesticmig_2,rnetmig_2,percap_real_inc_2,povrate15_3,childpovrate15_3,foodinsec_15_17_3,popestimate_3,npopchg_3,births_3,deaths_3,naturalinc_3,internationalmig_3,domesticmig_3,netmig_3,residual_3,rbirth_3,rdeath_3,rnaturalinc_3,rinternationalmig_3,rdomesticmig_3,rnetmig_3,percap_real_inc_3,povrate15_4,childpovrate15_4,foodinsec_15_17_4,popestimate_4,npopchg_4,births_4,deaths_4,naturalinc_4,internationalmig_4,domesticmig_4,netmig_4,residual_4,rbirth_4,rdeath_4,rnaturalinc_4,rinternationalmig_4,rdomesticmig_4,rnetmig_4,percap_real_inc_4,povrate15_5,childpovrate15_5,foodinsec_15_17_5,popestimate_5,npopchg_5,births_5,deaths_5,naturalinc_5,internationalmig_5,domesticmig_5,netmig_5,residual_5,rbirth_5,rdeath_5,rnaturalinc_5,rinternationalmig_5,rdomesticmig_5,rnetmig_5,percap_real_inc_5,povrate15_6,childpovrate15_6,foodinsec_15_17_6,popestimate_6,npopchg_6,births_6,deaths_6,naturalinc_6,internationalmig_6,domesticmig_6,netmig_6,residual_6,rbirth_6,rdeath_6,rnaturalinc_6,rinternationalmig_6,rdomesticmig_6,rnetmig_6,percap_real_inc_6
1,New England,1,Northeast,CT,9,Connecticut,2017,16.2,27.2,27,31.5,30,26.4,6.1,12.4,18.2,28.2,41.5,59.2,,,4.8,9.4,14.6,20.4,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964
1,New England,1,Northeast,CT,9,Connecticut,2018,12.4,27,30.4,33.5,31.2,26.3,,,,,,,,,,,,,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858
1,New England,1,Northeast,CT,9,Connecticut,2019,18.1,28.2,32,33.1,32.5,28.2,5.5,11.4,18.9,30.7,41.4,57.9,,2.4,4.1,9.6,13.9,19,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277
1,New England,1,Northeast,MA,25,Massachusetts,2017,9.5,26.1,28.5,29.9,30.3,26.8,,7.7,17.7,28,42.4,58,,,,7.9,17.6,20.1,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139
1,New England,1,Northeast,MA,25,Massachusetts,2018,13,25.7,27.5,29.4,29.7,25.9,,,,,,,,,,,,,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404
1,New England,1,Northeast,MA,25,Massachusetts,2019,15.2,20.5,31.7,26.1,28.6,26.7,6,9.699999999999999,17.7,24.8,39.5,56.1,,1.3,3.6,7.2,13.1,18.5,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446
1,New England,1,Northeast,ME,23,Maine,2017,12.8,26.9,32.4,34.6,34,27.8,8.800000000000001,14.7,21.9,31.5,44.1,59.4,,,4.7,10.3,15.5,19.2,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287
1,New England,1,Northeast,ME,23,Maine,2018,20.5,27.7,36.1,38.6,30.5,27.2,,,,,,,,,,,,,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984
1,New England,1,Northeast,ME,23,Maine,2019,18.2,28.9,34.2,40.3,36.3,28.6,9.4,14.5,24.8,35.6,44.9,58.8,,2.9,5.5,10.6,13.7,19,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636
1,New England,1,Northeast,NH,33,New Hampshire,2017,17.1,29.6,28.9,32.4,28.4,29,,10.4,16.5,27.5,39.9,59.3,,,3.3,7.3,10.6,18.7,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018
