region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,race,povrate15,childpovrate15,obese_pct,highbloodpress_pct,diabetes_pct,foodinsec_15_17,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
3,South,6,East South Central,AL,1,Alabama,2017,1,22.00746268656717,31.62835820895523,33.6,40.6,13.8,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,2,22.00746268656717,31.62835820895523,44.5,47.6,15.9,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,3,22.00746268656717,31.62835820895523,45.9,59.7,,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,4,22.00746268656717,31.62835820895523,,,,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,5,22.00746268656717,31.62835820895523,,,,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,6,22.00746268656717,31.62835820895523,38.6,35,,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
3,South,6,East South Central,AL,1,Alabama,2017,7,22.00746268656717,31.62835820895523,34.4,26.5,,16.29999999999998,4874486,10961,58961,53195,5766,3011,2298,5309,-114,12.109454,10.925229,1.1842254,.61840141,.47196496,1.0903664,45436,2649260,2073370,575890,36186,539704,44885,2604375,2200494,15664,10432,14138,142525,274110,81373,284099,81256,27491,113060,106785,149859,18671,181796,42384,249919,39432,198233,169267,403881,53217,29412,321252,106500,214752
4,West,9,Pacific,AK,2,Alaska,2017,1,13.08571428571429,18.16428571428571,32.7,32.4,7.9,11.6,739700,-1756,10803,4463,6340,2612,-10753,-8141,45,14.587255,6.0263739,8.5608807,3.5269749,-14.51974,-10.992765,51343,455472,357000,98472,866,97606,1531,453941,350853,10002,17185,2237,22680,16069,7319,45811,24106,7135,11347,17450,23425,3467,17098,6009,52371,10946,35503,20693,103088,15105,25563,62420,23690,38730
4,West,9,Pacific,AK,2,Alaska,2017,2,13.08571428571429,18.16428571428571,,52.3,,11.6,739700,-1756,10803,4463,6340,2612,-10753,-8141,45,14.587255,6.0263739,8.5608807,3.5269749,-14.51974,-10.992765,51343,455472,357000,98472,866,97606,1531,453941,350853,10002,17185,2237,22680,16069,7319,45811,24106,7135,11347,17450,23425,3467,17098,6009,52371,10946,35503,20693,103088,15105,25563,62420,23690,38730
4,West,9,Pacific,AK,2,Alaska,2017,3,13.08571428571429,18.16428571428571,44,36.4,4,11.6,739700,-1756,10803,4463,6340,2612,-10753,-8141,45,14.587255,6.0263739,8.5608807,3.5269749,-14.51974,-10.992765,51343,455472,357000,98472,866,97606,1531,453941,350853,10002,17185,2237,22680,16069,7319,45811,24106,7135,11347,17450,23425,3467,17098,6009,52371,10946,35503,20693,103088,15105,25563,62420,23690,38730
