division_code,division_name,region_code_,region_name_,state_abbr,state_code,state_name,year,obese_pct_1,obese_pct_2,obese_pct_3,obese_pct_4,obese_pct_5,obese_pct_6,obese_pct_7,highbloodpress_pct_1,highbloodpress_pct_2,highbloodpress_pct_3,highbloodpress_pct_4,highbloodpress_pct_5,highbloodpress_pct_6,highbloodpress_pct_7,diabetes_pct_1,diabetes_pct_2,diabetes_pct_3,diabetes_pct_4,diabetes_pct_5,diabetes_pct_6,diabetes_pct_7,povrate15_1,childpovrate15_1,foodinsec_15_17_1,popestimate_1,npopchg_1,births_1,deaths_1,naturalinc_1,internationalmig_1,domesticmig_1,netmig_1,residual_1,rbirth_1,rdeath_1,rnaturalinc_1,rinternationalmig_1,rdomesticmig_1,rnetmig_1,percap_real_inc_1,povrate15_2,childpovrate15_2,foodinsec_15_17_2,popestimate_2,npopchg_2,births_2,deaths_2,naturalinc_2,internationalmig_2,domesticmig_2,netmig_2,residual_2,rbirth_2,rdeath_2,rnaturalinc_2,rinternationalmig_2,rdomesticmig_2,rnetmig_2,percap_real_inc_2,povrate15_3,childpovrate15_3,foodinsec_15_17_3,popestimate_3,npopchg_3,births_3,deaths_3,naturalinc_3,internationalmig_3,domesticmig_3,netmig_3,residual_3,rbirth_3,rdeath_3,rnaturalinc_3,rinternationalmig_3,rdomesticmig_3,rnetmig_3,percap_real_inc_3,povrate15_4,childpovrate15_4,foodinsec_15_17_4,popestimate_4,npopchg_4,births_4,deaths_4,naturalinc_4,internationalmig_4,domesticmig_4,netmig_4,residual_4,rbirth_4,rdeath_4,rnaturalinc_4,rinternationalmig_4,rdomesticmig_4,rnetmig_4,percap_real_inc_4,povrate15_5,childpovrate15_5,foodinsec_15_17_5,popestimate_5,npopchg_5,births_5,deaths_5,naturalinc_5,internationalmig_5,domesticmig_5,netmig_5,residual_5,rbirth_5,rdeath_5,rnaturalinc_5,rinternationalmig_5,rdomesticmig_5,rnetmig_5,percap_real_inc_5,povrate15_6,childpovrate15_6,foodinsec_15_17_6,popestimate_6,npopchg_6,births_6,deaths_6,naturalinc_6,internationalmig_6,domesticmig_6,netmig_6,residual_6,rbirth_6,rdeath_6,rnaturalinc_6,rinternationalmig_6,rdomesticmig_6,rnetmig_6,percap_real_inc_6,povrate15_7,childpovrate15_7,foodinsec_15_17_7,popestimate_7,npopchg_7,births_7,deaths_7,naturalinc_7,internationalmig_7,domesticmig_7,netmig_7,residual_7,rbirth_7,rdeath_7,rnaturalinc_7,rinternationalmig_7,rdomesticmig_7,rnetmig_7,percap_real_inc_7
1,New England,1,Northeast,CT,9,Connecticut,2017,25.6,35.8,,10,,27,32,31.8,36.2,44,16.5,,29.5,24.5,8.6,15,,7.6,,11.9,12.5,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964,9.612500000000001,13.1375,12.2,3573297,-4844,35551,31118,4433,14368,-23724,-9356,79,9.9423361,8.7025852,1.2397506,4.0182128,-6.6347494,-2.6165366,63964
1,New England,1,Northeast,CT,9,Connecticut,2018,26.2,36.3,34.6,10.9,,23.9,31.1,,,,,,,,,,,,,,,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858,9.612500000000001,13.1375,12.2,3571520,-1777,34883,31263,3620,18498,-23976,-5478,81,9.7645607,8.7512388,1.013322,5.178019,-6.7114387,-1.5334193,65858
1,New England,1,Northeast,CT,9,Connecticut,2019,26.6,43.8,,10.9,,35.3,35.5,31.8,43.3,,16.5,,33.2,22.4,8.5,15.7,,6.8,,14.3,10.1,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277,9.612500000000001,13.1375,12.2,3565287,-6233,34567,31149,3418,12323,-22059,-9736,85,9.686965,8.7291136,.95785129,3.4533651,-6.181756,-2.7283909,67277
1,New England,1,Northeast,MA,25,Massachusetts,2017,25.8,31.2,,10.2,,36.3,30.9,30.4,32.8,,13.4,,32.3,22.1,9,9.300000000000001,,,,,16.2,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139,11.59285714285714,15.30714285714286,14.4,6859789,36181,70765,58172,12593,48794,-25009,23785,-197,10.343192,8.5025673,1.8406248,7.1318545,-3.6553788,3.476476,59139
1,New England,1,Northeast,MA,25,Massachusetts,2018,26.2,26.3,,7,,40,30.6,,,,,,,,,,,,,,,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404,11.59285714285714,15.30714285714286,14.4,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,60404
1,New England,1,Northeast,MA,25,Massachusetts,2019,25.4,32,,12,,19.8,28,29.9,30.4,,12.3,,18.7,24.8,7.8,12.9,,,,10.6,10.6,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,11.59285714285714,15.30714285714286,14.4,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446
1,New England,1,Northeast,ME,23,Maine,2017,29.2,,29.3,,,36.1,36.7,35.1,,36.7,,,45,31.4,10.6,,,,,15.8,,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287,14.5875,20.58125,10.2,1334612,3295,12451,14551,-2100,628,4815,5443,-48,9.3408337,10.916269,-1.5754358,.47113034,3.6122491,4.0833797,44287
1,New England,1,Northeast,ME,23,Maine,2018,30.2,,43.3,,,35.5,20,,,,,,,,,,,,,,,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984,14.5875,20.58125,10.2,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,44984
1,New England,1,Northeast,ME,23,Maine,2019,31.7,,33,,,43,31.9,36.6,,39.9,,,30.7,36.7,10.8,,,,,,8.199999999999999,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636,14.5875,20.58125,10.2,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,46636
1,New England,1,Northeast,NH,33,New Hampshire,2017,28.3,,,,,25.9,35.4,30.7,,,,,25.6,,8.6,,,,,,,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018,9.970000000000001,14.2,13.5,1348787,6480,12251,12352,-101,2490,4126,6616,-35,9.104847,9.1799097,-.075062409,1.8505485,3.066411,4.9169593,52018
