"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out_Category","Break_Out","Sample_Size","Data_value","Data_value_unit","Confidence_limit_Low","Confidence_limit_High"
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Household Income","$15,000-$24,999",116,31.8,"%",22.8,40.8
2018,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Household Income","$15,000-$24,999",86,25.2,"%",18,32.3
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Household Income","$25,000-$34,999",81,34.5,"%",22.9,46.1
2019,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Household Income","$35,000-$49,999",94,41.6,"%",32.1,51.2
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Age Group","18-24",37,23,"%",14.3,31.6
2018,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","18-24",32,21.2,"%",13.3,29.1
2019,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","18-24",23,15.4,"%",7.9,23
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Age Group","35-44",131,41.5,"%",33.2,49.8
2019,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","35-44",130,35.9,"%",28.6,43.1
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Age Group","45-54",189,37.7,"%",31.2,44.1
2018,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","45-54",129,34.2,"%",28,40.4
2019,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","45-54",151,42.3,"%",35.2,49.4
2017,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (bmi 30.0 - 99.8)","Age Group","55-64",275,36.2,"%",30.7,41.6
2018,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","55-64",193,33.4,"%",28,38.8
2019,"AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","Age Group","55-64",199,30.8,"%",25.4,36.2
