"","Group","Year","State","Age.Group","COVID.19.Deaths_Hypertensive diseases","COVID.19.Deaths_Diabetes","COVID.19.Deaths_Obesity","Number.of.Mentions_Hypertensive diseases","Number.of.Mentions_Diabetes","Number.of.Mentions_Obesity"
"1","By Year",2020,"Alabama","0-24",0,NA,0,0,NA,0
"2","By Year",2020,"Alabama","25-34",NA,NA,NA,NA,NA,NA
"3","By Year",2020,"Alabama","35-44",NA,18,12,NA,19,12
"4","By Year",2020,"Alabama","45-54",35,52,30,35,52,30
"5","By Year",2020,"Alabama","55-64",106,126,46,107,126,46
"6","By Year",2020,"Alabama","65-74",170,199,40,173,199,40
"7","By Year",2020,"Alabama","75-84",187,188,24,189,188,24
"8","By Year",2020,"Alabama","85+",197,107,NA,201,107,NA
"9","By Year",2020,"Alabama","Not stated",0,0,0,0,0,0
"10","By Year",2020,"Alabama","All Ages",704,696,166,714,697,166
"11","By Year",2020,"Alaska","0-24",0,0,0,0,0,0
"12","By Year",2020,"Alaska","25-34",NA,0,NA,NA,0,NA
"13","By Year",2020,"Alaska","35-44",0,0,NA,0,0,NA
"14","By Year",2020,"Alaska","45-54",0,NA,NA,0,NA,NA
"15","By Year",2020,"Alaska","55-64",NA,NA,NA,NA,NA,NA
"16","By Year",2020,"Alaska","65-74",NA,NA,NA,NA,NA,NA
"17","By Year",2020,"Alaska","75-84",NA,NA,NA,NA,NA,NA
"18","By Year",2020,"Alaska","85+",NA,NA,NA,NA,NA,NA
"19","By Year",2020,"Alaska","Not stated",0,0,0,0,0,0
"20","By Year",2020,"Alaska","All Ages",18,26,12,18,26,12
"21","By Year",2020,"Arizona","0-24",0,NA,13,0,NA,13
"22","By Year",2020,"Arizona","25-34",NA,14,30,NA,14,30
"23","By Year",2020,"Arizona","35-44",30,41,69,30,41,69
"24","By Year",2020,"Arizona","45-54",85,117,94,85,119,94
"25","By Year",2020,"Arizona","55-64",206,285,121,206,289,121
"26","By Year",2020,"Arizona","65-74",299,355,106,299,358,106
"27","By Year",2020,"Arizona","75-84",428,394,50,437,394,51
"28","By Year",2020,"Arizona","85+",376,209,NA,384,209,NA
"29","By Year",2020,"Arizona","Not stated",0,0,0,0,0,0
"30","By Year",2020,"Arizona","All Ages",NA,NA,489,NA,NA,490
"31","By Year",2020,"Arkansas","0-24",0,0,NA,0,0,NA
"32","By Year",2020,"Arkansas","25-34",NA,NA,NA,NA,NA,NA
"33","By Year",2020,"Arkansas","35-44",NA,12,NA,NA,12,NA
"34","By Year",2020,"Arkansas","45-54",19,28,18,19,28,18
"35","By Year",2020,"Arkansas","55-64",72,80,27,72,80,28
"36","By Year",2020,"Arkansas","65-74",152,161,24,154,162,24
"37","By Year",2020,"Arkansas","75-84",219,157,18,224,159,18
"38","By Year",2020,"Arkansas","85+",278,111,NA,282,111,NA
"39","By Year",2020,"Arkansas","Not stated",0,0,0,0,0,0
"40","By Year",2020,"Arkansas","All Ages",751,555,102,762,558,103
"41","By Year",2020,"California","0-24",NA,NA,30,NA,NA,30
"42","By Year",2020,"California","25-34",26,56,113,26,56,113
"43","By Year",2020,"California","35-44",125,209,201,125,209,202
"44","By Year",2020,"California","45-54",370,616,338,374,616,339
"45","By Year",2020,"California","55-64",922,NA,409,922,NA,411
"46","By Year",2020,"California","65-74",NA,NA,348,NA,NA,349
"47","By Year",2020,"California","75-84",NA,NA,195,NA,NA,195
"48","By Year",2020,"California","85+",NA,NA,46,NA,NA,46
"49","By Year",2020,"California","Not stated",0,0,0,0,0,0
"50","By Year",2020,"California","All Ages",NA,NA,NA,NA,NA,NA
"51","By Year",2020,"Colorado","0-24",NA,NA,NA,NA,NA,NA
"52","By Year",2020,"Colorado","25-34",NA,NA,NA,NA,NA,NA
"53","By Year",2020,"Colorado","35-44",NA,13,17,NA,13,17
"54","By Year",2020,"Colorado","45-54",36,59,46,37,60,46
"55","By Year",2020,"Colorado","55-64",82,87,57,84,88,57
"56","By Year",2020,"Colorado","65-74",178,205,74,183,207,74
"57","By Year",2020,"Colorado","75-84",270,236,38,272,237,39
"58","By Year",2020,"Colorado","85+",386,190,NA,396,192,NA
"59","By Year",2020,"Colorado","Not stated",0,0,0,0,0,0
"60","By Year",2020,"Colorado","All Ages",963,798,250,983,805,251
"61","By Year",2020,"Connecticut","0-24",0,NA,NA,0,NA,NA
"62","By Year",2020,"Connecticut","25-34",NA,NA,NA,NA,NA,NA
"63","By Year",2020,"Connecticut","35-44",NA,NA,NA,NA,NA,NA
"64","By Year",2020,"Connecticut","45-54",13,26,18,13,26,18
"65","By Year",2020,"Connecticut","55-64",68,76,34,68,76,34
"66","By Year",2020,"Connecticut","65-74",135,161,36,136,162,36
"67","By Year",2020,"Connecticut","75-84",201,186,28,203,188,28
"68","By Year",2020,"Connecticut","85+",369,195,NA,372,196,NA
"69","By Year",2020,"Connecticut","Not stated",0,0,0,0,0,0
"70","By Year",2020,"Connecticut","All Ages",792,657,136,798,661,136
"71","By Year",2020,"Delaware","0-24",0,NA,NA,0,NA,NA
"72","By Year",2020,"Delaware","25-34",NA,0,NA,NA,0,NA
"73","By Year",2020,"Delaware","35-44",0,NA,NA,0,NA,NA
"74","By Year",2020,"Delaware","45-54",NA,NA,NA,NA,NA,NA
"75","By Year",2020,"Delaware","55-64",18,15,NA,18,15,NA
"76","By Year",2020,"Delaware","65-74",34,27,18,34,27,18
"77","By Year",2020,"Delaware","75-84",66,41,NA,66,41,NA
"78","By Year",2020,"Delaware","85+",98,27,NA,98,27,NA
"79","By Year",2020,"Delaware","Not stated",0,0,0,0,0,0
"80","By Year",2020,"Delaware","All Ages",223,117,44,223,117,44
"81","By Year",2020,"District of Columbia","0-24",0,NA,0,0,NA,0
"82","By Year",2020,"District of Columbia","25-34",NA,NA,NA,NA,NA,NA
"83","By Year",2020,"District of Columbia","35-44",NA,NA,12,NA,NA,12
"84","By Year",2020,"District of Columbia","45-54",42,39,17,42,39,17
"85","By Year",2020,"District of Columbia","55-64",121,96,26,121,96,26
"86","By Year",2020,"District of Columbia","65-74",188,143,16,188,143,16
"87","By Year",2020,"District of Columbia","75-84",140,77,NA,141,77,NA
"88","By Year",2020,"District of Columbia","85+",148,56,NA,148,56,NA
"89","By Year",2020,"District of Columbia","Not stated",0,0,0,0,0,0
"90","By Year",2020,"District of Columbia","All Ages",653,424,85,654,424,85
"91","By Year",2020,"Florida","0-24",NA,10,15,NA,10,15
"92","By Year",2020,"Florida","25-34",21,21,42,21,21,42
"93","By Year",2020,"Florida","35-44",91,91,110,91,91,110
"94","By Year",2020,"Florida","45-54",316,274,209,318,274,209
"95","By Year",2020,"Florida","55-64",953,763,361,958,767,361
"96","By Year",2020,"Florida","65-74",NA,NA,442,NA,NA,443
"97","By Year",2020,"Florida","75-84",NA,NA,269,NA,NA,269
"98","By Year",2020,"Florida","85+",NA,NA,73,NA,NA,73
"99","By Year",2020,"Florida","Not stated",0,0,0,0,0,0
"100","By Year",2020,"Florida","All Ages",NA,NA,NA,NA,NA,NA
"101","By Year",2020,"Georgia","0-24",NA,NA,NA,NA,NA,NA
"102","By Year",2020,"Georgia","25-34",10,13,12,10,13,12
"103","By Year",2020,"Georgia","35-44",31,33,42,32,33,42
"104","By Year",2020,"Georgia","45-54",86,73,60,88,74,60
"105","By Year",2020,"Georgia","55-64",209,215,76,218,216,76
"106","By Year",2020,"Georgia","65-74",363,334,88,366,336,88
"107","By Year",2020,"Georgia","75-84",402,326,45,408,327,45
"108","By Year",2020,"Georgia","85+",425,200,16,434,200,16
"109","By Year",2020,"Georgia","Not stated",0,0,0,0,0,0
"110","By Year",2020,"Georgia","All Ages",NA,NA,345,NA,NA,345
"111","By Year",2020,"Hawaii","0-24",0,0,NA,0,0,NA
"112","By Year",2020,"Hawaii","25-34",0,0,0,0,0,0
"113","By Year",2020,"Hawaii","35-44",NA,NA,NA,NA,NA,NA
"114","By Year",2020,"Hawaii","45-54",NA,NA,NA,NA,NA,NA
"115","By Year",2020,"Hawaii","55-64",NA,17,NA,NA,17,NA
"116","By Year",2020,"Hawaii","65-74",13,15,NA,13,15,NA
"117","By Year",2020,"Hawaii","75-84",10,10,NA,10,10,NA
"118","By Year",2020,"Hawaii","85+",20,NA,0,20,NA,0
"119","By Year",2020,"Hawaii","Not stated",0,0,0,0,0,0
"120","By Year",2020,"Hawaii","All Ages",52,59,15,52,59,15
"121","By Year",2020,"Idaho","0-24",0,0,0,0,0,0
"122","By Year",2020,"Idaho","25-34",0,0,NA,0,0,NA
